6h_DMSO_rep1	6h_DMSO_rep2	6h_treated_rep1	6h_treated_rep2	72h_DMSO_rep1	72h_DMSO_rep2	72h_treated_rep1	72h_treated_rep2	120h_DMSO_rep1	120h_DMSO_rep2	120h_treated_rep1	120h_treated_rep2
ENSG00000000419	-1.47965904330502	-1.30645653962491	-1.79130409070636	-1.70216781791712	-2.892962674744	-3.38451242598369	-1.85503041966051	0	0	-1.66660916153171	0	0
ENSG00000000457	0	-2.9096907650531	0	0	0	0	0	0	-2.19719341412338	0	-3.60947235743186	-1.58073103919373
ENSG00000000460	-4.47801623283126	-4.92041951422298	0	0	0	-2.03814256286016	-2.77588501546638	0	-3.95878855232142	-3.04003286572402	-5.07053557159794	0
ENSG00000000938	0	0	-1.94866450571251	-1.86125202224894	0	-1.5090285371775	-5.06992668229083	0	0	-4.60195229878409	-0.845508159084085	-0.563675686572796
ENSG00000001084	0	0	-0.674702115159911	0	-1.30910437201647	-1.29821610265137	-1.59267298486842	0	-3.14322222770882	0	0	0
ENSG00000001167	0	-3.84549730787334	-3.97769829509525	-1.48054386091202	-4.08644169528478	0	0	0	-1.40385307818715	-2.31337296430635	-1.8071418454697	0
ENSG00000001497	-4.87608181557603	0	0	-2.10472521425218	0	0	0	-1.24532464991883	-6.54997344004959	-2.72575926615117	0	0
ENSG00000001629	0	-5.2085396630592	0	0	-3.35459169150898	-2.43873191424335	-4.01592023574398	0	-2.76555006609038	0	-1.92640672151825	-2.24013310640939
ENSG00000001631	-6.11612698242464	-2.92552286738923	0	0	0	0	-3.61852982655901	-1.08557455135464	0	0	-1.87530284035986	-1.79638286016256
ENSG00000002016	-2.73030725296125	0	0	-2.03175032812853	-2.22796381948924	0	0	-3.33538711806838	-2.12597118898052	-2.07539272955843	0	0
ENSG00000002549	0	0	0	-3.19275548304518	0	-1.60940166546875	-1.72567849529581	0	-1.19547989816907	0	0	0
ENSG00000002834	-2.95854863413931	0	0	0	-1.92800067537262	-2.8028567492964	-1.70566546169137	0	-1.46012439022528	0	-2.76872978196626	0
ENSG00000003056	0	-1.18912763753397	0	0	0	-1.73390332132088	0	0	-1.44605096246336	0	-1.2269899343877	-1.35048646132886
ENSG00000003393	0	0	-3.06064645265859	-3.08392362651946	0	-6.87997834918401	-5.4365105988058	0	-3.927751010964	-2.22225136956921	-2.51367349493943	-2.50674590646864
ENSG00000003402	-1.65142059729361	-2.37373781041538	0	-2.12017781736321	0	0	0	-2.23953431698557	0	0	0	-2.70074805722405
ENSG00000003509	0	-1.49465216444505	0	-2.39640291932721	-3.85374178552729	-1.73257393051865	0	-2.58104769899703	0	-1.38925700185777	0	0
ENSG00000003756	-2.68716920241566	0	0	0	0	0	-1.94119744689247	-0.827480719245863	0	0	0	0
ENSG00000004399	-2.36190336725967	-3.20066038774063	-7.84446293715338	-2.28260781310411	-0.90292814882868	-1.00006474829943	0	0	-1.62864803331691	-1.56194135316596	0	0
ENSG00000004455	-2.79254634449246	-1.62540345756154	-4.75197151912427	0	0	-3.24864435032279	0	-2.41534286650065	-1.86387404880059	0	0	0
ENSG00000004478	0	-4.19753816192537	-6.7887022252333	0	-1.95549541551221	0	0	-1.07356912713465	0	-3.86332186255352	0	0
ENSG00000004487	-1.77022470500177	-1.66912537616264	0	-4.72203694210506	-2.38557799610112	0	-1.53354106967625	-6.43646824371057	0	0	0	0
ENSG00000004534	0	0	0	-2.08115106317931	-1.63202922710656	-4.33240442104753	0	-1.6144192531527	-2.91104086494631	0	0	0
ENSG00000004700	0	-1.21678817687602	0	0	0	0	-3.19015011035767	-1.54097048805007	0	-2.48611896941289	0	-1.89686759260547
ENSG00000004766	0	0	-1.50753604733843	0	-2.0121140647751	-2.69283766555286	0	-2.0552055535261	0	0	0	0
ENSG00000004779	-4.12205415351591	-1.71889543848822	-1.66962947340472	0	0	-3.25918815868031	-1.13888271046852	0	-1.06525076528099	0	-2.39259603351064	-4.68495348937956
ENSG00000004809	-2.07623714292139	-2.78534885057221	-2.07950284383193	0	-2.35058501721425	-2.82176537087252	-3.26341371011716	0	0	0	0	0
ENSG00000004866	-1.85813451949574	-1.51685361578954	0	-3.13097680684877	-1.05568006758218	-1.51604597809039	0	0	0	-2.05285061468575	0	0
ENSG00000004897	0	-3.45840660807418	0	-1.85525275426684	-2.39684856045272	0	0	-2.16176389892918	0	-5.09968869883282	0	0
ENSG00000005007	0	0	-2.03881463284735	0	0	-1.719523041209	0	-3.20275648720078	0	-1.94484069304511	0	0
ENSG00000005020	0	0	0	0	-2.91915110820836	-2.36777886870257	-2.77317783130468	-2.51148335971358	-1.98676605481185	0	-2.23998027911195	-1.93118081410718
ENSG00000005075	-1.73446391389707	-1.89534735316342	0	-1.6761758775801	0	0	0	-1.98138019523039	-3.14172401807478	-1.31038349593229	0	0
ENSG00000005156	-2.21015329342882	-1.71409039793809	0	-1.70534652251924	0	0	0	-1.89471966522912	-2.92089851086818	-4.41664106661233	0	0
ENSG00000005175	-3.92344660972465	0	0	0	0	0	0	-2.25148690474704	-1.29496504633	-3.06626546083444	0	0
ENSG00000005189	-2.93580747107349	0	0	-1.79705544912601	0	0	-1.70012236146843	-2.47106826493361	0	0	-2.05369172045867	-2.41759857713442
ENSG00000005194	-2.11459449423604	-2.63408254623375	-2.67027745371885	-2.5384288144761	0	0	0	-3.17147830470793	-3.6478661355662	0	0	-3.57113001627076
ENSG00000005206	0	0	-1.89896345939377	-2.28340170788446	-4.99494446994064	-1.40323556282025	-1.7410919835512	0	0	0	0	-1.53168232500885
ENSG00000005339	-3.39743829900143	-2.41968352276	0	0	0	0	0	0	-0.574850182087115	-3.60279418486928	-2.73415980117288	0
ENSG00000005381	-2.78894538187961	0	0	0	0	0	-2.7597789537109	0	-1.78033002820889	-3.2412767568281	-2.47433374012004	0
ENSG00000005436	0	-1.3146213614741	-2.45532593383017	0	-2.68625525118978	-2.30247909924368	-1.8009828177602	0	0	0	0	0
ENSG00000005483	0	0	0	-1.20152099628219	0	0	-1.10800163644313	-1.68756148722416	0	-3.19477958335822	-3.48636165925666	-5.30611842125126
ENSG00000005700	-4.77014763050475	-6.00166021249162	0	-3.59179013621078	0	0	0	-1.25074832988902	0	0	0	0
ENSG00000005810	0	-4.44820369258878	0	0	0	0	0	0	-1.21480058374142	-1.37146117898852	-2.59898416444869	0
ENSG00000005812	-1.18138329238972	0	0	0	0	0	0	-1.67003783540809	0	-2.20817798973768	0	-2.68664579949332
ENSG00000005844	-2.18332710163263	0	-4.386556669028	0	0	0	0	-2.93082022144792	0	-2.10442966983552	-2.1899254446233	-3.12222175545467
ENSG00000005889	0	-3.00037901411743	-3.79357331091485	-4.74898287850671	0	0	-4.44676206190569	-2.80973677999695	0	0	0	-2.01432061136694
ENSG00000005893	0	0	-1.74753916001518	0	-1.70349672820678	-1.13782720670751	-5.38500907456807	0	-2.26801424884755	0	-1.16221084011088	-2.43885321429173
