kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml2_t_1	ociaml2_t_2	ociaml2_t_3	ociaml2_u_1	ociaml2_u_2	ociaml2_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	thp1_t_1	thp1_t_2	thp1_t_3	thp1_u_1	thp1_u_2	thp1_u_3
ENSG00000000460	0	0	-2.58012349639204	0	0	-3.16171948834002	-2.01637241515259	0	-2.46630715230504	-1.54042998315097	-1.52909432455189	-1.93372311792119	-0.984541061479556	-2.24238855649284	-2.32013518135657	-1.05488112719793	-2.19423826171482	-1.43909495522122	0	0	0	-4.46104494600199	0	0	-2.99449784318111	-2.37879655656013	-5.16671129902427	-2.78210642964627	0	0
ENSG00000001629	-2.21526163935865	-1.6395138281343	-2.03390840193881	-3.46859984444468	-2.61955786326924	-3.03834696420593	0	0	-2.76577339031849	0	0	0	-2.21835977156744	-2.12512159587276	-1.77239270214275	0	0	-2.51408795681968	-1.39841666974547	-1.08095509637809	-0.676758767727815	0	0	0	0	0	0	0	0	-7.52800270825312
ENSG00000001631	0	-1.58718381316175	0	-3.62404004405757	-2.12634853736698	0	-2.56860423657825	0	-2.17794633262137	-2.40063141631807	0	0	0	0	-2.30028195119646	-2.505148667057	0	0	-1.88511896337318	-1.99154183192246	-1.87909151229644	0	-2.3648660674371	0	-3.04385877197609	0	-2.29367327963356	0	-2.13497239597121	-3.25150720053971
ENSG00000003756	-2.74854701695873	-1.75828956738892	0	-3.24069613278014	0	0	-2.15956732767979	-2.96866698488531	0	-1.99697374504767	-1.05659658267254	-2.46067435344663	0	0	0	0	-2.31334649055887	0	0	-0.85230241827785	0	-3.10350179817449	-2.8861828955583	0	-4.16610891456431	-1.61873052852123	0	0	-1.51646129702401	0
ENSG00000004399	0	0	0	0	0	0	0.408058252198805	0.162046025256325	0.177020767117724	0.0338883845869039	-0.0997627996710276	-0.366124799171771	0	0	0	0	0	0	0	-0.514467636725231	-0.83516940678802	-1.2134206518168	0	0	-0.246328555933718	-0.633320651073572	-0.606227496995039	-0.161285029007239	-1.41578989700959	-2.35614486633011
ENSG00000004455	0	0	0	-2.89839669623262	0	0	-1.33544508977808	-2.2644606520556	-2.20206968097126	-3.05550132900427	0	-1.98884407612367	0	0	0	0	0	0	-1.74583139754448	-2.92752429919528	-1.71893075565084	-0.977556499470566	-2.21737478674275	-1.71344578015907	-1.31114784116139	-1.86641784876101	-3.46445294032375	-1.37779347817882	-1.86532948357509	0
ENSG00000004487	0	0	0	-2.42450410819679	-2.96256044123652	-1.97065858315076	-2.31085617020099	0	-2.41909790550995	-2.6827820347032	-2.61468933443782	-2.31053941538301	-1.78379664184725	0	-1.91921767915976	-2.20336653270814	-1.88121297069434	-1.39991050414731	0	0	-2.18609120089343	0	0	-2.14592767100676	0	0	0	0	0	-3.3855448034104
ENSG00000004534	-4.49727649266078	-0.61941021616752	-1.53503626571198	-1.10816518864874	-0.348856076058223	-1.49182007222628	0	-1.87257544509248	0	0	-1.78240858593039	0	0	-4.35496337039935	0	0	-1.45657840177427	-3.09371382723969	-2.58472003619191	-6.02338346199401	0	0	-2.94481089248688	0	0	0	0	0	0	0
ENSG00000004766	-3.65022470931647	0	0	-2.66119981159731	-2.14476381505875	-2.79494105468869	-2.02313557809143	-2.02518260846629	-2.53566464502244	0	0	-2.07942518882356	-3.04468118320489	0	0	-2.66903394531541	0	-3.06606589270032	-1.81845042859138	0	-2.04924123844068	-2.4830530589549	0	0	0	0	-1.8782477689357	0	0	0
ENSG00000004897	-2.17760339601897	-2.7253553115478	-1.41877686768569	0	0	-1.5038962777367	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.27757585056399	-0.96297458894158	-1.25252886138478	-2.89560192597557	-0.985948498997471	-2.24737139634214	-2.02107601888447	-1.43480829497037	-2.17738406019599	0	-1.68142739060852
