	Exp.hl60.log2FC_120h	Exp.hl60.pval_120h	Exp.kg1.log2FC	Exp.kg1.pval	Exp.molm14.log2FC	Exp.molm14.pval	Exp.ociaml2.log2FC	Exp.ociaml2.pval	Exp.ociaml3.log2FC	Exp.ociaml3.pval	Exp.thp1.log2FC	Exp.thp1.pval	Stbl.hl60.logFC	Stbl.hl60.pval	Stbl.kg1.logFC	Stbl.kg1.pval	Stbl.molm14.logFC	Stbl.molm14.pval	Stbl.ociaml2.logFC	Stbl.ociaml2.pval	Stbl.ociaml3.logFC	Stbl.ociaml3.pval	Stbl.thp1.logFC	Stbl.thp1.pval	TE.Estimate_treatmentDRUG	TE.fdr_Pr...z.._treatmentDRUG	Rho.Mann-Whitney p-value	Rho.rho score	Gamma.Mann-Whitney p-value	Gamma.gamma score
AC104454.2																														
CHI3L1	-2.32939621865758	2.27501589900673e-17	0.755548288889153	0.159447332504251	2.46819169675413	2.07142348237557e-58	2.4433213598880403	2.40218994078074e-38	3.8294375548046102	2.0536722999046895e-60	0.32828593992686106	0.00371226835513565	0.573274922854177	0.00923329780400865	0.347708512787598	0.320953783265878	-0.45175917420862505	0.00158870337092555	-0.0981738603985843	0.62957966738989	-0.0445741401856523	0.67911909833564	-0.0870683774194052	0.348912543770778	-0.048472830297364	0.9214634337158141	0.729337648384	0.0148840609569	0.985301512763	-7.27456117687e-05
PTPN22	-2.2748058357603	2.81538076420895e-21	-0.0654392976238879	0.7065162527145259	0.265356775973224	0.336296612134018	0.13074070197069199	0.5710751134977629	0.341077200999765	0.22496154492032996	-0.0470080653022493	0.827015491846217	0.05367390733985	0.785211940960608	-0.18771124786609802	0.0669667372737105	-0.15442951407791902	0.334702647141042	-0.315144882185841	0.115917905728642	0.16976369768017002	0.371934776405017	0.108876232527865	0.415471550758925	0.142267761009843	0.878780451797547	0.165653785131	-0.0766898002867	0.147887899486	0.0177580536434
ARHGAP25	-2.24345433298851	1.9216625363136597e-20	-0.0942757617498093	0.599306365395578	0.5382904682541769	0.079702523948056	0.510816455275066	0.0459395727225483	0.22816890824625197	0.336753086584175	0.248639590864769	0.21250034691425196	0.191656196955822	0.23710912149316396	0.0068288903541776705	0.9364521927297059	0.17089960312209698	0.384946793118774	0.110589424674878	0.234802322125278	0.572068654993244	0.0011101694369372	0.123325284550953	0.328321509235865	0.143834839299687	0.9115757655103379	0.760744804413	-0.0203687440509	0.122141821666	0.0741554071054
MNDA	-2.1355800889258503	7.23139897159001e-21	2.03833126307049	3.9467327890412896e-07	1.7295697166361699	1.3482377682573303e-15	0.345537232462157	0.0229352589909726	0.29250569428445694	0.113539503325737	0.0104711920383957	0.9474180241174829	-0.0838345251640174	0.633002063283459	-0.708922285358569	0.134213102653102	-0.9795460523775351	0.212021901948702	0.0260771842669745	0.845320990661683	0.0887271212810237	0.6245286193932329	0.12279780352095401	0.28718318558676603	0.034308719472619	0.946349115446634	0.0567281267782	-0.0964180271598	0.341597595922	0.020928039689
PTPRC	-2.12637501496071	1.52450651670422e-37	-0.12411737668758	0.424096379470946	0.14443240842625799	0.384670288744539	0.0601627721328399	0.684032099200657	0.0846376781309844	0.620695681186734	-0.11469006456625301	0.43665108032248995	0.38829698856948	0.0195592165033625	-0.0787377917291764	0.49503025074021706	-0.0590258287239575	0.671235208538864	0.202311164783708	0.114466781691375	0.273954676084455	0.0998656483489502	0.0300785358174317	0.8143129751696129	-0.057393217377080995	0.939372762362892	0.0183060982221	-0.261354956056	0.0334198023328	0.0519398673826
ARHGAP30	-2.11388950816555	2.30154673738309e-10	-0.263753829250035	0.233304305910769	0.3861431683231379	0.0411893050359464	0.17356212540148902	0.43868167668594704	0.139549370750051	0.566826970222481	0.0719422059967433	0.7596681633322472	0.111968382619957	0.520600265767199	-0.0424774712194934	0.774412803631202	0.173883195039449	0.150744774005146	0.0551842253679582	0.582829563253654	0.200250203344904	0.14552762434770097	-0.0323699256861067	0.7913052294600071	-0.32918621518741703	0.566886028090657	0.000414315235118	-0.213736977857	0.000408272866493	0.091980438794
PGD	-1.79728352587911	6.63196845747412e-23	0.23782250585405	0.101310244701012	0.0254089358599681	0.8910050375073301	0.0554212287465682	0.767475276070119	-0.12852364847882	0.5706557691370121	-0.41583195167236403	0.0351347569067496	0.279172100813799	0.11392191062617801	0.00477981393775306	0.9612650270312679	0.00915065691898045	0.948786178622194	-0.10111802059991801	0.38986157480746003	-0.336593883582734	0.0668686578041389	-0.18336368314728896	0.11204892681726401	-0.08898512099687599	0.8111134683926541	0.128782517663	-0.101115205196	0.178667521337	-0.140974068833
CASP8	-1.3984767215204001	0.007266326778206241	0.15114567393107	0.48579659590311103	0.18748080015210997	0.5348055144225421	-0.23023734844873	0.485916576886896	0.0247204377933132	0.9214380387684891	0.00992843345625955	0.9760000522900891	0.9248564621311329	5.3980178430858794e-05	0.22105949104780498	0.108248943959322	0.119370576959646	0.384771868555715	0.161635105864715	0.290652638976534	0.0324895801051843	0.8251801791591221	0.184921132921746	0.29343963168881	-0.07074617811561099	0.9598064671836509	0.1781946073	0.0704930331351	0.483361534975	-0.00840316130527
ARHGAP15	-1.38901287851128	0.00796571207580475	0.166851947261239	0.29064491815881505	-0.5895790517079279	0.0005873304155270111	-0.326710214346869	0.0577419223428242	-0.0515140826685157	0.7903215217230329	-0.38381060329321004	0.0540091776678578	0.0943932677095169	0.44959206452584605	0.0978307369216712	0.306667327664125	0.00755261811576427	0.933515845891103	0.0821076770186833	0.358136130639449	0.542820682185855	0.001159009915756	-0.0355976093211138	0.7227169028078609	-0.185331898641769	0.770325398988591	0.0909851326098	-0.0863623954256	0.617714480338	0.0168933909262
