KO__Input	KO__Arc_IP	WT_1_Input	WT_1_Arc_IP	WT_2_Input	WT_2_Arc_IP	WT_3_Input	WT_3_Arc_IP
gene.1004.0	0	5	2	1	2	7	1	3
gene.1004.6	10	10	4	5	13	14	4	3
gene.1005.0	0	5	2	1	2	7	1	3
gene.1005.6	10	10	4	5	13	14	4	3
gene.10080.187	28	59	45	33	17	41	33	19
gene.10080.31	15	10	22	6	19	12	16	5
gene.10081.187	28	59	45	33	17	41	33	19
gene.10081.31	15	10	22	6	19	12	16	5
gene.10088.1	11	20	8	24	13	9	7	13
gene.10089.1	11	20	8	24	13	9	7	13
gene.10090.18	28	24	10	19	2	55	11	23
gene.10091.18	28	24	10	19	2	55	11	23
gene.10116.15	16	8	10	7	15	7	14	4
gene.10117.15	16	8	10	7	15	7	14	4
gene.10126.208	31171	39115	28682	36130	27816	28510	27396	30827
gene.10126.223	32	54	53	50	35	35	60	98
gene.10126.224	80	108	61	82	79	83	76	88
gene.10126.326	69	159	116	143	135	163	112	134
gene.10126.403	15	20	11	27	9	18	13	24
gene.10126.69	14	16	10	16	23	17	11	13
gene.10127.208	31410	40027	29012	36878	28172	29196	27751	31455
gene.10127.209	2080	5285	2388	5006	2028	4396	2276	3878
gene.10127.210	912	2364	994	2134	769	1910	924	1764
gene.10127.211	1859	5963	2055	5790	1687	5213	2072	4110
gene.10127.212	1754	4095	1852	4031	1544	3378	1948	2776
gene.10127.213	2130	4872	1979	4432	1754	3798	1921	3258
gene.10127.214	791	2012	887	2000	822	1917	866	1476
gene.10127.217	124	218	128	185	76	194	113	167
gene.10127.218	140	219	118	194	87	171	162	194
gene.10127.223	32	54	53	50	35	35	60	98
gene.10127.224	80	108	61	82	79	83	76	88
gene.10127.326	69	159	116	143	135	163	112	134
gene.10127.403	15	20	11	27	9	18	13	24
gene.10127.69	14	16	10	16	23	17	11	13
gene.10138.1	10	3	9	20	27	24	0	7
gene.10139.1	10	3	9	20	27	24	0	7
gene.1017.4	238	144	233	146	219	136	208	123
gene.10170.0	0	48	7	35	18	46	21	22
gene.10171.0	0	48	7	35	18	46	21	22
gene.10172.1014	6245	3750	4985	3467	5077	3043	5060	2680
gene.10172.1015	66397	143917	58020	103643	63728	93380	57900	97497
gene.10172.1267	6622	4104	6062	4366	5374	3966	5540	3435
gene.10172.1692	14316	7388	11538	7494	12317	6897	11229	5294
gene.10172.1765	15	2	8	8	3	3	2	0
gene.10172.1963	5925	5190	5586	5086	5974	4687	5822	4476
gene.10172.2073	44	99	78	68	56	71	102	55
gene.10172.266	15805	16607	13509	12111	14328	10655	12945	10421
gene.10172.267	25	76	46	51	66	65	44	42
gene.10172.311	1740	2165	1728	2124	1713	2031	1583	1368
gene.10172.364	3418	2816	3304	2673	3432	2511	3007	2307
gene.10172.366	2168	1464	1717	1287	2483	1360	2011	1273
gene.10172.406	5970	4573	5118	3877	5346	3251	4238	2518
gene.10172.535	804	1341	951	1499	1015	1436	956	1158
gene.10172.669	21142	9386	15824	6313	17675	5136	16068	5558
gene.10172.72	2	0	0	0	0	0	0	1
gene.10172.767	8	17	6	10	4	6	4	3
gene.10172.776	43326	53455	39680	47791	41851	41851	38449	41301
gene.10172.791	26224	30230	23306	26903	24288	23204	22625	21974
gene.10172.827	76662	91984	68388	67880	71301	58976	66409	60751
gene.10172.877	2413	1696	1922	1371	2166	1229	1992	1149
gene.10172.879	13713	10150	12205	8676	13433	7419	12060	7444
gene.10172.880	271	408	348	300	276	232	328	250
gene.10172.881	134	283	209	151	186	200	143	98
gene.10172.884	2	3	4	2	1	1	2	2
gene.10172.962	248	410	261	374	260	396	346	368
gene.10172.973	3191	2467	3097	2909	3143	2675	2891	2676
gene.10172.983	37659	692711	36011	591279	38708	346194	35365	599393
gene.10173.1014	6936	4567	5699	4142	5753	3831	5704	3376
gene.10173.1015	66397	143917	58020	103643	63728	93380	57900	97497
gene.10173.1245	10	7	20	4	0	4	6	3
gene.10173.1246	7	6	10	13	1	8	10	5
gene.10173.1247	365	348	280	446	259	316	322	216
gene.10173.1267	6622	4104	6062	4366	5374	3966	5540	3435
gene.10173.1692	14316	7388	11538	7494	12317	6897	11229	5294
gene.10173.1765	15	2	8	8	3	3	2	0
gene.10173.1963	5925	5190	5586	5086	5974	4687	5822	4476
gene.10173.2073	44	99	78	68	56	71	102	55
gene.10173.266	15805	16607	13509	12111	14328	10655	12945	10421
gene.10173.267	25	76	46	51	66	65	44	42
gene.10173.311	2353	3514	2459	3297	2376	3228	2185	2255
gene.10173.364	3544	2975	3434	2869	3574	2662	3123	2448
gene.10173.366	2168	1464	1717	1287	2483	1360	2011	1273
gene.10173.406	5970	4573	5118	3877	5346	3251	4238	2518
gene.10173.535	804	1341	951	1499	1015	1436	956	1158
gene.10173.669	21142	9386	15824	6313	17675	5136	16068	5558
gene.10173.72	2	0	0	0	0	0	0	1
gene.10173.767	8	17	6	10	4	6	4	3
gene.10173.775	26	49	20	41	23	56	38	28
gene.10173.776	43326	53455	39680	47791	41851	41851	38449	41301
gene.10173.791	26224	30230	23306	26903	24288	23204	22625	21974
gene.10173.827	81289	97831	73894	74000	75913	64295	71696	65267
gene.10173.829	1711	2516	1488	2300	1325	2019	1588	1515
gene.10173.830	126	265	142	186	84	164	132	98
gene.10173.877	2413	1696	1922	1371	2166	1229	1992	1149
gene.10173.879	13713	10150	12205	8676	13433	7419	12060	7444
gene.10173.880	271	408	348	300	276	232	328	250
gene.10173.881	134	283	209	151	186	200	143	98
gene.10173.884	2	3	4	2	1	1	2	2
gene.10173.962	248	420	269	385	270	406	351	377
gene.10173.973	3191	2467	3097	2909	3143	2675	2891	2676
gene.10173.980	82	162	106	116	95	244	148	80
gene.10173.982	282	243	142	185	319	248	196	202
gene.10173.983	37659	692711	36011	591279	38708	346194	35365	599393
gene.10182.129	46361	53395	42914	45751	44415	41294	42003	40011
gene.10182.1371	262	181	228	227	281	194	215	196
gene.10182.1513	2	13	3	3	11	1	5	3
gene.10182.1924	5212	4448	4449	4128	4664	3994	4622	3406
gene.10182.1928	17177	11560	15062	10769	16264	10641	14508	8443
gene.10182.1934	15893	10534	14826	10443	15395	10225	13827	9263
gene.10182.199	8869	4585	7768	4357	8854	4122	7744	3958
gene.10182.2019	21377	38297	22043	35648	22632	26046	19760	33849
gene.10182.2140	4	4	1	4	14	1	0	6
gene.10182.2180	8	3	10	11	4	9	15	16
gene.10182.252	125	94	64	77	62	58	114	98
gene.10182.270	44962	25101	38559	25502	43074	23662	37156	18834
gene.10182.277	898	1377	1592	2566	1146	2088	1336	1607
gene.10182.285	583	951	756	1274	601	956	846	1138
gene.10182.306	2771	3005	1687	2295	1780	1820	2068	2477
gene.10182.477	25127	30675	23935	36830	27781	35268	24089	32361
gene.10182.598	22	62	15	41	20	31	30	60
gene.10182.615	2	8	3	3	1	3	5	20
gene.10182.638	18	56	13	86	5	46	24	75
gene.10182.781	97135	58126	86739	57451	90966	52603	86947	50927
gene.10182.785	243	454	321	518	331	426	376	455
gene.10182.786	594	680	727	954	614	807	712	986
gene.10182.828	30	44	45	44	59	92	35	89
gene.10182.834	236	480	247	505	161	372	283	431
gene.10182.837	983	1574	1105	1901	822	1419	1154	1715
gene.10182.85	0	4	0	0	1	2	3	2
gene.10182.868	524	641	558	790	372	613	582	757
gene.10182.962	196	274	232	299	241	312	288	271
gene.10183.129	49030	56219	45671	48573	46655	44011	45036	42099
gene.10183.130	832	1140	781	1276	694	1291	1073	875
gene.10183.131	302	268	231	239	220	257	322	193
gene.10183.1371	262	181	228	227	281	194	215	196
gene.10183.1513	2	13	3	3	11	1	5	3
gene.10183.1901	7	35	7	80	3	71	2	34
gene.10183.1924	5212	4448	4449	4128	4664	3994	4622	3406
gene.10183.1928	17177	11560	15062	10769	16264	10641	14508	8443
gene.10183.1934	15893	10534	14826	10443	15395	10225	13827	9263
gene.10183.199	8869	4585	7768	4357	8854	4122	7744	3958
gene.10183.2019	21377	38297	22043	35648	22632	26046	19760	33849
gene.10183.2020	2335	3410	2541	3562	2059	2735	2299	2971
gene.10183.2021	15165	20168	15872	21151	14111	17602	16712	18625
gene.10183.2140	4	4	1	4	14	1	0	6
gene.10183.2180	8	3	10	11	4	9	15	16
gene.10183.252	125	94	64	77	62	58	114	98
gene.10183.269	64	32	26	26	44	42	34	30
gene.10183.270	47297	27994	41016	28516	45046	26014	40076	21410
gene.10183.271	404	716	460	561	389	549	577	551
