	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	3687.87491685474	0.136917127926001	0.153641452311392	0.891147056124576	0.372850283195076	0.764963535742528
ENSMUSG00000000028	203.111421145003	0.0484826547754535	0.406706003016022	0.119208112041424	0.905110480000098	NA
ENSMUSG00000000031	35.121697342545	0.0717917726314848	1.06276137205007	0.0675521095511765	0.946142179304414	NA
ENSMUSG00000000049	457.359691522064	0.486059404244755	0.378750498487298	1.28332347069124	0.199378773134246	NA
ENSMUSG00000000058	3048.33135352878	0.259346856016635	0.166538275042859	1.55728078695358	0.119403834964791	0.512851484180665
ENSMUSG00000000078	7024.14039355754	0.197992368148185	0.140176463393937	1.41245087338071	0.157817246064329	0.568217215127638
ENSMUSG00000000085	9742.82071765817	0.180844195532616	0.140752650075416	1.28483687828057	0.198849292372754	0.621362058896081
ENSMUSG00000000094	18.2673776690551	5.40517939398847	2.39153236910802	2.26013223312736	0.023813045164409	NA
ENSMUSG00000000125	309.542749631868	0.595983762298501	0.428469546395792	1.39095944463687	0.164237725093214	NA
ENSMUSG00000000126	2200.63750773371	0.00611365901674122	0.223944388816078	0.0272998981982186	0.978220538065437	0.9955915113369
ENSMUSG00000000127	3815.44541808039	0.184166456903909	0.179223758786058	1.02757836433813	0.304148205814521	0.718076915219633
ENSMUSG00000000131	21585.5956647636	0.0284784799422776	0.138922203786369	0.204995883783064	0.837575341001756	0.960807962423117
ENSMUSG00000000149	19272.9864591211	0.123195545062629	0.137260423015379	0.897531439552869	0.369435404806356	0.762382950012027
ENSMUSG00000000159	4363.86525989309	0.833562719777576	0.418473879641241	1.99191098974252	0.0463808249582139	0.338145638513967
ENSMUSG00000000167	281.174752473104	0.0804257664235009	0.358114946862191	0.224580870271383	0.822305348069475	NA
ENSMUSG00000000182	72.6151721602043	1.34003357597971	0.683122282044112	1.96163060582641	0.0498055063267253	NA
ENSMUSG00000000183	1.63307741085838	0.736065448341089	5.41708595039171	0.135878488006613	0.891917341817735	NA
ENSMUSG00000000197	21745.5800552797	0.0970306962202575	0.130014866462491	0.746304625465663	0.4554834179281	0.816620000049315
ENSMUSG00000000204	4.76439018166276	8.8307201805032	3.43556295675841	2.5703852008101	0.0101585489468582	NA
ENSMUSG00000000215	0.723092915957688	3.5109696004872	7.34491281821653	0.478013788234415	0.632640391342246	NA
ENSMUSG00000000248	2.51837733904008	1.61395887425872	3.78522307431466	0.426384084259272	0.669827996842859	NA
ENSMUSG00000000263	194.957861674198	0.0453061170116411	0.405884257405965	0.111623242796347	0.911122142105377	NA
ENSMUSG00000000266	4597.48336475651	0.0490593203020766	0.17775729349439	0.275990477451913	0.782555380190065	0.940694228006311
ENSMUSG00000000275	814.626270053002	0.0142852512567642	0.289061549214391	0.0494194101415028	0.960585060004198	NA
ENSMUSG00000000276	15186.855082059	0.0184420008970434	0.141326828050018	0.130491861676231	0.896177292531341	0.976964243915204
ENSMUSG00000000278	1432.13820448306	0.0565959250216347	0.18503858031972	0.30586013426954	0.759711140447525	0.933182345650143
ENSMUSG00000000295	660.241993142483	0.287658719394696	0.272112997533332	1.0571296557029	0.290452418411293	NA
ENSMUSG00000000296	1167.09412704617	0.21054022152192	0.208180213294136	1.01133637145644	0.311855463629533	NA
ENSMUSG00000000303	281.88961553655	0.00452128016811319	0.478175697451177	0.00945526966805925	0.992455898723576	NA
