KO__Input	KO__Arc_IP	WT_1_Input	WT_1_Arc_IP	WT_2_Input	WT_2_Arc_IP	WT_3_Input	WT_3_Arc_IP
ENSMUSG00000003429	10563.7495766076	5378.52855657087	9006.90475113851	6612.09481267279	9563.8043485515	6154.76212482256	8343.15683363259	6775.21498549437
ENSMUSG00000019437	5227.93641045633	3001.87546856876	4630.93416335389	3819.21062768345	5095.18420935114	4111.37173140259	4120.61031508084	4138.92976093087
ENSMUSG00000021140	41137.0028383195	162755.789200301	38705.6406741859	273502.702594006	40079.2150206449	214139.116248892	35888.8903751636	272063.620731384
ENSMUSG00000022602	196.956803958102	151.507846663968	25054.239867376	463768.735359443	29049.0767023656	381109.287834546	23810.8277801239	558671.826131236
ENSMUSG00000026098	1518.44706122055	1352.46004455369	1426.71107180251	1951.61556719552	1463.72328610224	1806.84892667451	1326.08898929724	2172.17729181206
ENSMUSG00000028218	4488.32683542695	3009.9558870575	4309.06525235155	3898.97693151978	4251.93339827321	4046.96687659565	4267.54538314701	4625.86267398156
ENSMUSG00000030753	9693.38029770557	8939.97300548521	9120.82464660563	11254.4936959472	9225.28570509503	10961.70628814	8767.43184267367	11550.7080858821
ENSMUSG00000030876	6951.51275712702	4233.12923579127	6081.15251517342	5488.98525465728	6612.86162371636	5184.00531327805	5929.74834064564	5304.27181065374
ENSMUSG00000031617	7257.16356492922	6949.15990032067	7176.95341442858	9707.02740152237	7352.55531764437	12721.7153204095	7143.79934054242	12392.6962480323
ENSMUSG00000031762	4382.08457603046	2742.29202461782	4193.33710457543	3560.76780325374	3730.66690102277	3865.46228577611	3700.00868274141	3664.67739249087
ENSMUSG00000031767	496.886874715875	208.070776085183	444.83006801447	322.25586749877	430.762798228661	421.559049645381	420.60163233943	413.385754308659
ENSMUSG00000035365	980.697779044489	382.809825904293	94.9332462226003	163.78681054393	119.22121890369	106.560759771471	141.425003013695	106.516574729838
ENSMUSG00000041245	13795.9660067084	13305.4190940297	12113.4822180038	16959.3797463214	13176.990486421	17769.8849399129	12436.216823451	18768.4740782897
ENSMUSG00000044067	8001.67662885383	5400.74970741492	8449.05891381142	8027.68081808818	8224.5236486042	8809.41314022833	9093.4440249455	8276.59146740066
ENSMUSG00000044229	2118.3072027361	2118.07969636227	1963.76200757607	2856.69722805841	1857.0662856969	2788.14471446014	2020.35718590993	2988.80436474082
ENSMUSG00000058546	3814.91436048306	2177.67278271677	3677.98519650988	3416.12490563053	3782.01034566013	3329.14549483838	3081.04470851264	3503.63447593504
ENSMUSG00000060143	122.587222380561	26.2613600884211	88.6043631410936	105.291521063955	74.8395972680099	67.9178468873113	80.8142874363971	109.052683651977
ENSMUSG00000060657	61024.7365491925	83340.4262406045	56533.2001886357	98081.7107478684	56939.8801028274	106349.980246649	53553.2405892443	103795.329856383
ENSMUSG00000073702	3519.88777862051	1732.2397135247	3174.38692845285	2251.53686962012	3287.72091254118	2406.39957505905	2814.72489764269	2406.76736710992
ENSMUSG00000076498	561.44947850297	117.166068086802	700.69776973824	419.038982820183	578.701537014262	314.998289873909	575.801797984329	309.405288500959
ENSMUSG00000087881	874.455519648003	1146.40937309069	1348.95622251542	4497.75598565116	1363.64708045316	3872.48826993687	1124.97161488166	3359.07626737312
ENSMUSG00000088789	183.063585421638	254.533182395466	223.319160161736	1125.23665945115	227.129475429658	792.765212805341	202.954062766406	869.885360293681
ENSMUSG00000088835	428.23803018276	345.437890393847	406.85676952543	1253.9262963071	419.449835850939	998.860748187527	443.56023672477	661.924428678282
ENSMUSG00000089417	827.87237514339	1190.85167477879	1256.73535475633	4202.08888609783	1281.84566018347	3966.16805874696	1091.91122456677	3000.21685489045
ENSMUSG00000093674	14386.0191704335	5661.34320367694	12982.3474524792	9365.62762110288	14163.8288969085	7516.63205464916	11627.1556049116	9827.42207328867
ENSMUSG00000103186	95.6180334568377	19.1909939107693	100.358003149606	109.545723935226	59.1754955142404	63.2338574468071	89.0793850151195	100.176302424491
ENSMUSG00000110279	2642.16326637569	1744.36034125782	2298.28868474143	2280.2527390012	2520.17992660647	2447.38448266346	2164.53722144986	2486.6547981573
ENSMUSG00000110588	3309.85500427515	2141.31089951742	3094.82382685677	2795.01128642498	2722.07279365506	3008.29221816384	2824.82668357224	2868.33919093922
