	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AF357341	16.2634559672906	-1.50247848049805	2.40586263130338	-0.624507177155031	0.532294558347355	0.999998704039269
AF357399	15.2027957955108	-0.612961044188332	2.40954809005922	-0.254388383745961	0.79919552428456	0.999998704039269
AF357425	1070.91322010703	1.67595371518056	1.50966234951438	1.11015136313075	0.266933807120929	0.999998704039269
AF357428	190.565277529775	1.29580352919348	1.5586261256198	0.831375470931612	0.405761551560478	0.999998704039269
DQ267100	537.047600311183	-0.184496039404988	1.42576905049671	-0.129401069086689	0.897040301785296	0.999998704039269
DQ267101	0	NA	NA	NA	NA	NA
DQ267102	91.9238815542512	8.42731686310386e-06	1.60253450926657	5.25874283166657e-06	0.999995804130285	0.999998704039269
Gm19658	0.707106781186547	-3.44251879904536	6.91852480936411	-0.49757988789546	0.618780182333994	0.999998704039269
Gm22002	0	NA	NA	NA	NA	NA
Gm22003	11.3137084989848	-1.13748108862738	2.68454556039299	-0.423714577770423	0.671773982390168	0.999998704039269
Gm22004	0	NA	NA	NA	NA	NA
Gm22005	0	NA	NA	NA	NA	NA
Gm22006	0	NA	NA	NA	NA	NA
Gm22008	0	NA	NA	NA	NA	NA
Gm22010	0	NA	NA	NA	NA	NA
Gm22011	0	NA	NA	NA	NA	NA
Gm22013	0	NA	NA	NA	NA	NA
Gm22015	0	NA	NA	NA	NA	NA
Gm22018	0	NA	NA	NA	NA	NA
Gm22019	0	NA	NA	NA	NA	NA
Gm22020	0	NA	NA	NA	NA	NA
Gm22021	0	NA	NA	NA	NA	NA
Gm22022	0	NA	NA	NA	NA	NA
Gm22023	0	NA	NA	NA	NA	NA
Gm22027	2.47487373415292	-0.4150090684537	4.91727023904644	-0.0843982633206222	0.932739788030864	0.999998704039269
Gm22029	0	NA	NA	NA	NA	NA
Gm22030	0	NA	NA	NA	NA	NA
Gm22031	8.48528137423857	-1.58493172880604	3.00732608667255	-0.527023569485836	0.598177221087492	0.999998704039269
Gm22032	0	NA	NA	NA	NA	NA
Gm22033	0	NA	NA	NA	NA	NA
Gm22034	0	NA	NA	NA	NA	NA
Gm22039	0	NA	NA	NA	NA	NA
