WT_Input	WT_Arc_IP
dsRNA_tag_1	92.6890986354272	78.3371519077944
dsRNA_tag_10	66.4563348706836	132.658534617579
dsRNA_tag_100	85.6936949648289	134.945750731675
dsRNA_tag_1000	138.159222494316	77.7653478792703
dsRNA_tag_1001	276.318444988632	265.317069235158
dsRNA_tag_1002	157.396582588461	184.692701213267
dsRNA_tag_1003	43.7212729412392	72.6191116225539
dsRNA_tag_1004	129.414967906068	127.512298360862
dsRNA_tag_1005	48.9678256941879	53.7495786812604
dsRNA_tag_1006	148.652328000213	66.3292673087894
dsRNA_tag_1007	64.7074839530341	87.4860163641791
dsRNA_tag_1008	33.2281674353418	96.6348808205639
dsRNA_tag_1009	80.4471422118802	69.7600914799337
dsRNA_tag_101	19.2373600941453	65.7574632802654
dsRNA_tag_1010	99.6845023060254	188.123525384411
dsRNA_tag_1011	43.7212729412392	56.6085988238806
dsRNA_tag_1012	76.949440376581	67.4728753658375
dsRNA_tag_1013	52.4655275294871	80.6243680218906
dsRNA_tag_1014	124.168415153119	124.081474189718
dsRNA_tag_1015	4011.86400508811	4693.9392701539
dsRNA_tag_1016	173.136240847307	236.155063780431
dsRNA_tag_1017	164.39198625906	83.4833881645108
dsRNA_tag_1018	171.387389929658	162.964148129353
dsRNA_tag_1019	29.7304656000427	173.256620642786
dsRNA_tag_102	52.4655275294871	55.4649907668325
dsRNA_tag_1020	124.168415153119	117.21982584743
dsRNA_tag_1021	13.9908073411966	216.14192278209
dsRNA_tag_1022	80.4471422118802	1526.14495213068
dsRNA_tag_1023	3.49770183529914	101.209313048756
dsRNA_tag_1024	38.4747201882905	646.710356260697
dsRNA_tag_1025	1.74885091764957	77.7653478792703
dsRNA_tag_1026	3.49770183529914	170.397600500166
dsRNA_tag_1027	113.675309647222	121.222454047098
dsRNA_tag_1028	94.4379495530767	69.1882874514096
dsRNA_tag_1029	41.9724220235897	72.6191116225539
dsRNA_tag_103	306.048910588675	261.886245064013
dsRNA_tag_1030	447.70583491829	470.022911446766
dsRNA_tag_1031	97.9356513883759	153.815283672969
dsRNA_tag_1032	237.843724800341	223.003571124378
dsRNA_tag_1033	951.374899201366	774.794458650083
dsRNA_tag_1034	218.606364706196	127.512298360862
dsRNA_tag_1035	1138.50194738987	1311.14663740564
dsRNA_tag_1036	811.4668257894	1280.84102389386
dsRNA_tag_1037	94.4379495530767	68.0446793943615
dsRNA_tag_1038	124.168415153119	117.21982584743
dsRNA_tag_1039	75.2005894589315	134.945750731675
dsRNA_tag_104	257.081084894487	159.533323958209
dsRNA_tag_1040	115.424160564872	108.070961391045
dsRNA_tag_1041	43.7212729412392	62.8984431376451
dsRNA_tag_1042	309.546612423974	138.948378931343
dsRNA_tag_1043	678.554156048033	1161.33398193234
dsRNA_tag_1044	916.397880848374	580.381088951907
dsRNA_tag_1045	55.9632293647862	57.7522068809287
dsRNA_tag_1046	75.2005894589315	94.3476647064677
dsRNA_tag_1047	55.9632293647862	60.0394229950249
dsRNA_tag_1048	64.7074839530341	77.7653478792703
dsRNA_tag_1049	466.943195012435	433.427453621227
dsRNA_tag_105	171.387389929658	166.394972300498
dsRNA_tag_1050	136.410371576666	58.8958149379768
dsRNA_tag_1051	258.829935812136	191.554349555556
dsRNA_tag_1052	1.74885091764957	70.3318955084577
dsRNA_tag_1053	48.9678256941879	409.983488451741
dsRNA_tag_1054	188.875899106153	42.3134981107794
dsRNA_tag_1055	1157.73930748401	1326.58534617579
dsRNA_tag_1056	110.177607811923	83.4833881645108
dsRNA_tag_1057	66.4563348706836	261.314441035489
dsRNA_tag_1058	365.50984178876	373.388030626202
dsRNA_tag_1059	4977.22971163067	1655.94446660564
dsRNA_tag_106	272.820743153333	5288.61545981891
dsRNA_tag_1060	216.857513788547	94.3476647064677
dsRNA_tag_1061	302.551208753375	100.065704991708
dsRNA_tag_1062	124.168415153119	553.506299611277
dsRNA_tag_1063	73.4517385412819	103.496529162852
dsRNA_tag_1064	141.656924329615	87.4860163641791
dsRNA_tag_1065	139.908073411966	133.802142674627
dsRNA_tag_1066	75.2005894589315	129.227710446435
dsRNA_tag_1067	543.892635389016	555.793515725373
dsRNA_tag_1068	286.811550494529	214.426510696517
dsRNA_tag_1069	136.410371576666	173.82842467131
dsRNA_tag_107	83.9448440471793	82.9115841359867
dsRNA_tag_1070	475.687449600683	472.310127560862
dsRNA_tag_1071	55.9632293647862	81.1961720504146
dsRNA_tag_1072	57.7120802824358	52.6059706242123
dsRNA_tag_1073	38.4747201882905	73.762719679602
dsRNA_tag_1074	92.6890986354272	79.4807599648425
dsRNA_tag_1075	38.4747201882905	66.3292673087894
dsRNA_tag_1076	76.949440376581	78.9089559363184
dsRNA_tag_1077	793.978316612904	854.84702264345
dsRNA_tag_1078	47.2189747765384	74.9063277366501
dsRNA_tag_1079	202.86670644735	251.021968522056
dsRNA_tag_108	120.67071331782	75.4781317651741
dsRNA_tag_1080	62.9586330353845	104.640137219901
dsRNA_tag_1081	162.64313534141	154.958891730017
dsRNA_tag_1082	1215.45138776645	54.3213827097844
dsRNA_tag_1083	174.885091764957	159.533323958209
dsRNA_tag_1084	141.656924329615	192.12615358408
dsRNA_tag_1085	111.926458729572	73.762719679602
dsRNA_tag_1086	138.159222494316	41.1698900537314
dsRNA_tag_1087	115.424160564872	71.4755035655058
dsRNA_tag_1088	202.86670644735	276.181345777114
dsRNA_tag_1089	431.966176659444	244.160320179768
dsRNA_tag_109	141.656924329615	190.982545527032
dsRNA_tag_1090	61.2097821177349	51.4623625671642
dsRNA_tag_1091	62.9586330353845	77.1935438507463
dsRNA_tag_1092	62.9586330353845	68.6164834228856
dsRNA_tag_1093	29.7304656000427	69.1882874514096
dsRNA_tag_1094	57.7120802824358	53.7495786812604
dsRNA_tag_1095	414.477667482948	487.748836331012
dsRNA_tag_1096	774.740956518759	674.156949629851
dsRNA_tag_1097	122.41956423547	53.1777746527363
dsRNA_tag_1098	104.931055058974	102.924725134328
dsRNA_tag_1099	78.6982912942306	64.6138552232173
dsRNA_tag_11	393.491456471153	281.899386062355
dsRNA_tag_110	54.2143784471366	200.131409983416
dsRNA_tag_1100	419.724220235897	343.654221142952
dsRNA_tag_1101	45.4701238588888	83.4833881645108
dsRNA_tag_1102	75.2005894589315	88.0578203927032
dsRNA_tag_1103	75.2005894589315	113.217197647761
dsRNA_tag_1104	66.4563348706836	62.3266391091211
dsRNA_tag_1105	124.168415153119	113.217197647761
dsRNA_tag_1106	62.9586330353845	153.243479644444
dsRNA_tag_1107	379.500649129957	299.053506918076
dsRNA_tag_1108	104.931055058974	142.379203102488
dsRNA_tag_1109	78.6982912942306	88.6296244212272
dsRNA_tag_111	15.7396582588461	84.6269962215589
dsRNA_tag_1110	41.9724220235897	75.4781317651741
dsRNA_tag_1111	132.912669741367	227.578003352571
dsRNA_tag_1112	869.178906071836	1070.41714139702
dsRNA_tag_1113	34.9770183529914	92.6322526208955
dsRNA_tag_1114	131.163818823718	103.496529162852
dsRNA_tag_1115	52.4655275294871	52.6059706242123
dsRNA_tag_1116	152.150029835513	102.352921105804
dsRNA_tag_1117	157.396582588461	84.6269962215589
dsRNA_tag_1118	178.382793600256	128.084102389386
dsRNA_tag_1119	115.424160564872	179.546464956551
dsRNA_tag_112	188.875899106153	145.238223245108
dsRNA_tag_1120	66.4563348706836	77.7653478792703
