WT_Input	WT_Arc_IP
dsRNA_tag_1	53	137
dsRNA_tag_10	38	232
dsRNA_tag_100	49	236
dsRNA_tag_1000	79	136
dsRNA_tag_1001	158	464
dsRNA_tag_1002	90	323
dsRNA_tag_1003	25	127
dsRNA_tag_1004	74	223
dsRNA_tag_1005	28	94
dsRNA_tag_1006	85	116
dsRNA_tag_1007	37	153
dsRNA_tag_1008	19	169
dsRNA_tag_1009	46	122
dsRNA_tag_101	11	115
dsRNA_tag_1010	57	329
dsRNA_tag_1011	25	99
dsRNA_tag_1012	44	118
dsRNA_tag_1013	30	141
dsRNA_tag_1014	71	217
dsRNA_tag_1015	2294	8209
dsRNA_tag_1016	99	413
dsRNA_tag_1017	94	146
dsRNA_tag_1018	98	285
dsRNA_tag_1019	17	303
dsRNA_tag_102	30	97
dsRNA_tag_1020	71	205
dsRNA_tag_1021	8	378
dsRNA_tag_1022	46	2669
dsRNA_tag_1023	2	177
dsRNA_tag_1024	22	1131
dsRNA_tag_1025	1	136
dsRNA_tag_1026	2	298
dsRNA_tag_1027	65	212
dsRNA_tag_1028	54	121
dsRNA_tag_1029	24	127
dsRNA_tag_103	175	458
dsRNA_tag_1030	256	822
dsRNA_tag_1031	56	269
dsRNA_tag_1032	136	390
dsRNA_tag_1033	544	1355
dsRNA_tag_1034	125	223
dsRNA_tag_1035	651	2293
dsRNA_tag_1036	464	2240
dsRNA_tag_1037	54	119
dsRNA_tag_1038	71	205
dsRNA_tag_1039	43	236
dsRNA_tag_104	147	279
dsRNA_tag_1040	66	189
dsRNA_tag_1041	25	110
dsRNA_tag_1042	177	243
dsRNA_tag_1043	388	2031
dsRNA_tag_1044	524	1015
dsRNA_tag_1045	32	101
dsRNA_tag_1046	43	165
dsRNA_tag_1047	32	105
dsRNA_tag_1048	37	136
dsRNA_tag_1049	267	758
dsRNA_tag_105	98	291
dsRNA_tag_1050	78	103
dsRNA_tag_1051	148	335
dsRNA_tag_1052	1	123
dsRNA_tag_1053	28	717
dsRNA_tag_1054	108	74
dsRNA_tag_1055	662	2320
dsRNA_tag_1056	63	146
dsRNA_tag_1057	38	457
dsRNA_tag_1058	209	653
dsRNA_tag_1059	2846	2896
dsRNA_tag_106	156	9249
dsRNA_tag_1060	124	165
dsRNA_tag_1061	173	175
dsRNA_tag_1062	71	968
dsRNA_tag_1063	42	181
dsRNA_tag_1064	81	153
dsRNA_tag_1065	80	234
dsRNA_tag_1066	43	226
dsRNA_tag_1067	311	972
dsRNA_tag_1068	164	375
dsRNA_tag_1069	78	304
dsRNA_tag_107	48	145
dsRNA_tag_1070	272	826
dsRNA_tag_1071	32	142
dsRNA_tag_1072	33	92
dsRNA_tag_1073	22	129
dsRNA_tag_1074	53	139
dsRNA_tag_1075	22	116
dsRNA_tag_1076	44	138
dsRNA_tag_1077	454	1495
dsRNA_tag_1078	27	131
dsRNA_tag_1079	116	439
dsRNA_tag_108	69	132
dsRNA_tag_1080	36	183
dsRNA_tag_1081	93	271
dsRNA_tag_1082	695	95
dsRNA_tag_1083	100	279
dsRNA_tag_1084	81	336
dsRNA_tag_1085	64	129
dsRNA_tag_1086	79	72
dsRNA_tag_1087	66	125
dsRNA_tag_1088	116	483
dsRNA_tag_1089	247	427
dsRNA_tag_109	81	334
dsRNA_tag_1090	35	90
dsRNA_tag_1091	36	135
