Label	File	ReadType	Batch
AS11	AS11.exonic.txt	exonic	1
AS11	AS11.intronic.txt	intronic	1
AD6	AD6.exonic.txt	exonic	1
AD6	AD6.intronic.txt	intronic	1
AI4	AI4.exonic.txt	exonic	1
AI4	AI4.intronic.txt	intronic	1
BB12	BB12.exonic.txt	exonic	1
BB12	BB12.intronic.txt	intronic	1
AY2	AY2.exonic.txt	exonic	1
AY2	AY2.intronic.txt	intronic	1
AK9	AK9.exonic.txt	exonic	1
AK9	AK9.intronic.txt	intronic	1
AQ1	AQ1.exonic.txt	exonic	1
AQ1	AQ1.intronic.txt	intronic	1
AL2	AL2.exonic.txt	exonic	1
AL2	AL2.intronic.txt	intronic	1
AQ12	AQ12.exonic.txt	exonic	1
AQ12	AQ12.intronic.txt	intronic	1
BD7	BD7.exonic.txt	exonic	1
BD7	BD7.intronic.txt	intronic	1
AK7	AK7.exonic.txt	exonic	1
AK7	AK7.intronic.txt	intronic	1
AJ10	AJ10.exonic.txt	exonic	1
AJ10	AJ10.intronic.txt	intronic	1
AP7	AP7.exonic.txt	exonic	1
AP7	AP7.intronic.txt	intronic	1
AI1	AI1.exonic.txt	exonic	1
AI1	AI1.intronic.txt	intronic	1
AQ10	AQ10.exonic.txt	exonic	1
AQ10	AQ10.intronic.txt	intronic	1
BA4	BA4.exonic.txt	exonic	1
BA4	BA4.intronic.txt	intronic	1
AL1	AL1.exonic.txt	exonic	1
AL1	AL1.intronic.txt	intronic	1
BA5	BA5.exonic.txt	exonic	1
BA5	BA5.intronic.txt	intronic	1
AS4	AS4.exonic.txt	exonic	1
AS4	AS4.intronic.txt	intronic	1
AE1	AE1.exonic.txt	exonic	1
AE1	AE1.intronic.txt	intronic	1
AV18	AV18.exonic.txt	exonic	1
AV18	AV18.intronic.txt	intronic	1
AK3	AK3.exonic.txt	exonic	1
AK3	AK3.intronic.txt	intronic	1
BA7	BA7.exonic.txt	exonic	1
BA7	BA7.intronic.txt	intronic	1
AS1	AS1.exonic.txt	exonic	1
AS1	AS1.intronic.txt	intronic	1
