	Uniquely Mapped	Multi-Loci	Too Many Loci	Too Many Mismatches	Too Short	Other
AD6	86.92	7.74	1.46	0.0	3.26	0.62
AE10	90.63	4.29	0.03	0.0	5.04	0.02
AI4	94.26	3.25	0.03	0.0	2.45	0.01
AK7	91.13	4.54	0.02	0.0	4.3	0.02
AK9	90.15	3.79	0.02	0.0	6.03	0.02
AQ1	84.97	5.73	0.79	0.0	7.57	0.93
AQ10	86.3	3.99	0.55	0.0	8.57	0.58
AQ12	79.08	6.42	1.0	0.0	12.04	1.47
AY2	83.46	8.19	1.03	0.0	6.75	0.57
BA4	89.29	7.72	0.07	0.0	2.84	0.08
BA7	83.08	12.97	0.05	0.0	3.89	0.01
BB12	89.57	7.51	0.05	0.0	2.85	0.02
M4	74.17	11.02	0.05	0.0	14.74	0.02
M7	91.26	5.57	0.03	0.0	3.13	0.02
N5	77.85	4.39	0.04	0.0	17.7	0.03
P5	91.43	5.51	0.06	0.0	2.96	0.04
T3	88.03	6.2	0.03	0.0	5.72	0.02
U17	89.34	6.38	0.02	0.0	4.25	0.01
Z10	82.6	4.24	0.05	0.0	13.1	0.01
AE5	92.84	3.97	0.03	0.0	3.14	0.02
AE6	91.71	4.2	0.04	0.0	4.03	0.02
AF1	91.49	4.22	0.03	0.0	4.25	0.02
AJ10	91.01	4.28	0.02	0.0	4.68	0.01
AK3	89.49	5.13	0.02	0.0	5.34	0.01
AL1	91.05	5.68	0.03	0.0	3.22	0.02
AL2	92.26	4.69	0.02	0.0	3.01	0.02
AS1	91.34	5.21	0.04	0.0	3.35	0.06
AS11	89.47	6.09	0.03	0.0	4.37	0.03
BA5	90.28	6.36	0.05	0.0	3.28	0.03
K9	81.63	4.55	0.02	0.0	13.79	0.01
M12	92.22	3.61	0.06	0.0	4.07	0.05
O6	78.14	14.87	0.03	0.0	6.95	0.01
T2	90.72	4.23	0.03	0.0	4.99	0.03
T4	89.8	5.18	0.03	0.0	4.97	0.02
V1	90.91	4.47	0.07	0.0	4.52	0.04
V2	90.1	3.99	0.05	0.0	5.81	0.06
V4	91.54	4.22	0.04	0.0	4.17	0.04
Z1	69.55	15.0	0.33	0.0	15.07	0.04
Z5	79.65	3.64	0.05	0.0	16.64	0.02
AE1	91.37	5.73	0.03	0.0	2.86	0.01
AE4	93.2	3.95	0.03	0.0	2.79	0.02
AI1	93.16	3.39	0.05	0.0	3.37	0.03
AP7	93.89	2.93	0.02	0.0	3.13	0.02
AS4	94.42	3.23	0.02	0.0	2.32	0.02
AV18	84.21	12.64	0.06	0.0	3.06	0.02
M9	88.06	5.04	0.05	0.0	6.82	0.02
Q10	91.91	5.36	0.02	0.0	2.7	0.01
S5	87.32	5.43	0.02	0.0	7.21	0.02
T1	36.1	17.5	0.05	0.0	46.34	0.01
T6	87.48	3.51	0.03	0.0	8.97	0.02
U15	91.67	5.22	0.02	0.0	3.08	0.01
U16	90.08	5.81	0.02	0.0	4.08	0.01
Z4	82.64	2.35	0.03	0.0	14.96	0.02
