sensory_water_1	sensory_50uM_OXL_	sensory_water_2
A1BG	65.3764941381607	93.4165871327676	143.981474565919
A1BG-AS1	0	8.49241701206979	2.44036397569354
A1CF	55.8424220763456	0.849241701206979	7.32109192708061
A2M	9.5340720618151	24.6280093350024	43.9265515624837
A2M-AS1	2.72402058909003	18.6833174265535	46.3669155381772
A2ML1	0	0	0
A2MP1	0	0	0
A3GALT2	0	0	0
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	74.9105661999758	12.7386255181047	8.94800124420964
AACS	200.215513298117	63.6931275905234	88.6665577835319
AACSP1	4.08603088363504	6.79393360965583	26.0305490740644
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0	6.79393360965583	0.813454658564512
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	10.8960823563601	20.3818008289675	10.5749105613387
AAED1	0	0	0
AAGAB	99.4267515017861	73.8840280050071	112.256742881903
AAK1	403.155047185324	235.239951234333	299.351314351741
AAMDC	144.373091221772	69.6378194989722	70.7705552951126
AAMP	10.8960823563601	37.3666348531071	69.9571006365481
AANAT	0	0	0
AAR2	53.1184014872556	66.2408526941443	47.9938248553062
AARD	0	17.8340757253466	8.13454658564513
AARS	138.925050043591	169.848340241396	164.317841030032
AARS2	58.5664426654356	29.7234595422442	46.3669155381772
AARSD1	125.304947098141	68.7885777977653	109.816378906209
AASDH	9.5340720618151	45.8590518651768	26.0305490740644
AASDHPPT	163.441235345402	90.8688620291467	98.428013686306
AASS	366.380769232609	107.004454352079	196.856027372612
AATBC	0	0	0
AATF	219.283657421747	96.8135539375956	52.0610981481288
AATK	13.6201029454501	14.4371089205186	26.0305490740644
AATK-AS1	0	0	0
ABALON	9.5340720618151	1.69848340241396	0
ABAT	65.3764941381607	45.8590518651768	25.2170944154999
ABCA1	62.6524735490707	29.7234595422442	14.6421838541612
ABCA10	0	0	4.06727329282256
ABCA11P	6.81005147272507	3.39696680482791	0
ABCA12	25.8781955963553	0.849241701206979	19.5229118055483
ABCA13	0	45.8590518651768	5.69418260995159
ABCA17P	0	6.79393360965583	0
ABCA2	28.6022161854453	53.5022271760397	30.9112770254515
ABCA3	81.7206176727009	37.3666348531071	65.8898273437255
ABCA4	0	3.39696680482791	0.813454658564512
ABCA5	17.7061338290852	19.5325591277605	39.8592782696611
ABCA6	0	0	0
ABCA7	1.36201029454501	28.8742178410373	19.5229118055483
ABCA8	6.81005147272507	0	20.3363664641128
ABCA9	0	2.54772510362094	0
ABCA9-AS1	0	0	0
ABCB1	0	4.24620850603489	0
ABCB10	0	6.79393360965583	0.813454658564512
ABCB11	0	9.34165871327676	0.813454658564512
ABCB4	2.72402058909003	1.69848340241396	2.44036397569354
ABCB5	0	0	0
ABCB6	34.0502573636254	182.5869657595	121.204744126112
ABCB7	108.960823563601	5.09545020724187	8.94800124420964
ABCB8	31.3262367745353	19.5325591277605	17.8960024884193
ABCB9	10.8960823563601	91.7181037303537	24.4036397569354
ABCC1	0	2.54772510362094	13.0152745370322
ABCC10	31.3262367745353	12.7386255181047	8.94800124420964
ABCC11	0	5.94469190844885	0
ABCC12	0	0	0
ABCC13	24.5161853018103	0	10.5749105613387
ABCC2	0	6.79393360965583	0
ABCC3	0	2.54772510362094	0.813454658564512
ABCC4	1.36201029454501	7.64317531086281	1.62690931712902
ABCC5	19.0681441236302	82.3764450170769	74.8378285879351
ABCC5-AS1	0	0	0
ABCC6	0	0	2.44036397569354
ABCC6P1	0	0	7.32109192708061
ABCC6P2	0	0	0
ABCC8	0	0	7.32109192708061
ABCC9	0	6.79393360965583	10.5749105613387
ABCD1	0	6.79393360965583	0
ABCD2	0	0	10.5749105613387
ABCD3	66.7385044327057	42.4620850603489	42.2996422453546
ABCD4	0	13.5878672193117	28.4709130497579
ABCE1	40.8603088363504	78.130236511042	67.5167366608545
ABCF1	1273.47962539959	638.629759307648	397.779328038047
ABCF2	51.7563911927106	47.5575352675908	50.4341888309998
ABCF3	77.6345867890658	43.3113267615559	38.2323689525321
ABCG1	0	0	1.62690931712902
ABCG2	39.4982985418054	71.3363029013862	80.5320111978867
ABCG4	0	0	0
ABCG5	1.36201029454501	0	0
ABCG8	0	0	0
ABHD1	14.9821132399952	16.1355923229326	24.4036397569354
ABHD10	57.2044323708906	55.2007105784536	59.3821900752094
ABHD11	20.4301544181752	28.8742178410373	24.4036397569354
ABHD11-AS1	0	0	0
ABHD12	50.3943808981655	43.3113267615559	47.1803701967417
ABHD12B	0	14.4371089205186	0
ABHD13	9.5340720618151	16.9848340241396	7.32109192708061
