sensory_water_1	sensory_50uM_OXL_	sensory_water_2
A1BG	48	110	177
A1BG-AS1	0	10	3
A1CF	41	1	9
A2M	7	29	54
A2M-AS1	2	22	57
A2ML1	0	0	0
A2MP1	0	0	0
A3GALT2	0	0	0
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	55	15	11
AACS	147	75	109
AACSP1	3	8	32
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0	8	1
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	8	24	13
AAED1	0	0	0
AAGAB	73	87	138
AAK1	296	277	368
AAMDC	106	82	87
AAMP	8	44	86
AANAT	0	0	0
AAR2	39	78	59
AARD	0	21	10
AARS	102	200	202
AARS2	43	35	57
AARSD1	92	81	135
AASDH	7	54	32
AASDHPPT	120	107	121
AASS	269	126	242
AATBC	0	0	0
AATF	161	114	64
AATK	10	17	32
AATK-AS1	0	0	0
ABALON	7	2	0
ABAT	48	54	31
ABCA1	46	35	18
ABCA10	0	0	5
ABCA11P	5	4	0
ABCA12	19	1	24
ABCA13	0	54	7
ABCA17P	0	8	0
ABCA2	21	63	38
ABCA3	60	44	81
ABCA4	0	4	1
ABCA5	13	23	49
ABCA6	0	0	0
ABCA7	1	34	24
ABCA8	5	0	25
ABCA9	0	3	0
ABCA9-AS1	0	0	0
ABCB1	0	5	0
ABCB10	0	8	1
ABCB11	0	11	1
ABCB4	2	2	3
ABCB5	0	0	0
ABCB6	25	215	149
ABCB7	80	6	11
ABCB8	23	23	22
ABCB9	8	108	30
ABCC1	0	3	16
ABCC10	23	15	11
ABCC11	0	7	0
ABCC12	0	0	0
ABCC13	18	0	13
ABCC2	0	8	0
ABCC3	0	3	1
ABCC4	1	9	2
ABCC5	14	97	92
ABCC5-AS1	0	0	0
ABCC6	0	0	3
ABCC6P1	0	0	9
ABCC6P2	0	0	0
ABCC8	0	0	9
ABCC9	0	8	13
ABCD1	0	8	0
ABCD2	0	0	13
ABCD3	49	50	52
ABCD4	0	16	35
ABCE1	30	92	83
ABCF1	935	752	489
ABCF2	38	56	62
ABCF3	57	51	47
