sensory_water_1	sensory_50uM_OXL_	sensory_water_2
CDKN1A	39.4982985418054	930.768904522849	66.70328200229
FDXR	54.4804117818006	641.177484411269	47.9938248553062
KRT17	2.72402058909003	128.235496882254	0.813454658564512
RN7SK	14.9821132399952	1189.78762339098	78.9051018807577
RNA28S5	2.72402058909003	108.702937754493	2.44036397569354
RNU4-1	9.5340720618151	422.922367201075	2.44036397569354
RNU4-2	155.269173578132	2048.37098331123	46.3669155381772
RNU5B-1	0	130.783221985875	2.44036397569354
RNU6ATAC	0	112.949146260528	0
RNY5	61.2904632545257	2980.83837123649	26.0305490740644
SCARNA17	1.36201029454501	223.350567417435	3.25381863425805
SCARNA2	126.666957392686	1276.41027691409	13.8287291955967
SNCA-AS1	0	67.0900943953513	0
SNORA2B	0	95.1150705351816	0
SNORA48	0	78.130236511042	0
SNORA80E	0	192.777866173984	4.88072795138708
SNORD116-2	0	73.0347863038002	0
SNORD3A	0	72.1855446025932	0
SNORD83B	0	66.2408526941443	0
