	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	100.924851945616	-0.167968309532896	1.08368036859547	-0.154998018235392	0.876822879644362	0.999865635117833
A1BG-AS1	3.64426032925444	2.75747776268868	4.66290813113697	0.5913643771524	0.554276303395233	NA
A1CF	21.3375852348777	-5.20951919186106	2.49115039815024	-2.09121022790487	0.036509222881916	NA
A2M	26.0295443197671	-0.126767703462591	1.84802618279487	-0.0685962702491984	0.945310987785442	0.999865635117833
A2M-AS1	22.5914178512736	-0.403724407842401	2.10217584825968	-0.192050730759099	0.847702467572727	0.999865635117833
A2ML1	0	NA	NA	NA	NA	NA
A2MP1	0	NA	NA	NA	NA	NA
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	32.1990643207634	-1.71134457381715	1.80092953279001	-0.950256266365913	0.341982054885292	0.999865635117833
AACS	117.525066224057	-1.17819308112333	1.04393447344526	-1.12860827101052	0.259063120041474	0.999865635117833
AACSP1	12.3035045224518	-1.15749229158688	2.54911631635251	-0.454075902367264	0.649774196897743	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	2.53579608940678	3.78767388567503	5.52985073683012	0.68495047442207	0.493375173566395	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	13.9509312488888	0.925214417376881	2.29069259499316	0.403901605741054	0.686285075509118	NA
AAED1	0	NA	NA	NA	NA	NA
AAGAB	95.1891741295653	-0.519205281511047	1.05716944713155	-0.491127777973362	0.623336075870885	0.999865635117833
AAK1	312.582104257133	-0.577506535400905	0.774067761100757	-0.746067159003841	0.455626846671981	0.999865635117833
AAMDC	94.9271553386188	-0.624070795386873	1.09776045158292	-0.568494514888921	0.569699229154275	0.999865635117833
AAMP	39.4066059486718	-0.121884645952482	1.62677438920871	-0.0749241239356911	0.940275082375685	0.999865635117833
AANAT	0	NA	NA	NA	NA	NA
AAR2	55.784359678902	0.390586052726966	1.28027154865146	0.305080631635046	0.760304742182817	0.999865635117833
AARD	8.65620743699723	2.10544893235206	3.23639320589297	0.650554119480404	0.51533435552935	NA
AARS	157.697077105006	0.162943660229366	0.902949352433075	0.180457142795772	0.856793697096637	0.999865635117833
AARS2	44.8856059152857	-0.818391005997814	1.40360145299059	-0.583065088921151	0.55984948420279	0.999865635117833
AARSD1	101.303301267372	-0.772512791483178	1.03670894776269	-0.745158796160029	0.45617572850746	0.999865635117833
AASDH	27.1412243336855	1.3568094015488	1.76515213178025	0.768664285145997	0.442092632085893	0.999865635117833
AASDHPPT	117.579370353618	-0.524668659177219	1.007700528051	-0.52065930757423	0.602604126383957	0.999865635117833
AASS	223.4137503191	-1.39428265930318	0.865746568144651	-1.61049747190013	0.10728929692314	0.999865635117833
AATBC	0	NA	NA	NA	NA	NA
AATF	122.719436502491	-0.48232375882186	1.11767432054178	-0.431542310633081	0.666074094871387	0.999865635117833
AATK	18.0292536466777	-0.462091327557667	2.07058485665277	-0.223169471211465	0.823403611217938	NA
AATK-AS1	0	NA	NA	NA	NA	NA
ABALON	3.74418515474302	-1.47696069792765	4.76736037926594	-0.30980680721164	0.756707874733822	NA
ABAT	45.4842134729458	0.0236346220445857	1.43994483307542	0.0164135607848997	0.986904461265122	0.999865635117833
ABCA1	35.672705648492	-0.371280118133707	1.63564799629384	-0.22699267750456	0.820429436072654	0.999865635117833
ABCA10	1.35575776427419	-3.7205019933708	5.99402991244522	-0.620701272385384	0.53479619208843	NA
ABCA11P	3.402339425851	0.0118961127388873	4.8912880704711	0.00243210225353616	0.998059465074693	NA
ABCA12	15.4167830343702	-4.73877953287745	2.60416502045754	-1.81969249093319	0.0688058474920132	NA
ABCA13	17.1844114917095	3.94806800971586	2.42559968370713	1.62766677297792	0.103595562183113	NA
ABCA17P	2.26464453655194	5.13280459085376	5.79305875486558	0.886026675725103	0.375603152747948	NA
ABCA2	37.6719067956455	0.845679134620396	1.49683179571909	0.564979403189472	0.572087773715402	0.999865635117833
ABCA3	61.6590266231778	-0.98078897334162	1.24158660615292	-0.789948094221648	0.429558082315694	0.999865635117833
ABCA4	1.40347382113081	2.78858854173529	5.79977438818722	0.480809830709103	0.630651662681881	NA
ABCA5	25.6993237421689	-0.564438391148565	1.79398870563229	-0.314627616872108	0.753044408077574	0.999865635117833
ABCA6	0	NA	NA	NA	NA	NA
ABCA7	16.5863799803769	1.44916789439104	2.32514241843487	0.623259841161264	0.533113783241613	NA
ABCA8	9.04880597894596	-6.44612544776398	3.58795468275967	-1.79660169029948	0.0723988758792241	NA
ABCA9	0.849241701206979	3.71781330016898	5.8303609215909	0.637664348771486	0.523692197635033	NA
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	1.41540283534496	4.45475477643626	5.80651523545713	0.76719936068256	0.442962992963662	NA
ABCB10	2.53579608940678	3.78767388567503	5.52985073683012	0.68495047442207	0.493375173566395	NA
ABCB11	3.38503779061376	4.24419267604762	4.8781709748875	0.87003770427409	0.384279799579513	NA
ABCB4	2.28762265573251	-0.603342305157038	5.20048336739814	-0.116016582023778	0.907639399984328	NA
ABCB5	0	NA	NA	NA	NA	NA
ABCB6	112.613989083079	1.22687210961001	1.11098847652751	1.10430678223117	0.269460081775979	0.999865635117833
ABCB7	41.0014250050176	-3.52603920311178	1.77909107429477	-1.98193293983531	0.0474867466529877	0.999865635117833
ABCB8	22.9182661302384	-0.329462409163616	1.8629631321347	-0.176848593233349	0.859627318685291	0.999865635117833
ABCB9	42.3392752812164	2.3659239362985	1.47249848703196	1.60674116621157	0.108111159128547	0.999865635117833
ABCC1	5.18766654688438	-1.36420055292101	4.11466050660876	-0.331546320949176	0.74023185844157	NA
ABCC10	17.6709545122832	-0.653046270804634	2.13318262826513	-0.306137065880637	0.759500287352857	NA
ABCC11	1.98156396948295	4.94016579712754	5.79626552494116	0.852301499279175	0.394046774116662	NA
ABCC12	0	NA	NA	NA	NA	NA
ABCC13	11.697031954383	-6.80733972329256	3.31012681423208	-2.05651931340637	0.0397324866253878	NA
ABCC2	2.26464453655194	5.13280459085376	5.79305875486558	0.886026675725103	0.375603152747948	NA
ABCC3	1.12039325406182	2.37356345919455	5.81470657084213	0.40820004075473	0.683126818250446	NA
ABCC4	3.54403164084562	2.35078880243332	4.28166140597899	0.549036595736093	0.582980335716189	NA
ABCC5	58.7608059095474	0.802778738500403	1.36147879025323	0.589637344516466	0.555433809324622	0.999865635117833
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	0.813454658564512	-2.99437605937013	6.02370761358324	-0.497098506676839	0.619119587648774	NA
ABCC6P1	2.44036397569354	-4.56071168307265	5.97385739105592	-0.763445021285738	0.445198038762495	NA
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	2.44036397569354	-4.56071168307265	5.97385739105592	-0.763445021285738	0.445198038762495	NA
ABCC9	5.78961472366483	0.346476353232401	3.86682001645133	0.089602399842331	0.928603177281864	NA
ABCD1	2.26464453655194	5.13280459085376	5.79305875486558	0.886026675725103	0.375603152747948	NA
ABCD2	3.52497018711289	-5.08930123812494	5.57665338432858	-0.912608492474503	0.361448486220153	NA
ABCD3	50.5000772461364	-0.357771215625627	1.34609892191519	-0.26578374724244	0.790405760976961	0.999865635117833
ABCD4	14.0195934230232	-0.0782828594324732	2.77201318435725	-0.0282404354619348	0.97747038723874	NA
ABCE1	62.169094002749	0.524338273860165	1.24549459326324	0.420987996813684	0.673763846829357	0.999865635117833
ABCF1	769.962904248428	-0.386680490881859	0.803690746419186	-0.481130948197051	0.630423433696108	0.999865635117833
ABCF2	49.9160384304337	-0.103338604428261	1.33761261724442	-0.0772560030430528	0.938419890737705	0.999865635117833
ABCF3	53.0594275010513	-0.415587568429135	1.33968815667643	-0.310212168673751	0.756399617420221	0.999865635117833
ABCG1	0.542303105709675	-2.42174052581209	6.05993339488333	-0.399631541801576	0.689427921077806	NA
ABCG2	63.7888708803595	0.244874322531016	1.25119191737553	0.195712839197889	0.844834934527495	0.999865635117833
