	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	CDKN1A	345.656828355648	4.12269569619354	0.788223343694483	5.23036488220464	1.69175789537706e-07	0.000380264880933379
2	FDXR	247.883907016125	3.64762981352313	0.814750993028528	4.47698725713048	7.57037662421177e-06	0.00972360803261257
3	KRT17	43.9243240433028	6.28006166157476	1.67322035678273	3.75327830319378	0.000174536895753529	0.113119718968411
4	RN7SK	427.891612837243	4.64400699264415	0.921128473182826	5.041649593783	4.61535846651959e-07	0.000829933759449553
5	RNA28S5	37.9557741064256	5.40305407699563	1.64171865844748	3.29109622357897	0.000997977703841201	0.42727702548744
6	RNU4-1	144.965601079528	6.22548320945133	1.09622838005382	5.67900204257227	1.35482861972244e-08	6.09063205996225e-05
7	RNU4-2	750.002357475847	4.35450630042732	0.810234232199257	5.3743795650397	7.68468263590023e-08	0.00023030993859793
8	RNU5B-1	44.4078619871894	6.56571086120374	1.75039573430815	3.75098655264882	0.000176140147431626	0.113119718968411
9	RNU6ATAC	37.6497154201761	9.18823786779658	2.1871657739551	4.2009791746061	2.65763039719957e-05	0.0298684436265266
10	RNY5	1022.7197945217	6.11278310727371	0.737921579151189	8.28378418517734	1.19321758747801e-16	1.07282193290148e-12
11	SCARNA17	75.9887987820795	6.52348152564581	1.35742770714013	4.80576718106753	1.54159211895465e-06	0.00231007579025355
12	SCARNA2	472.301987834124	4.19702149366818	1.01361466739362	4.14064794904781	3.46326147281262e-05	0.0315000983539004
13	SNCA-AS1	22.3633647984504	8.43672481314196	2.53106459807346	3.33327123280995	0.00085831223888652	NA
14	SNORA2B	31.7050235117272	8.94030723401097	2.286157850896	3.9106255198026	9.20574051967808e-05	0.0752443754658415
15	SNORA48	26.0434121703473	8.65650997052398	2.41636494505861	3.58245139593929	0.000340384962287153	0.191275074745237
16	SNORA80E	65.8861980417904	6.16107114586994	1.48890190757227	4.13799667697107	3.50351444265381e-05	0.0315000983539004
17	SNORD116-2	24.3449287679334	8.55921109643342	2.46549032575818	3.47160603593175	0.000517354967887508	0.273619912722152
18	SNORD3A	24.0618482008644	8.54233696494184	2.47450810925551	3.45213536904186	0.000556168623004913	0.277806227190954
19	SNORD83B	22.0802842313814	8.41834592809389	2.541207638079	3.31273438736303	0.000923886756429089	NA
