	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	273.766444472206	0.280798366596955	0.797439383310896	0.352125029781079	0.72474449794911	0.99949478450834
A1BG-AS1	18.2802863741078	0.659269635555001	1.81714396552052	0.362805395755285	0.716750260903467	0.99949478450834
A1CF	4.73436000409619	1.98303776173333	3.59537138044954	0.551552969608771	0.581254666001844	NA
A2M	64.3951826625887	1.06924213266881	1.21219019212249	0.882074561910634	0.377736487433494	0.99949478450834
A2M-AS1	44.9012948899468	1.40997770505519	1.50760885300457	0.935241062192751	0.349664081386932	0.99949478450834
A2ML1	0	NA	NA	NA	NA	NA
A2MP1	1.13636064688978	-0.319478672584428	4.762039390747	-0.0670886245093226	0.946511149819105	NA
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	0.252484919480126	0.968606235769515	4.9230350775168	0.196749813990374	0.84402332598181	NA
A4GNT	0	NA	NA	NA	NA	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	35.7209138257848	1.46105265761124	1.29923831998104	1.12454553959936	0.260781662595788	0.99949478450834
AACS	223.681793222594	-0.316439112885103	0.782097739742903	-0.404603026968376	0.685769333187506	0.99949478450834
AACSP1	15.2421826649654	1.69568208871713	2.02224366956504	0.838515216656284	0.401741405226597	0.99949478450834
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	14.2222899377624	-1.51567776477934	2.13294928262607	-0.710601877468575	0.477330979340618	0.99949478450834
AAED1	11.71957129065	0.600302486415821	2.08467491861261	0.287959758644448	0.773377542454631	NA
AAGAB	153.132619474313	0.618530512590561	0.845576766517374	0.731489483962603	0.464480225486332	0.99949478450834
AAK1	486.778660756343	-0.217372990467097	0.719644374655583	-0.302056124000317	0.762609279057418	0.99949478450834
AAMDC	135.931835462435	1.00659364702994	0.907384947905914	1.10933474194495	0.267285802889676	0.99949478450834
AAMP	184.954609062618	1.69171550116498	0.854792073043896	1.97909591643827	0.047805208159579	0.99949478450834
