enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
A1BG	249.960070285324	325.797656891639	350.9945706922	168.313480019658
A1BG-AS1	8.58448726232428	26.5184139330404	36.3681121440111	1.65013215705547
A1CF	15.1490951688075	3.7883448475772	0	0
A2M	19.6938237194498	30.3067587806176	154.775919124512	52.8042290257751
A2M-AS1	6.05963806752302	6.31390807929533	124.328197329526	42.9034360834422
A2ML1	0	0	0	0
A2MP1	2.01987935584101	2.52556323171813	0	0
A3GALT2	0	0	0	0
A4GALT	1.0099396779205	0	0	0
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	26.2584316259331	21.4672874696041	78.6566146370473	16.5013215705547
AACS	188.858719771134	281.600300336572	209.75097236546	214.517180417211
AACSP1	2.52484919480126	1.26278161585907	43.9800425927576	13.2010572564438
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	14.6441253298473	29.0439771647585	0	13.2010572564438
AAED1	2.01987935584101	3.7883448475772	26.2188715456824	14.8511894134992
AAGAB	173.204654763366	149.00823067137	197.910191667409	92.4074007951064
AAK1	427.709453599333	601.084049148916	472.785457872145	445.535682404977
AAMDC	112.103304249176	111.124782195598	251.193704808635	69.3055505963298
AAMP	191.383568965935	108.59921896388	373.83036203844	66.0052862822188
AANAT	1.0099396779205	0	0	0
AAR2	76.250445682998	75.766896951544	29.6019517451253	97.3577972662728
AARD	8.07951742336402	0	0	6.60052862822188
AARS	163.610227823121	214.672874696041	88.805855235376	194.715594532546
AARS2	99.9840281141298	60.6135175612352	23.6815613961003	100.658061580384
AARSD1	213.097272041226	233.614598933927	105.721256232591	107.258590208606
AASDH	26.2584316259331	51.7740462502217	61.7412136398328	31.3525109840539
AASDHPPT	163.105257984161	167.949954909256	252.885244908356	209.566783946045
AASS	107.558575698534	109.862000579739	288.407587002507	254.120352186542
AATBC	0	0	0	0
AATF	220.67181962563	176.789426220269	53.2835131412256	100.658061580384
AATK	20.1987935584101	32.8323220123357	12.6865507479109	31.3525109840539
AATK-AS1	0	0	0	0
ABALON	30.2981903376151	11.3650345427316	41.4427324431755	9.90079294233282
ABAT	90.8945710128453	131.329288049343	7.61193044874652	87.4570043239399
ABCA1	19.6938237194498	49.2484830185036	54.9750532409471	31.3525109840539
ABCA10	1.51490951688075	5.05112646343627	0	1.65013215705547
ABCA11P	5.04969838960251	0	0	4.95039647116641
ABCA12	3.02981903376151	6.31390807929533	0	23.1018501987766
ABCA13	5.04969838960251	6.31390807929533	0	0
ABCA17P	0	0	0	0
ABCA2	34.8429188882574	63.1390807929533	0	74.2559470674962
ABCA3	78.7752948777992	58.0879543295171	0	143.561497663826
ABCA4	1.51490951688075	0	0	0
ABCA5	86.8548123011632	101.022529268725	24.527331445961	64.3551541251634
ABCA6	0	0	0	3.30026431411094
ABCA7	11.6143062960858	25.2556323171813	0	18.1514537276102
ABCA8	5.55466822856277	0	0.845770049860724	3.30026431411094
ABCA9	0	0	0.845770049860724	9.90079294233282
ABCA9-AS1	0	0	0	0
ABCB1	4.54472855064226	0	0.845770049860724	0
ABCB10	4.54472855064226	6.31390807929533	0	1.65013215705547
ABCB11	2.52484919480126	0	0	0
ABCB4	15.6540650077678	3.7883448475772	0	1.65013215705547
ABCB5	0	0	0	3.30026431411094
ABCB6	152.500891365996	262.658576098686	82.8854648863509	169.963612176713
ABCB7	41.9124966337009	82.0808050308393	0	64.3551541251634
ABCB8	25.7534617869728	11.3650345427316	11.8407806980501	70.9556827533852
ABCB9	73.7255964881967	51.7740462502217	0	44.5535682404977
ABCC1	7.06957774544352	5.05112646343627	1.69154009972145	16.5013215705547
ABCC10	22.2186729142511	10.1022529268725	2.53731014958217	13.2010572564438
ABCC11	0	0	0	0
ABCC12	0	0	0	0
ABCC13	0	1.26278161585907	0	0
ABCC2	2.01987935584101	0	0	18.1514537276102
ABCC3	1.0099396779205	0	38.9054222935933	0
ABCC4	7.06957774544352	6.31390807929533	82.0396948364902	36.3029074552204
ABCC5	79.2802647167595	51.7740462502217	74.4277643877437	97.3577972662728
ABCC5-AS1	0	13.8905977744497	0	0
ABCC6	3.02981903376151	0	0	0
ABCC6P1	0	0	0.845770049860724	0
ABCC6P2	0	0	0	0
ABCC8	1.51490951688075	2.52556323171813	0	16.5013215705547
ABCC9	2.52484919480126	2.52556323171813	0.845770049860724	19.8015858846656
ABCD1	3.02981903376151	3.7883448475772	0	3.30026431411094
ABCD2	0	0	0.845770049860724	0
ABCD3	59.5864409973097	11.3650345427316	202.139041916713	95.7076651092173
ABCD4	20.7037633973703	25.2556323171813	32.9850319445682	6.60052862822188
ABCE1	124.222580384222	147.745449055511	358.606501140947	115.509250993883
ABCF1	1054.37702374901	1458.51276631722	859.302370658496	805.26449264307
ABCF2	94.9343297245273	82.0808050308393	266.417565706128	57.7546254969415
ABCF3	47.4671648622636	55.5623910977989	60.8954435899721	57.7546254969415
ABCG1	5.04969838960251	12.6278161585907	0	23.1018501987766
ABCG2	151.490951688075	304.330369422035	32.1392618947075	179.864405119046
ABCG4	6.56460790648327	0	0	16.5013215705547
ABCG5	0	2.52556323171813	0	0
ABCG8	0	0	0	0
