enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
A1BG	495	258	415	102
A1BG-AS1	17	21	43	1
A1CF	30	3	0	0
A2M	39	24	183	32
A2M-AS1	12	5	147	26
A2ML1	0	0	0	0
A2MP1	4	2	0	0
A3GALT2	0	0	0	0
A4GALT	2	0	0	0
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	52	17	93	10
AACS	374	223	248	130
AACSP1	5	1	52	8
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	29	23	0	8
AAED1	4	3	31	9
AAGAB	343	118	234	56
AAK1	847	476	559	270
AAMDC	222	88	297	42
AAMP	379	86	442	40
AANAT	2	0	0	0
AAR2	151	60	35	59
AARD	16	0	0	4
AARS	324	170	105	118
AARS2	198	48	28	61
AARSD1	422	185	125	65
AASDH	52	41	73	19
AASDHPPT	323	133	299	127
AASS	213	87	341	154
AATBC	0	0	0	0
AATF	437	140	63	61
AATK	40	26	15	19
AATK-AS1	0	0	0	0
ABALON	60	9	49	6
ABAT	180	104	9	53
ABCA1	39	39	65	19
ABCA10	3	4	0	1
ABCA11P	10	0	0	3
ABCA12	6	5	0	14
ABCA13	10	5	0	0
ABCA17P	0	0	0	0
ABCA2	69	50	0	45
ABCA3	156	46	0	87
ABCA4	3	0	0	0
ABCA5	172	80	29	39
ABCA6	0	0	0	2
ABCA7	23	20	0	11
ABCA8	11	0	1	2
ABCA9	0	0	1	6
ABCA9-AS1	0	0	0	0
ABCB1	9	0	1	0
ABCB10	9	5	0	1
ABCB11	5	0	0	0
ABCB4	31	3	0	1
ABCB5	0	0	0	2
ABCB6	302	208	98	103
ABCB7	83	65	0	39
ABCB8	51	9	14	43
ABCB9	146	41	0	27
ABCC1	14	4	2	10
ABCC10	44	8	3	8
ABCC11	0	0	0	0
ABCC12	0	0	0	0
ABCC13	0	1	0	0
ABCC2	4	0	0	11
ABCC3	2	0	46	0
ABCC4	14	5	97	22
ABCC5	157	41	88	59
ABCC5-AS1	0	11	0	0
ABCC6	6	0	0	0
ABCC6P1	0	0	1	0
ABCC6P2	0	0	0	0
ABCC8	3	2	0	10
ABCC9	5	2	1	12
ABCD1	6	3	0	2
ABCD2	0	0	1	0
ABCD3	118	9	239	58
ABCD4	41	20	39	4
ABCE1	246	117	424	70
