enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
ACTG2	267.129044809973	17.6789426220269	253.731014958217	46.2037003975532
ACTN1	776.643612320867	270.23526579384	3320.4932157532	336.626960039316
ALPK2	38.8826775999394	1.26278161585907	241.890234260167	8.25066078527735
ANKRD1	67.6659584206737	21.4672874696041	2594.8225129727	8.25066078527735
ANXA2	677.669523884657	208.358966616746	2850.24506803064	305.274449055262
APOBEC3C	91.9045106907658	1.26278161585907	164.925159722841	4.95039647116641
CAV1	103.518816986852	13.8905977744497	969.25247714039	6.60052862822188
CITED2	39.8926172778599	10.1022529268725	265.571795656267	4.95039647116641
CPA4	140.38161523095	40.4090117074901	718.058772331755	19.8015858846656
CTGF	100.48899795309	75.766896951544	8033.96970362702	186.464933747268
CYR61	155.530710399757	34.0951036281948	3476.11490492758	49.5039647116641
DSP	125.737489901103	54.2996094819399	1497.85875830334	62.7050219681079
EMP1	271.673773360615	61.8762991770943	1280.49585548914	105.60845805155
FN1	2022.40420503581	540.470531587681	9389.73909355376	1061.03497698667
IGFBP3	468.612010555113	164.161610061679	2804.57348533816	80.8564756957181
INHBA	556.476762534197	164.161610061679	1179.84921955571	120.459647465049
KIAA1755	2.52484919480126	0	115.870496830919	0
KLKP1	451.948005869425	7.5766896951544	48.2088928420613	0
KRT17	134.321977163427	6.31390807929533	518.457040564624	3.30026431411094
KRT19	39.3876474388996	22.7300690854632	499.004329417827	16.5013215705547
LINC01164	11.6143062960858	0	82.0396948364902	0
MET	23.7335824311318	1.26278161585907	204.676352066295	0
MT2A	282.278139978781	44.1973565550673	1601.88847443621	36.3029074552204
NEURL2	5.55466822856277	1.26278161585907	194.527111467967	0
PENK	107.053605859573	23.9928507013223	1039.45139127883	62.7050219681079
PHLDA2	91.9045106907658	40.4090117074901	664.775259190529	34.6527752981649
SCARNA18	28.2783109817741	0	84.5770049860724	0
SDPR	26.7634014648933	0	61.7412136398328	0
SNAR-E	2834.90067592285	246.242415092518	890.595862503342	219.467576888378
SNHG3	7445.27530562995	88.3947131101347	289.253357052368	37.9530396122758
SNORD46	177.749383314008	6.31390807929533	56.6665933406685	8.25066078527735
SNORD95	54.5367426077072	0	88.805855235376	0
SUGCT	47.4671648622636	5.05112646343627	170.845550071866	0
TAGLN	543.347546721231	101.022529268725	4101.98474182451	146.861761977937
TIMP1	682.2142524353	140.168759360356	5552.48037733565	260.720880814764
TM4SF1	84.329963106362	23.9928507013223	1089.35182422061	44.5535682404977
TNFRSF10D	215.622121236027	46.7229197867855	599.650965351253	31.3525109840539
TNFRSF12A	160.0754389504	29.0439771647585	842.386969661281	36.3029074552204
VDR	285.812928851502	7.5766896951544	77.8108445871866	9.90079294233282
VGLL3	151.490951688075	56.825172713658	1293.18240623705	90.7572686380509
