enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
A1BG	199.222153585733	66.8468524894827	101.19361264503	146.278241916536
A1BG-AS1	16.2157566872109	0	0.99209424161794	2.4792922358735
A1CF	2.31653666960155	57.0983531680998	0	7.43787670762049
A2M	18.5322933568124	9.7484993213829	31.7470157317741	44.6272602457229
A2M-AS1	3.86089444933592	2.78528552039511	25.7944502820665	47.1065524815964
A2ML1	0	0	0	0
A2MP1	1.54435777973437	0	0	0
A3GALT2	0	0	0	0
A4GALT	0	0	0	0
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	13.1270411277421	76.5953518108656	9.9209424161794	9.09073819820282
AACS	172.195892440382	204.718485749041	128.972251410332	90.080951236737
AACSP1	0.772178889867184	4.17792828059267	7.93675393294352	26.4457838493173
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0.826430745291165
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	17.7601144669452	11.1411420815805	7.93675393294352	10.7435996887851
AAED1	2.31653666960155	0	8.92884817456146	0
AAGAB	91.1171090043277	101.662921494422	55.5572775306047	114.047442850181
AAK1	367.557151576779	412.222257018477	267.865445236844	304.126514267149
AAMDC	67.9517423083121	147.620132580941	41.6679581479535	71.8994748403314
AAMP	66.4073845285778	11.1411420815805	39.6837696647176	71.0730440950402
AANAT	0	0	0	0
AAR2	46.330733392031	54.3130676477047	58.5335602554585	48.7594139721787
AARD	0	0	3.96837696647176	8.26430745291165
AARS	131.270411277421	142.049561540151	117.067120510917	166.939010548815
AARS2	37.0645867136248	59.883638688495	60.5177487386944	47.1065524815964
AARSD1	142.853094625429	128.123133938175	64.4861257051661	111.568150614307
AASDH	31.6593344845545	9.7484993213829	18.8497905907409	26.4457838493173
AASDHPPT	102.699792352335	167.117131223707	125.995968685478	99.998120180231
AASS	67.179563418445	374.620902493143	152.782513209163	199.996240360462
AATBC	0	0	0	0
AATF	108.105044581406	224.215484391807	60.5177487386944	52.8915676986346
AATK	20.0766511365468	13.9264276019756	18.8497905907409	26.4457838493173
AATK-AS1	0	0	0	0
ABALON	6.94961000880465	9.7484993213829	5.95256544970764	0
ABAT	80.3066045461871	66.8468524894827	52.5809948057508	25.6193531040261
ABCA1	30.1149767048202	64.0615669690876	18.8497905907409	14.875753415241
ABCA10	3.08871555946873	0	0.99209424161794	4.13215372645583
