enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
A1BG	258	48	102	177
A1BG-AS1	21	0	1	3
A1CF	3	41	0	9
A2M	24	7	32	54
A2M-AS1	5	2	26	57
A2ML1	0	0	0	0
A2MP1	2	0	0	0
A3GALT2	0	0	0	0
A4GALT	0	0	0	0
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	17	55	10	11
AACS	223	147	130	109
AACSP1	1	3	8	32
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	1
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	23	8	8	13
AAED1	3	0	9	0
AAGAB	118	73	56	138
AAK1	476	296	270	368
AAMDC	88	106	42	87
AAMP	86	8	40	86
AANAT	0	0	0	0
AAR2	60	39	59	59
AARD	0	0	4	10
AARS	170	102	118	202
AARS2	48	43	61	57
AARSD1	185	92	65	135
AASDH	41	7	19	32
AASDHPPT	133	120	127	121
AASS	87	269	154	242
AATBC	0	0	0	0
AATF	140	161	61	64
AATK	26	10	19	32
AATK-AS1	0	0	0	0
ABALON	9	7	6	0
ABAT	104	48	53	31
ABCA1	39	46	19	18
ABCA10	4	0	1	5
ABCA11P	0	5	3	0
ABCA12	5	19	14	24
ABCA13	5	0	0	7
ABCA17P	0	0	0	0
ABCA2	50	21	45	38
ABCA3	46	60	87	81
ABCA4	0	0	0	1
ABCA5	80	13	39	49
ABCA6	0	0	2	0
ABCA7	20	1	11	24
ABCA8	0	5	2	25
ABCA9	0	0	6	0
ABCA9-AS1	0	0	0	0
ABCB1	0	0	0	0
ABCB10	5	0	1	1
ABCB11	0	0	0	1
ABCB4	3	2	1	3
ABCB5	0	0	2	0
ABCB6	208	25	103	149
ABCB7	65	80	39	11
ABCB8	9	23	43	22
ABCB9	41	8	27	30
ABCC1	4	0	10	16
ABCC10	8	23	8	11
ABCC11	0	0	0	0
ABCC12	0	0	0	0
ABCC13	1	18	0	13
ABCC2	0	0	11	0
ABCC3	0	0	0	1
ABCC4	5	1	22	2
ABCC5	41	14	59	92
ABCC5-AS1	11	0	0	0
ABCC6	0	0	0	3
ABCC6P1	0	0	0	9
ABCC6P2	0	0	0	0
ABCC8	2	0	10	9
ABCC9	2	0	12	13
ABCD1	3	0	2	0
ABCD2	0	0	0	13
ABCD3	9	49	58	52
ABCD4	20	0	4	35
ABCE1	117	30	70	83
ABCF1	1155	935	488	489
ABCF2	65	38	35	62
ABCF3	44	57	35	47
ABCG1	10	0	14	2
ABCG2	241	29	109	99
ABCG4	0	0	10	0
ABCG5	2	1	0	0
ABCG8	0	0	0	0
ABHD1	51	11	13	30
ABHD10	100	42	38	73
ABHD11	40	15	54	30
ABHD11-AS1	0	0	0	0
ABHD12	54	37	32	58
ABHD12B	15	0	0	0
ABHD13	20	7	6	9
ABHD14A	16	14	68	13
ABHD14A-ACY1	5	7	18	6
ABHD14B	105	62	34	169
ABHD15	2	0	11	7
ABHD16A	18	5	25	26
ABHD16B	2	0	11	0
ABHD17A	8	0	3	1
ABHD17B	67	84	5	10
ABHD17C	107	111	164	107
ABHD2	91	37	137	167
ABHD3	1	0	9	0
ABHD4	13	0	11	1
ABHD5	151	138	78	38
ABHD6	2	1	14	3
ABHD8	83	118	31	86
ABI1	53	32	47	52
ABI2	376	91	158	203
ABI3	0	0	0	1
ABI3BP	20	34	14	0
ABL1	75	46	102	159
ABL2	248	66	56	105
ABLIM1	102	83	253	171
ABLIM2	0	0	10	8
ABLIM3	19	29	93	92
ABO	0	1	0	0
ABR	42	12	32	35
