enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
ASCL1	284.161831471124	0	15.873507865887	1.65286149058233
ATP1B1	540.525222907028	101.662921494422	435.529372070276	128.096765520131
C1orf61	79.5344256563199	0	29.7628272485382	0
CDKN1A	885.689186677659	40.3866400457292	56.5493717722226	67.7673211138755
CELF4	359.835362678108	23.6749269233585	256.952408579047	16.5286149058233
DDR1	1481.03911076526	91.9144221730388	210.323979223003	92.5602434726105
DPF1	1252.47415936457	38.9939972855316	158.73507865887	121.485319557801
DPF3	49.4194489514997	0	9.9209424161794	0
ELAVL3	1284.90567273899	91.9144221730388	488.110366876027	202.475532596335
GFAP	8.49396778853902	0	53.5730890473688	0
GNG4	253.274675876436	8.35585656118534	81.3517278126711	20.6607686322791
GPM6A	1765.20094223638	72.417423530273	207.34769649815	57.0237214250904
GRIA2	396.899949391732	1.39264276019756	39.6837696647176	11.5700304340763
GRIN1	6.94961000880465	0	59.5256544970764	0
HAGLR	60.2299534096403	0	18.8497905907409	0
HOTAIRM1	176.828965779585	1.39264276019756	47.6205235976611	2.4792922358735
HOXA-AS2	155.207956863304	1.39264276019756	12.8972251410332	0
HOXA4	169.87935577078	1.39264276019756	12.8972251410332	0
HOXB3	50.1916278413669	2.78528552039511	53.5730890473688	2.4792922358735
HPCAL4	87.2562145549917	1.39264276019756	33.73120421501	0
HSPA4L	308.871555946873	5.57057104079023	17.8576963491229	11.5700304340763
LAMP5	94.9780034536636	0	13.8893193826512	0
LINC00461	252.502496986569	2.78528552039511	148.814136242691	0.826430745291165
MASP1	129.726053497687	0	25.7944502820665	1.65286149058233
MIAT	891.866617796597	105.840849775014	411.719110271445	136.361072973042
MIR124-2HG	259.452106995374	6.96321380098779	73.4149738797276	18.1814763964056
NEAT1	2870.18893363632	242.319840274375	416.679581479535	181.814763964056
NHLH2	252.502496986569	20.8896414029634	35.7153926982459	4.13215372645583
PCLO	1242.4358337963	186.614129866473	448.426597211309	193.384794398133
PHOX2B	148.258346854499	0	56.5493717722226	5.78501521703816
PPFIA2	156.752314643038	6.96321380098779	93.2568587120864	13.2228919246586
SCN3B	179.145502449187	1.39264276019756	243.063089196395	38.0158142833936
SLIT1	743.608270942098	6.96321380098779	73.4149738797276	25.6193531040261
SNORD116-2	48.6472700616326	0	24.8023560404485	0
STMN4	6418.35093257603	589.087887563567	596.248639212382	403.298203702089
TXNIP	3057.05622498418	108.626135295409	462.31591659396	269.41642296492
