	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	128.385215159196	0.491324630016322	0.749247852571836	0.65575714141832	0.511980396457663	0.999976284844743
A1BG-AS1	4.92178579117557	2.72519521484952	2.77550132896051	0.981874945046475	0.326161460498806	NA
A1CF	16.7131916363305	-4.72588490905069	1.81452621854741	-2.60447320118302	0.00920156166042107	0.517595150268757
A2M	26.1637671639231	-0.12808525146523	1.239645634876	-0.103324085417397	0.917705760521625	0.999976284844743
A2M-AS1	19.8867956833485	-0.769403241645917	1.56963253891176	-0.490180486561109	0.624006187726784	0.999976284844743
A2ML1	0	NA	NA	NA	NA	NA
A2MP1	0.386089444933592	1.98634647074354	4.90569044664436	0.404906606388558	0.685546162103405	NA
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	27.1835183882475	-1.88245448583472	1.29806196368384	-1.45020387200346	0.147001675644145	0.999976284844743
AACS	148.991895209123	0.0359698875484058	0.706339250817561	0.0509243787695106	0.959385779260875	0.999976284844743
AACSP1	9.83316123818017	-1.84127503512515	1.94193948491042	-0.948162931663183	0.343046514795358	0.999976284844743
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	0.206607686322791	-1.63683542077116	4.9789983557941	-0.328747933581132	0.742346220426651	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	11.8954025425636	0.236069473229462	1.60337619287189	0.147232741934771	0.882948317876613	0.999976284844743
AAED1	2.81134621104075	4.8295708307059	3.72010348543215	1.29823561350333	0.194206383771857	NA
AAGAB	90.5961877198837	-0.555367908148378	0.755297307678064	-0.735297084343768	0.462158583511601	0.999976284844743
AAK1	337.942842024812	-0.171379720887	0.577212739842541	-0.296909110034111	0.766535900835329	0.999976284844743
AAMDC	82.2848269693845	-0.995540446123687	0.810292403004189	-1.2286187584046	0.21921477900309	0.999976284844743
AAMP	47.076335092479	0.356298987977382	1.06733169351406	0.333822175564102	0.738513748719505	0.999976284844743
AANAT	0	NA	NA	NA	NA	NA
AAR2	51.9841938168432	0.0250540467833842	0.882630000462356	0.0283856732382311	0.977354550697763	0.999976284844743
AARD	3.05817110484585	-1.08705813941739	3.59547758962211	-0.302340401885702	0.762392582292696	NA
AARS	139.331525969326	-0.315916076400153	0.660261278760976	-0.478471306075968	0.632314792344627	0.999976284844743
AARS2	51.1431316556026	-0.132463830301768	0.901695782187423	-0.146905234468796	0.883206820243728	0.999976284844743
AARSD1	111.757626220769	-0.206116326147209	0.742949263670026	-0.277429881455208	0.781450039673547	0.999976284844743
AASDH	21.6758520614989	0.470016695068547	1.28104003282563	0.366902425392449	0.713691802236571	0.999976284844743
AASDHPPT	123.952753110438	-0.221367080824715	0.700728724481744	-0.315909813727754	0.752070962826973	0.999976284844743
