enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
A1BG	291.334195624702	403.833610775738	180.813141961577
A1BG-AS1	10.0054168194342	41.8430006345945	16.4375583601433
A1CF	17.6566179166486	0	1.64375583601433
A2M	22.9536032916432	178.07602595653	47.6689192444157
A2M-AS1	7.06264716665944	143.044676588033	36.1626283923154
A2ML1	0	0	0
A2MP1	2.35421572221981	0	0
A3GALT2	0	0	0
A4GALT	1.17710786110991	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	30.6048043888576	90.4976525352859	24.656337540215
AACS	220.119170027553	241.327073427429	123.281687701075
AACSP1	2.94276965277477	50.600837976719	13.1500466881147
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0	0	13.1500466881147
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	17.0680639860936	0	39.450140064344
AAED1	2.35421572221981	30.1658841784286	0
AAGAB	201.873998180349	227.703770895235	143.006757733247
AAK1	498.505179180045	543.959008249729	455.320366575971
AAMDC	130.6589725832	289.008632290106	134.787978553175
AAMP	223.061939680327	430.107122802111	72.3252567846307
AANAT	1.17710786110991	0	0
AAR2	88.8716435137979	34.0582563304839	128.212955209118
AARD	9.41686288887925	0	34.518872556301
AARS	190.691473499805	102.174768991452	328.751167202867
AARS2	116.533678249881	27.2466050643871	57.5314542605017
AARSD1	248.36975869419	121.636629751728	133.144222717161
AASDH	30.6048043888576	71.0357917750093	88.7628151447741
AASDHPPT	190.10291956925	290.954818366134	175.881874453534
AASS	125.361987208205	331.824725962715	207.113235337806
AATBC	0	0	0
AATF	257.198067652515	61.3048613948711	187.388165305634
AATK	23.5421572221981	14.5963955702074	27.9438492122437
AATK-AS1	0	0	0
ABALON	35.3132358332972	47.6815588626775	3.28751167202867
ABAT	105.939707499892	8.75783734212444	88.7628151447741
ABCA1	22.9536032916432	63.2510474708987	57.5314542605017
ABCA10	1.76566179166486	0	0
ABCA11P	5.88553930554953	0	6.57502334405734
ABCA12	3.53132358332972	0	1.64375583601433
ABCA13	5.88553930554953	0	88.7628151447741
ABCA17P	0	0	13.1500466881147
ABCA2	40.6102212082918	0	103.556617668903
ABCA3	91.8144131665727	0	72.3252567846307
ABCA4	1.76566179166486	0	6.57502334405734
ABCA5	101.231276055452	28.219698102401	37.8063842283297
ABCA6	0	0	0
ABCA7	13.5367404027639	0	55.8876984244874
ABCA8	6.47409323610449	0.973093038013827	0
ABCA9	0	0.973093038013827	4.931267508043
ABCA9-AS1	0	0	0
ABCB1	5.29698537499458	0.973093038013827	8.21877918007167
ABCB10	5.29698537499458	0	13.1500466881147
ABCB11	2.94276965277477	0	18.0813141961577
ABCB4	18.2451718472036	0	3.28751167202867
ABCB5	0	0	0
ABCB6	177.743287027596	95.363117725355	353.407504743082
ABCB7	48.8499762360611	0	9.862535016086
ABCB8	30.0162504583026	13.6233025321936	37.8063842283297
ABCB9	85.9288738610232	0	177.525630289548
ABCC1	8.23975502776935	1.94618607602765	4.931267508043
ABCC10	25.8963729444179	2.91927911404148	24.656337540215
ABCC11	0	0	11.5062908521003
ABCC12	0	0	0
ABCC13	0	0	0
ABCC2	2.35421572221981	0	13.1500466881147
ABCC3	1.17710786110991	44.762279748636	4.931267508043
ABCC4	8.23975502776935	94.3900246873412	14.793802524129
ABCC5	92.4029670971277	85.6321873452167	159.44431609339
ABCC5-AS1	0	0	0
ABCC6	3.53132358332972	0	0
ABCC6P1	0	0.973093038013827	0
ABCC6P2	0	0	0
ABCC8	1.76566179166486	0	0
ABCC9	2.94276965277477	0.973093038013827	13.1500466881147
ABCD1	3.53132358332972	0	13.1500466881147
ABCD2	0	0.973093038013827	0
ABCD3	69.4493638054845	232.569236085305	82.1877918007167
ABCD4	24.1307111527531	37.9506284825392	26.3000933762293
ABCE1	144.784266916519	412.591448117862	151.225536913319
ABCF1	1228.90060699874	988.662526622048	1236.10438868278
ABCF2	110.648138944331	306.524306974355	92.0503268168027
ABCF3	55.3240694721656	70.0626987369955	83.831547636731
ABCG1	5.88553930554953	0	0
ABCG2	176.566179166486	36.9775354445254	138.075490225204
ABCG4	7.65120109721439	0	0
ABCG5	0	0	0
ABCG8	0	0	0
ABHD1	48.2614223055062	0	31.2313608842724
ABHD10	145.961374777628	127.475187979811	106.844129340932
ABHD11	52.9698537499458	19.4618607602765	55.8876984244874
ABHD11-AS1	0	0	0
ABHD12	60.0325009166052	33.0851632924701	83.831547636731
ABHD12B	0.588553930554953	0	27.9438492122437
ABHD13	34.7246819027422	32.1120702544563	32.8751167202867
ABHD14A	30.0162504583026	0	57.5314542605017
ABHD14A-ACY1	19.4222797083135	23.3542329123318	31.2313608842724
ABHD14B	104.174045708227	0.973093038013827	67.3939892765877
ABHD15	15.3024021944288	66.1703265849402	4.931267508043
ABHD16A	46.4957605138413	8.75783734212444	26.3000933762293
ABHD16B	4.11987751388467	0	0
ABHD17A	8.23975502776935	15.5694886082212	3.28751167202867
ABHD17B	73.5692413193692	1.94618607602765	50.9564309164444
ABHD17C	135.367404027639	0.973093038013827	62.4627217685447
ABHD2	133.601742235974	270.519864567844	156.156804421362
ABHD3	4.70843144443963	4.86546519006913	0
ABHD4	18.8337257777585	92.4438386113135	16.4375583601433
ABHD5	159.498115180392	57.4124892428158	152.869292749333
ABHD6	20.5993875694234	0	14.793802524129
ABHD8	110.648138944331	0.973093038013827	141.363001897233
ABI1	75.334903111034	55.4663031667881	49.31267508043
ABI2	379.617285207945	116.771164561659	231.769572878021
ABI3	0	0	0
ABI3BP	21.1879414999783	18.4887677222627	27.9438492122437
ABL1	160.086669110947	425.241657612042	202.181967829763
ABL2	290.157087763592	397.995052547655	78.900280128688
ABLIM1	307.813705680241	354.205865837033	461.895389920028
ABLIM2	14.7138482638738	0	19.725070032172
ABLIM3	52.3812998193908	0	52.6001867524587
ABO	0	0.973093038013827	0
ABR	58.2668391249404	72.981977851037	78.900280128688
ABRA	0	0	0
ABRACL	76.5120109721439	64.2241405089126	80.5440359647024
ABT1	94.1686288887925	94.3900246873412	72.3252567846307
ABTB1	11.1825246805441	31.1389772164424	32.8751167202867
ABTB2	21.1879414999783	0	82.1877918007167
ACAA1	77.6891188332538	0	42.7376517363727
ACAA2	53.5584076805007	143.044676588033	32.8751167202867
ACACA	141.252943333189	166.398909500364	119.994176029046
ACACB	0.588553930554953	0	46.0251634084014
ACAD10	30.6048043888576	18.4887677222627	93.6940826528171
ACAD11	137.133065819304	83.6860012691891	146.294269405276
ACAD8	8.8283089583243	0	16.4375583601433
ACAD9	100.054168194342	62.2779544328849	42.7376517363727
ACADL	0	0	0
ACADM	121.830663624875	108.986420257549	123.281687701075
ACADS	71.8035795277043	0.973093038013827	32.8751167202867
ACADSB	42.9644369305116	29.1927911404148	29.587605048258
ACADVL	105.939707499892	160.560351272281	179.169386125562
ACAN	5.29698537499458	0.973093038013827	205.469479501792
ACAP1	11.1825246805441	18.4887677222627	57.5314542605017
ACAP2	140.075835472079	108.986420257549	138.075490225204
ACAP3	61.2096087777151	0	52.6001867524587
ACAT1	47.0843144443963	34.0582563304839	54.243942588473
ACAT2	546.766601485552	759.985662688798	419.157738183655
ACBD3	662.123171874322	307.497400012369	461.895389920028
ACBD4	41.1987751388467	0	72.3252567846307
ACBD5	90.6373053054628	19.4618607602765	78.900280128688
ACBD6	193.045689222025	463.192286094581	197.25070032172
ACBD7	10.5939707499892	0	26.3000933762293
ACCS	2.94276965277477	0	0
ACCSL	0	0	0
ACD	46.4957605138413	24.3273259503457	88.7628151447741
ACE	0	0	0
ACE2	0	0	0
ACER1	0	0	0
ACER2	1.76566179166486	0	4.931267508043
ACER3	82.3975502776935	11.6771164561659	164.375583601433
ACHE	62.97527056938	0	161.088071929405
ACIN1	699.790623429839	373.667726597309	782.427777942823
ACKR1	20.5993875694234	0.973093038013827	49.31267508043
ACKR2	2.35421572221981	0	0
ACKR3	6.47409323610449	68.1165126609679	3.28751167202867
ACKR4	0	0	0
ACLY	227.770371124767	367.829168369226	226.838305369978
ACMSD	0.588553930554953	0	0
ACO1	288.391425971927	310.416679126411	212.044502845849
