enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
A1BG	495	415	110
A1BG-AS1	17	43	10
A1CF	30	0	1
A2M	39	183	29
A2M-AS1	12	147	22
A2ML1	0	0	0
A2MP1	4	0	0
A3GALT2	0	0	0
A4GALT	2	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	52	93	15
AACS	374	248	75
AACSP1	5	52	8
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0	0	8
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	29	0	24
AAED1	4	31	0
AAGAB	343	234	87
AAK1	847	559	277
AAMDC	222	297	82
AAMP	379	442	44
AANAT	2	0	0
AAR2	151	35	78
AARD	16	0	21
AARS	324	105	200
AARS2	198	28	35
AARSD1	422	125	81
AASDH	52	73	54
AASDHPPT	323	299	107
AASS	213	341	126
AATBC	0	0	0
AATF	437	63	114
AATK	40	15	17
AATK-AS1	0	0	0
ABALON	60	49	2
ABAT	180	9	54
ABCA1	39	65	35
ABCA10	3	0	0
ABCA11P	10	0	4
ABCA12	6	0	1
ABCA13	10	0	54
ABCA17P	0	0	8
ABCA2	69	0	63
ABCA3	156	0	44
ABCA4	3	0	4
ABCA5	172	29	23
ABCA6	0	0	0
ABCA7	23	0	34
ABCA8	11	1	0
ABCA9	0	1	3
ABCA9-AS1	0	0	0
ABCB1	9	1	5
ABCB10	9	0	8
ABCB11	5	0	11
ABCB4	31	0	2
ABCB5	0	0	0
ABCB6	302	98	215
ABCB7	83	0	6
ABCB8	51	14	23
ABCB9	146	0	108
ABCC1	14	2	3
ABCC10	44	3	15
ABCC11	0	0	7
ABCC12	0	0	0
ABCC13	0	0	0
ABCC2	4	0	8
ABCC3	2	46	3
ABCC4	14	97	9
ABCC5	157	88	97
ABCC5-AS1	0	0	0
ABCC6	6	0	0
ABCC6P1	0	1	0
ABCC6P2	0	0	0
ABCC8	3	0	0
ABCC9	5	1	8
ABCD1	6	0	8
ABCD2	0	1	0
ABCD3	118	239	50
ABCD4	41	39	16
ABCE1	246	424	92
ABCF1	2088	1016	752
ABCF2	188	315	56
ABCF3	94	72	51
ABCG1	10	0	0
ABCG2	300	38	84
ABCG4	13	0	0
ABCG5	0	0	0
ABCG8	0	0	0
ABHD1	82	0	19
ABHD10	248	131	65
ABHD11	90	20	34
ABHD11-AS1	0	0	0
ABHD12	102	34	51
ABHD12B	1	0	17
ABHD13	59	33	20
ABHD14A	51	0	35
ABHD14A-ACY1	33	24	19
ABHD14B	177	1	41
ABHD15	26	68	3
ABHD16A	79	9	16
ABHD16B	7	0	0
ABHD17A	14	16	2
ABHD17B	125	2	31
ABHD17C	230	1	38
ABHD2	227	278	95
ABHD3	8	5	0
ABHD4	32	95	10
ABHD5	271	59	93
ABHD6	35	0	9
ABHD8	188	1	86
ABI1	128	57	30
ABI2	645	120	141
ABI3	0	0	0
ABI3BP	36	19	17
ABL1	272	437	123
ABL2	493	409	48
ABLIM1	523	364	281
ABLIM2	25	0	12
ABLIM3	89	0	32
ABO	0	1	0
ABR	99	75	48
ABRA	0	0	0
ABRACL	130	66	49
ABT1	160	97	44
ABTB1	19	32	20
ABTB2	36	0	50
ACAA1	132	0	26
ACAA2	91	147	20
ACACA	240	171	73
ACACB	1	0	28
ACAD10	52	19	57
ACAD11	233	86	89
ACAD8	15	0	10
ACAD9	170	64	26
ACADL	0	0	0
ACADM	207	112	75
ACADS	122	1	20
ACADSB	73	30	18
ACADVL	180	165	109
ACAN	9	1	125
ACAP1	19	19	35
ACAP2	238	112	84
ACAP3	104	0	32
ACAT1	80	35	33
ACAT2	929	781	255
ACBD3	1125	316	281
ACBD4	70	0	44
ACBD5	154	20	48
ACBD6	328	476	120
ACBD7	18	0	16
ACCS	5	0	0
ACCSL	0	0	0
ACD	79	25	54
ACE	0	0	0
ACE2	0	0	0
ACER1	0	0	0
ACER2	3	0	3
ACER3	140	12	100
ACHE	107	0	98
ACIN1	1189	384	476
ACKR1	35	1	30
ACKR2	4	0	0
ACKR3	11	70	2
ACKR4	0	0	0
ACLY	387	378	138
ACMSD	1	0	0
ACO1	490	319	129
ACO2	508	486	120
ACOT1	0	0	0
ACOT11	6	0	0
ACOT12	0	0	0
ACOT13	315	139	52
ACOT2	17	31	29
ACOT4	0	0	0
ACOT6	0	0	0
ACOT7	509	95	64
ACOT8	57	35	14
ACOT9	186	189	50
ACOX1	231	183	136
ACOX2	0	0	0
ACOX3	144	26	41
ACOXL	7	1	0
ACP1	317	163	116
ACP2	185	94	70
ACP5	2	0	0
ACP6	12	88	23
ACPP	23	0	15
ACPT	12	0	0
ACR	0	25	1
ACRBP	3	0	0
ACRC	43	58	0
ACRV1	10	0	9
ACSBG1	0	0	0
ACSBG2	7	0	0
ACSF2	15	0	3
ACSF3	9	0	13
ACSL1	77	0	21
ACSL3	384	317	116
ACSL4	188	158	10
ACSL5	16	0	0
ACSL6	10	0	13
ACSM1	1	0	0
ACSM2A	0	0	17
ACSM2B	0	0	0
ACSM3	27	2	13
ACSM4	2	0	4
ACSM5	0	0	0
ACSM6	2	0	15
ACSS1	10	0	60
ACSS2	41	1	19
ACSS3	3	0	1
ACTA1	20	64	6
ACTA2	308	710	92
ACTA2-AS1	303	704	90
ACTB	2039	2851	486
ACTBL2	0	0	0
ACTC1	148	285	62
ACTG1	8626	11518	1616
ACTG1P17	18	0	0
ACTG1P20	219	61	137
ACTG1P4	2	0	0
ACTG2	529	300	3
ACTL10	1	0	0
ACTL6A	117	175	119
ACTL6B	80	0	4
ACTL7A	0	0	0
ACTL7B	0	0	0
