	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	291.993649454006	0.942500104604257	1.05624343809579	0.892313334796578	0.372225008789915	0.999925568604492
A1BG-AS1	22.7619919380574	0.654361063176568	2.66439869597162	0.24559427392226	0.805996322251036	0.999925568604492
A1CF	6.43345791755431	2.42875816096125	5.33916827333233	0.454894477308802	0.649185156255408	0.999925568604492
A2M	82.8995161641964	1.07401673803149	1.72630252826084	0.622148621373743	0.533844146434311	0.999925568604492
A2M-AS1	62.0899840490024	1.05079290368946	2.01079248616745	0.522576502010042	0.601268996200726	0.999925568604492
A2ML1	0	NA	NA	NA	NA	NA
A2MP1	0.784738574073271	1.98246031173894	6.00474491533732	0.330148963809493	0.741287407629601	0.999925568604492
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	0.392369287036636	1.00091326845019	6.05911647385474	0.165191290309266	0.868793420414729	0.999925568604492
A4GNT	0	NA	NA	NA	NA	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	48.5862648214528	1.29429595922583	1.95568258849897	0.661812896856249	0.508091139742161	0.999925568604492
AACS	194.909310385352	0.904079802676203	1.16378052818106	0.776847335716506	0.437248845518134	0.999925568604492
AACSP1	22.2312181058695	1.02195944109278	2.83073726352555	0.361022357765545	0.718082733552025	0.999925568604492
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	4.38334889603822	-6.56144443642642	5.79301070795656	-1.13264842190166	0.257361925546701	0.999925568604492
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	18.8394013501459	-2.19960743145114	3.31538545701864	-0.66345450927722	0.507039505038132	0.999925568604492
AAED1	10.8400333002161	5.74591674102505	4.44863135237519	1.29161449576109	0.196490681492975	0.999925568604492
AAGAB	190.861508936277	0.586662340211192	1.16947785451648	0.501644676678166	0.61591748674056	0.999925568604492
AAK1	499.261518001915	0.194965934266282	0.936653817600768	0.208151539664554	0.835110645523314	0.999925568604492
AAMDC	184.818527808827	0.637511236993042	1.22558372582646	0.520169469909648	0.60294546230958	0.999925568604492
AAMP	241.83143975569	2.17422137494795	1.1422789651437	1.9034066469695	0.0569875043691444	0.999925568604492
AANAT	0.392369287036636	1.00091326845019	6.05911647385474	0.165191290309266	0.868793420414729	0.999925568604492
AAR2	83.7142850178	-1.05817286915438	1.57722953359305	-0.67090607081379	0.502280368717375	0.999925568604492
AARD	14.6452451483934	-2.86038571890654	3.6180814439123	-0.790580799036283	0.429188655122674	0.999925568604492
AARS	207.205803231374	-1.16543710441859	1.16800120419204	-0.997804711361389	0.318374065154431	0.999925568604492
AARS2	67.1039125249232	0.32388447978476	1.76273164745939	0.183740094671569	0.854217353354767	0.999925568604492
AARSD1	167.716870387693	0.475603333483349	1.24994821383767	0.380498430429466	0.703575461428402	0.999925568604492
AASDH	63.467803769547	-0.806808734875525	1.73061618069483	-0.466197383264725	0.641074222212812	0.999925568604492
AASDHPPT	218.979870796306	0.451020967907068	1.13861206000035	0.396114694153976	0.692020418685369	0.999925568604492
AASS	221.433316169575	0.141151497614951	1.18922858111393	0.118691645875797	0.905519655385358	0.999925568604492
AATBC	0	NA	NA	NA	NA	NA
AATF	168.63036478434	-0.232831037218042	1.33455093358524	-0.174463957394677	0.861500854168674	0.999925568604492
AATK	22.0274673348831	-0.549710303006173	2.63096428715359	-0.208938717142717	0.834496079219099	0.999925568604492
AATK-AS1	0	NA	NA	NA	NA	NA
ABALON	28.7607687893345	3.65736420674515	2.53616633765345	1.44208372788714	0.149278754921136	0.999925568604492
ABAT	67.8201199955967	-0.626562718987705	1.88084102648323	-0.33312901524657	0.73903689805209	0.999925568604492
ABCA1	47.9120350076812	-0.419083115769604	1.9408752358799	-0.215924809602515	0.829046357973183	0.999925568604492
ABCA10	0.588553930554953	1.57388869751184	6.02309973424488	0.261308755782899	0.793854414945309	0.999925568604492
ABCA11P	4.15352088320229	-1.1506303222449	5.65790710263799	-0.20336677527074	0.838848366658552	0.999925568604492
ABCA12	1.72502647311468	0.118038767499424	5.80972943969826	0.0203174293613155	0.983790152037039	0.999925568604492
ABCA13	31.5494514834412	-4.876689263441	2.63673498794205	-1.84951816763626	0.0643830269271238	0.999925568604492
ABCA17P	4.38334889603822	-6.56144443642642	5.79301070795656	-1.13264842190166	0.257361925546701	0.999925568604492
ABCA2	48.0556129590649	-2.3434316542958	2.44407693322195	-0.95882074023199	0.337649058969523	0.999925568604492
ABCA3	54.7132233170678	-0.652586175698888	2.44007506351213	-0.267445123085512	0.789126461055155	0.999925568604492
ABCA4	2.78022837857407	-2.86855543207006	5.7128089770433	-0.502126964790392	0.615578213558291	0.999925568604492
ABCA5	55.7524527953942	0.777913321175056	1.86752371775934	0.416548027624731	0.677009030932583	0.999925568604492
ABCA6	0	NA	NA	NA	NA	NA
ABCA7	23.1414796090838	-3.03219745837065	3.04087065641367	-0.997147791200941	0.318692778374259	0.999925568604492
ABCA8	2.4823954247061	3.62758248273999	5.96629239136683	0.608012857028105	0.543178946675856	0.999925568604492
ABCA9	1.96812018201894	-3.43205886922411	5.79749288814824	-0.591990181866413	0.553857162973495	0.999925568604492
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	4.82961919769336	-1.38339580074382	5.20412678048319	-0.265826690835418	0.790372686235163	0.999925568604492
ABCB10	6.14901068770308	-2.29990851861253	5.20111787377769	-0.442195038533524	0.658348076035279	0.999925568604492
ABCB11	7.00802794964415	-3.59593165415197	4.88845349068264	-0.735596986041863	0.461975997342181	0.999925568604492
ABCB4	7.17756117307741	1.47634006381952	5.00973115787572	0.294694469083155	0.768227288682029	0.999925568604492
ABCB5	0	NA	NA	NA	NA	NA
ABCB6	208.837969832011	-1.37045589636817	1.1654261868558	-1.17592680842836	0.239624125016065	0.999925568604492
ABCB7	19.570837084049	1.31147846512327	3.39609604713035	0.386172371724129	0.699369013882465	0.999925568604492
ABCB8	27.1486457396086	-0.790424075817199	2.42079112867043	-0.326514777113928	0.744034910882168	0.999925568604492
ABCB9	87.8181680501904	-2.04239748242611	2.13484498045081	-0.956695919904603	0.33872075810856	0.999925568604492
ABCC1	5.03906953728	0.0506635697367398	5.1025451199644	0.00992907824342634	0.992077871936052	0.999925568604492
ABCC10	17.8239965328915	-0.76974974885105	2.99714911198853	-0.256827311584888	0.797312085470728	0.999925568604492
ABCC11	3.83543028403345	-6.36880951331268	5.79621740625635	-1.09878720326092	0.27186089521658	0.999925568604492
ABCC12	0	NA	NA	NA	NA	NA
ABCC13	0	NA	NA	NA	NA	NA
ABCC2	5.1680874701115	-3.45936213690899	5.59249928030355	-0.618571762555725	0.536198508782389	0.999925568604492
