T.input.1	T.input.2	U.input.1	U.input.2	T.m6A.1	T.m6A.2	U.m6A.1	U.m6A.2
ENSG00000000457.13_peak	79	62	76	109	1423	1124	741	1269
ENSG00000000460.16_peak	79	61	76	108	1423	1124	741	1269
ENSG00000001084.11_peak	13	21	37	18	54	247	325	470
ENSG00000001167.14_peak	493	435	424	615	11535	14333	11243	12248
ENSG00000001167.14_peak_2	136	110	107	134	1929	1513	1164	1724
ENSG00000001460.17_peak	8	12	14	16	200	158	137	550
ENSG00000001461.16_peak	26	23	33	34	688	447	554	319
ENSG00000001561.6_peak	5	14	13	1	156	107	99	484
ENSG00000001629.9_peak	167	133	159	220	1947	3509	1910	2655
ENSG00000002016.17_peak	17	6	14	0	87	11	63	398
ENSG00000002726.20_peak	88	87	97	102	1074	1121	818	307
ENSG00000002726.20_peak_2	344	241	257	376	2567	3200	1583	2517
ENSG00000003393.14_peak	518	468	182	244	4535	3569	2194	2293
ENSG00000003393.14_peak_2	558	474	247	286	5115	5840	2823	1659
ENSG00000003393.14_peak_3	1190	1053	551	543	18214	15596	6181	5023
ENSG00000003393.14_peak_4	111	104	49	55	1953	2053	1055	1138
ENSG00000003400.14_peak	14	45	28	23	179	604	477	270
ENSG00000003402.19_peak	36	32	17	15	1	517	0	373
ENSG00000003402.19_peak_2	203	172	115	246	798	1315	1224	1336
ENSG00000003402.19_peak_3	79	97	49	39	548	430	573	534
ENSG00000003402.19_peak_4	74	60	58	60	2048	1759	1577	1922
ENSG00000003402.19_peak_5	159	119	130	183	2568	1661	1630	2047
ENSG00000003509.15_peak	54	25	47	34	535	635	683	527
ENSG00000004142.11_peak	62	77	67	78	166	542	607	635
ENSG00000004399.12_peak	502	414	636	687	8347	7473	6660	7506
ENSG00000004455.16_peak	124	84	131	146	2292	2841	2812	2255
ENSG00000004468.12_peak	88	51	26	27	778	857	657	369
ENSG00000004534.14_peak	841	809	941	1153	23238	20860	18653	19108
ENSG00000004660.14_peak	4	2	9	7	0	14	468	1
ENSG00000004809.13_peak	125	88	102	179	1708	2265	1778	1555
ENSG00000004897.11_peak	143	111	96	136	721	1189	820	760
ENSG00000005007.12_peak	817	783	944	1017	9538	11679	11716	10679
ENSG00000005007.12_peak_2	128	122	132	188	447	379	674	509
ENSG00000005007.12_peak_3	919	844	1139	1340	3303	2181	4520	3624
ENSG00000005075.15_peak	15	14	13	11	333	187	548	484
ENSG00000005100.12_peak	110	107	103	120	2197	2228	3256	1563
ENSG00000005156.11_peak	645	557	669	740	17194	17319	18375	14408
ENSG00000005156.11_peak_2	99	129	110	148	1546	1301	1599	1336
ENSG00000005206.16_peak	129	179	151	155	1522	1280	798	780
ENSG00000005206.16_peak_2	160	159	229	236	885	1762	1644	1057
ENSG00000005206.16_peak_3	107	86	155	139	880	849	679	388
ENSG00000005206.16_peak_4	58	72	60	72	1160	1703	1201	1417
ENSG00000005339.14_peak	857	861	727	791	14715	16764	12506	11754
ENSG00000005339.14_peak_2	148	138	133	128	3565	3289	1894	2595
ENSG00000005379.15_peak	71	59	85	103	587	1417	1730	1137
ENSG00000005379.15_peak_2	90	56	104	109	369	748	1627	1498
ENSG00000005379.15_peak_3	51	48	77	71	298	349	177	651
ENSG00000005381.7_peak	36509	34315	36751	43491	58014	54834	50847	47682
ENSG00000005483.20_peak	466	484	429	423	17290	17003	13366	13971
ENSG00000005483.20_peak_2	84	55	71	95	1002	891	654	954
ENSG00000005483.20_peak_3	79	81	83	57	508	451	657	214
ENSG00000005483.20_peak_4	48	47	31	62	1172	572	344	504
ENSG00000005700.14_peak	327	244	308	278	7046	7788	6773	5372
ENSG00000005801.16_peak	254	221	221	257	4073	4591	2697	3430
ENSG00000005801.16_peak_2	104	103	122	104	1839	2701	2953	2529
ENSG00000005810.17_peak	202	195	206	263	2596	2904	1871	2473
ENSG00000005810.17_peak_2	350	275	292	418	2551	2574	3348	2464
ENSG00000005810.17_peak_3	93	35	52	49	3007	1945	2338	1474
ENSG00000005812.10_peak	349	283	223	292	6440	7677	4187	4976
ENSG00000005812.10_peak_2	19	23	18	21	361	831	527	208
ENSG00000005844.17_peak	950	989	882	1088	9653	9695	10568	8469
ENSG00000005889.15_peak	411	321	348	385	4529	5167	3675	3164
ENSG00000005889.15_peak_2	243	202	187	161	5294	5260	4565	4182
ENSG00000006007.11_peak	104	74	89	96	1716	1135	2164	1275
ENSG00000006194.9_peak	22	17	14	6	69	197	422	11
ENSG00000006194.9_peak_2	705	683	631	810	14576	13795	17598	12521
ENSG00000006194.9_peak_3	17	16	11	6	96	610	376	146
ENSG00000006194.9_peak_4	23	56	37	99	184	258	258	0
ENSG00000006194.9_peak_5	32	17	18	5	633	1003	370	778
ENSG00000006530.15_peak	85	65	68	115	522	379	452	763
ENSG00000006534.15_peak	115	93	101	179	1282	1138	204	631
ENSG00000006534.15_peak_2	292	246	239	314	703	1108	1234	1498
ENSG00000006634.7_peak	114	141	170	225	7459	9040	7973	5418
ENSG00000006712.14_peak	144	110	125	203	1647	1756	1943	1040
ENSG00000006744.18_peak	219	232	379	333	1775	2079	2408	1759
ENSG00000006831.9_peak	294	272	307	300	2740	2822	3701	2740
ENSG00000006831.9_peak_2	293	267	346	397	2674	4684	3070	2647
ENSG00000007202.14_peak	1278	1127	1249	1718	11956	12897	12328	11126
ENSG00000007376.7_peak	488	536	821	991	8026	6181	10589	8564
ENSG00000007516.13_peak	228	187	254	396	5068	5535	6435	4854
ENSG00000007520.3_peak	602	508	825	1048	7427	8197	9760	7534
ENSG00000007545.15_peak	230	216	237	303	2268	1878	2671	3130
ENSG00000007545.15_peak_2	204	200	243	257	4426	2401	2467	2549
ENSG00000007545.15_peak_3	30	36	36	19	227	311	449	171
ENSG00000007944.14_peak	48	18	49	25	775	296	237	347
ENSG00000008083.13_peak	373	377	275	386	5029	5624	3924	2767
ENSG00000008083.13_peak_2	487	505	541	631	5656	5221	4575	4439
ENSG00000008083.13_peak_3	362	379	300	338	2067	2230	2275	685
ENSG00000008083.13_peak_4	63	40	23	18	202	107	315	259
ENSG00000008256.15_peak	42	26	72	72	88	281	568	57
ENSG00000008256.15_peak_2	49	44	96	59	227	376	450	365
ENSG00000008300.16_peak	11	8	5	4	0	95	499	0
ENSG00000008300.16_peak_2	0	0	2	4	73	411	0	216
ENSG00000008441.16_peak	54	56	106	114	451	738	1001	620
ENSG00000008441.16_peak_2	115	158	93	91	314	738	510	1021
ENSG00000008513.14_peak	141	115	75	132	2561	2418	1737	2191
ENSG00000008513.14_peak_2	125	110	143	118	721	1058	872	948
ENSG00000008513.14_peak_3	16	25	6	18	556	171	231	163
ENSG00000008710.19_peak	8	13	16	5	25	563	38	419
ENSG00000008710.19_peak_2	90	63	72	62	1643	1972	1327	1687
ENSG00000008710.19_peak_3	22	49	59	32	442	1186	281	858
ENSG00000008710.19_peak_4	25	10	15	16	176	179	468	148
ENSG00000008710.19_peak_5	53	49	50	65	217	790	601	728
ENSG00000008853.16_peak	5	11	9	15	409	596	43	130
ENSG00000008952.16_peak	1755	1537	1644	2077	78261	90569	79716	72831
ENSG00000009413.15_peak	28	24	20	16	312	555	460	0
ENSG00000009413.15_peak_2	388	339	385	427	7674	8772	9603	6940
ENSG00000009413.15_peak_3	142	107	115	121	2097	1502	1718	2852
ENSG00000009413.15_peak_4	59	72	60	56	500	1165	791	1283
ENSG00000009413.15_peak_5	43	18	39	45	0	160	0	628
ENSG00000009830.11_peak	13	28	6	13	136	164	256	392
ENSG00000009954.10_peak	1423	1247	1266	1362	16904	16190	14529	17201
ENSG00000009954.10_peak_2	1707	1602	1597	1906	10733	9120	7490	8270
ENSG00000009954.10_peak_3	315	286	221	314	1498	1999	1045	1142
ENSG00000010072.15_peak	40	27	19	48	7	207	823	467
ENSG00000010165.19_peak	268	202	256	339	2332	2455	2509	1896
ENSG00000010165.19_peak_2	123	105	142	190	2192	2891	2403	2781
ENSG00000010244.18_peak	222	217	352	292	2115	1363	1239	2017
ENSG00000010292.12_peak	70	35	41	53	340	530	701	249
ENSG00000010318.20_peak	280	232	209	245	1181	1615	2171	1289
ENSG00000010322.15_peak	4	8	5	0	126	7	0	179
ENSG00000010322.15_peak_2	322	330	188	356	1232	1643	1038	1044
ENSG00000010322.15_peak_3	138	156	118	72	736	1289	730	508
ENSG00000010539.11_peak	347	224	266	328	8628	7519	4913	5838
ENSG00000010818.9_peak	29	12	7	10	685	1071	74	403
ENSG00000011007.12_peak	696	584	578	899	11633	12072	14996	11650
ENSG00000011007.12_peak_2	223	228	198	227	1253	1435	1946	1824
ENSG00000011114.14_peak	304	215	213	315	9291	6119	5662	6051
ENSG00000011114.14_peak_2	20	27	39	22	0	95	446	403
ENSG00000011114.14_peak_3	58	33	28	51	292	962	372	1388
ENSG00000011114.14_peak_4	36	39	59	59	422	200	389	306
ENSG00000011132.11_peak	88	70	127	147	2013	2044	2143	1828
ENSG00000011275.18_peak	378	362	368	431	1590	1565	1671	1651
ENSG00000011376.10_peak	132	114	212	247	3499	3568	5893	4167
ENSG00000011376.10_peak_2	122	126	164	220	931	631	1896	953
ENSG00000011405.13_peak	78	86	87	76	840	534	787	262
ENSG00000011405.13_peak_2	28	33	26	26	446	830	843	257
ENSG00000011422.11_peak	26	49	17	38	1877	394	303	201
ENSG00000011454.16_peak	22	42	28	69	849	790	762	484
ENSG00000011523.13_peak	92	103	136	143	1367	2097	3575	2387
ENSG00000012048.21_peak	824	791	804	948	8689	9048	7377	6428
ENSG00000012048.21_peak_2	114	42	101	111	600	666	526	728
ENSG00000012061.15_peak	1380	1299	2117	2557	13082	15698	21758	22324
ENSG00000012174.11_peak	93	99	39	43	3188	3706	1505	1313
ENSG00000012211.12_peak	48	49	45	67	1155	1800	863	986
ENSG00000012232.8_peak	11	8	10	13	133	82	255	62
ENSG00000012232.8_peak_2	20	12	16	19	1296	828	711	370
ENSG00000012232.8_peak_3	83	56	31	54	3355	2767	2963	1425
ENSG00000012232.8_peak_4	42	38	16	42	577	572	357	883
ENSG00000012779.10_peak	158	127	87	94	1509	1424	453	826
ENSG00000013288.8_peak	260	248	156	289	374	852	908	1381
ENSG00000013288.8_peak_2	405	447	344	451	3760	3633	2527	2601
ENSG00000013392.7_peak	12	12	12	12	1068	916	417	483
ENSG00000013503.9_peak	30	18	26	11	751	860	252	556
ENSG00000013573.16_peak	138	122	151	133	734	705	1218	834
ENSG00000013810.18_peak	2415	2068	2107	2730	35650	37898	37834	30387
ENSG00000014164.6_peak	69	99	89	105	700	385	676	1020
ENSG00000014164.6_peak_2	298	221	304	250	1193	1759	1986	1164
ENSG00000014216.15_peak	212	209	238	326	1455	906	520	1652
ENSG00000014257.15_peak	63	47	72	102	840	889	548	501
ENSG00000015133.18_peak	360	416	409	417	2299	3023	3266	4097
ENSG00000015133.18_peak_2	143	101	97	206	2333	963	771	1109
ENSG00000015133.18_peak_3	44	42	31	50	206	585	236	481
ENSG00000015133.18_peak_4	1	10	2	1	110	82	24	264
ENSG00000015133.18_peak_5	464	448	545	539	3938	5841	4477	4157
ENSG00000015479.18_peak	1086	900	946	1348	3962	4505	3497	3545
ENSG00000015532.9_peak	111	127	79	117	3260	2240	2146	2677
ENSG00000015676.17_peak	316	290	426	532	6553	5801	5896	7691
ENSG00000015676.17_peak_2	376	291	319	519	1106	681	1532	1163
ENSG00000015676.17_peak_3	29	20	17	24	279	264	362	794
ENSG00000016864.18_peak	190	190	114	160	2580	3364	1800	3796
ENSG00000017260.19_peak	293	252	205	251	1586	2259	1696	1290
ENSG00000017797.12_peak	1006	838	1103	1343	11432	12429	12390	14067
ENSG00000017797.12_peak_2	833	829	971	1215	15968	15454	15037	18723
ENSG00000017797.12_peak_3	311	244	401	389	2376	2587	3041	2722
ENSG00000019991.16_peak	55	69	12	11	565	500	540	333
ENSG00000019995.6_peak	757	655	569	709	11555	14885	10483	14137
ENSG00000019995.6_peak_2	376	339	325	355	3345	3748	1947	2197
ENSG00000020129.15_peak	54	40	31	34	232	472	197	361
ENSG00000020181.17_peak	62	73	39	52	1401	889	951	664
ENSG00000020181.17_peak_2	156	140	102	146	1785	1648	583	731
ENSG00000020256.19_peak	253	187	206	269	3878	3968	3646	4379
ENSG00000020256.19_peak_2	17	15	10	7	511	624	1158	868
ENSG00000020633.18_peak	262	184	283	445	1735	1439	2668	2408
ENSG00000022567.9_peak	300	302	179	272	6261	6139	6452	3989
ENSG00000022567.9_peak_2	618	692	605	821	22799	20768	17491	20394
ENSG00000022567.9_peak_3	124	118	125	178	757	732	901	1285
ENSG00000022976.15_peak	104	100	132	221	3802	3986	5739	4120
ENSG00000022976.15_peak_2	30	22	17	21	110	165	255	534
ENSG00000022976.15_peak_3	4	9	29	17	498	125	267	411
ENSG00000022976.15_peak_4	48	40	50	35	885	772	1465	1115
ENSG00000023041.11_peak	134	115	95	140	1585	1044	1694	1939
ENSG00000023287.12_peak	106	126	132	151	4753	2758	2086	2137
ENSG00000023287.12_peak_2	129	121	108	123	1517	3050	1931	2967
ENSG00000023516.8_peak	103	68	115	111	851	1031	774	626
ENSG00000023516.8_peak_2	77	73	91	70	497	462	506	1108
ENSG00000023516.8_peak_3	50	27	40	70	5	361	753	163
ENSG00000023516.8_peak_4	52	33	27	45	180	298	162	371
ENSG00000023902.13_peak	260	246	172	222	7069	9424	5438	4238
ENSG00000025293.16_peak	25	50	23	21	231	137	200	228
ENSG00000025293.16_peak_2	197	154	186	293	7240	10431	7940	9396
ENSG00000025708.13_peak	12	0	12	10	57	0	0	0
ENSG00000025796.13_peak	187	176	175	196	285	340	618	1556
ENSG00000025800.13_peak	72	61	54	108	655	984	1449	709
ENSG00000025800.13_peak_2	97	73	99	125	833	1271	738	912
ENSG00000026025.15_peak	95	97	23	24	369	751	751	462
ENSG00000026508.18_peak	420	453	369	348	1800	2106	870	2007
ENSG00000026950.16_peak	23	31	22	18	238	972	566	217
ENSG00000027697.14_peak	257	228	190	247	2155	2204	1945	2225
ENSG00000027847.13_peak	99	132	155	156	1485	930	1364	2363
ENSG00000028116.16_peak	82	62	62	89	586	265	317	527
ENSG00000028137.18_peak	381	266	420	426	5357	7038	6121	7356
ENSG00000028137.18_peak_2	185	178	212	227	606	860	730	1389
ENSG00000028203.17_peak	247	298	303	357	8356	7484	9543	7969
ENSG00000028310.17_peak	53	64	59	74	313	344	408	576
ENSG00000029363.16_peak	200	148	197	238	582	670	1063	847
ENSG00000029364.11_peak	165	147	183	205	2731	3165	2294	2901
ENSG00000029639.10_peak	111	111	117	143	653	873	1370	710
ENSG00000029725.16_peak	399	360	553	588	14117	15571	17032	16813
ENSG00000029725.16_peak_2	200	174	214	261	3812	3543	4256	4722
ENSG00000029725.16_peak_3	78	123	186	185	985	435	935	1331
ENSG00000030066.13_peak	496	431	489	588	7905	6151	5773	5186
ENSG00000030066.13_peak_2	28	39	11	18	152	34	0	351
ENSG00000030419.16_peak	120	89	19	25	3996	4431	1064	598
ENSG00000030419.16_peak_2	30	53	15	5	972	790	89	357
ENSG00000030419.16_peak_3	29	32	13	13	836	201	425	67
ENSG00000031003.10_peak	60	45	34	57	881	1139	1284	667
ENSG00000031698.12_peak	72	43	68	78	1028	1182	1457	1012
ENSG00000031698.12_peak_2	50	49	50	34	2225	1965	1789	1387
ENSG00000031698.12_peak_3	16	3	11	12	743	700	462	399
ENSG00000031823.14_peak	23	19	15	13	344	477	391	132
ENSG00000032219.18_peak	158	182	155	180	2092	1976	1046	1890
ENSG00000033030.13_peak	217	183	257	248	5040	4808	4312	4944
ENSG00000033050.8_peak	56	69	75	80	1129	1087	1341	1761
ENSG00000033100.16_peak	408	387	406	522	6066	4905	4180	5429
ENSG00000033100.16_peak_2	65	89	71	69	746	388	517	286
ENSG00000033100.16_peak_3	555	455	315	542	7050	7750	5751	4745
ENSG00000033170.16_peak	13	2	10	5	94	36	283	0
ENSG00000033170.16_peak_2	51	73	62	84	3982	2990	3159	2619
ENSG00000033178.12_peak	2	6	0	1	0	0	212	171
ENSG00000033178.12_peak_2	150	128	134	184	3212	4045	4822	3446
ENSG00000033327.12_peak	121	113	50	68	1139	1631	1343	1083
ENSG00000033800.13_peak	152	161	103	159	2624	1935	1986	3014
ENSG00000033800.13_peak_2	264	185	255	291	4443	3639	2709	2397
ENSG00000033800.13_peak_3	42	58	67	60	1462	1727	1699	1057
ENSG00000034533.11_peak	12	16	12	29	233	491	616	41
ENSG00000034533.11_peak_2	21	23	25	16	379	177	542	422
ENSG00000034533.11_peak_3	7	3	9	18	136	294	374	68
ENSG00000034677.12_peak	88	85	110	86	2743	1786	1899	1741
ENSG00000034677.12_peak_2	44	112	66	81	731	2293	1767	1304
ENSG00000034677.12_peak_3	102	112	121	152	253	874	1652	999
ENSG00000035141.7_peak	248	245	276	408	1685	866	1331	853
ENSG00000035403.17_peak	223	180	193	221	2440	1990	1616	1667
ENSG00000035928.15_peak	164	167	146	127	1381	2062	1485	1801
ENSG00000036257.12_peak	116	157	150	207	1413	1558	630	876
ENSG00000036549.12_peak	87	40	76	54	0	217	492	480
ENSG00000036549.12_peak_2	574	516	638	748	9845	8564	9341	10114
ENSG00000036549.12_peak_3	127	180	192	220	736	551	834	746
ENSG00000036549.12_peak_4	116	119	177	173	958	1453	1886	2354
ENSG00000037474.14_peak	568	529	540	768	4301	5020	3391	3222
ENSG00000037637.10_peak	95	96	101	131	2716	2058	2119	2105
