GO	[-6.64 -3.56]	[-3.56 -1.58]	[-1.58 -1.07]	[-1.07 -0.74]	[-0.74 0.62]	[0.62 0.94]	[0.94 1.35]	[1.35 1.98]	[1.98 3.92]	[3.92 4.92]	[4.92 6.78]
MIR138_1_3P MIR138_1_3P	-0.766	1.520	1.520	0.718	0.718	-0.766	-1.413	-1.413	-1.413	0.428	0.423
ATTACAT_MIR3803P ATTACAT_MIR3803P	-1.079	1.586	0.371	-0.240	2.159	-1.079	-1.079	0.685	0.371	-0.521	-1.085
MIR6882_5P MIR6882_5P	-1.438	0.258	-2.250	-0.348	0.667	1.284	-0.348	0.436	-0.924	-0.579	3.066
GGTGTGT_MIR329 GGTGTGT_MIR329	2.085	-0.961	-0.961	-1.663	0.529	0.529	0.302	0.529	-0.300	1.183	-1.673
MIR6887_5P MIR6887_5P	0.285	-1.705	0.502	1.135	1.545	0.786	0.502	0.285	-0.994	-1.705	-1.002
MIR216B_3P MIR216B_3P	1.375	-1.368	0.286	-1.368	-0.536	0.478	-0.536	2.719	-0.536	1.023	-1.379
CCCACAT_MIR2993P CCCACAT_MIR2993P	1.441	2.739	-0.871	-0.871	0.527	0.235	-0.378	-0.871	0.235	-0.378	-0.876
MIR3936 MIR3936	0.166	-0.497	-0.497	-0.497	-0.497	0.166	1.054	3.507	-0.497	-0.497	0.165
MIR31_3P MIR31_3P	-0.580	-0.580	2.218	-0.580	-0.580	0.434	-0.199	0.893	-0.580	-0.580	0.888
ZSCAN5B_TARGET_GENES ZSCAN5B_TARGET_GENES	-0.497	0.525	0.166	-0.497	-0.497	0.166	-0.497	3.507	-0.497	0.525	-0.500
