GO	[-6.64 -3.50]	[-3.50 -1.55]	[-1.55 -1.05]	[-1.05 -0.73]	[-0.73 0.64]	[0.64 0.95]	[0.95 1.35]	[1.35 2.00]	[2.00 3.92]	[3.92 4.94]	[4.94 6.78]
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP	1.187	3.045	1.576	-0.759	0.351	-0.759	-0.452	-1.999	-1.999	-0.452	-0.256
GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	-1.414	3.216	-0.767	-0.767	2.589	0.215	-0.767	-1.414	0.215	0.427	-0.408
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	0.480	-0.704	0.480	-1.330	1.189	-1.330	0.796	-0.704	-0.363	-1.330	2.790
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	-0.260	0.346	-0.694	1.422	1.422	-0.694	-2.461	-1.616	0.346	-0.694	2.237
GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_UP GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_UP	-1.197	-0.732	1.632	-0.732	-0.732	0.887	0.887	2.585	-0.432	-0.432	-1.958
GSE29618_BCELL_VS_MONOCYTE_DN GSE29618_BCELL_VS_MONOCYTE_DN	0.915	0.245	-0.954	-1.475	1.614	0.416	1.240	0.245	0.915	-2.293	-1.475
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	-0.431	-1.455	-1.455	-0.218	3.772	0.682	-0.799	0.682	0.403	-0.218	-0.799
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_DN GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_DN	-0.790	2.003	-1.760	0.944	1.608	-1.760	-1.189	-0.510	-0.315	-0.315	1.254
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	-1.790	-0.355	-0.355	1.045	-1.062	0.453	1.431	1.431	0.718	-1.790	-0.627
GSE17721_LPS_VS_POLYIC_16H_BMDC_UP GSE17721_LPS_VS_POLYIC_16H_BMDC_UP	-0.355	-0.355	0.253	-0.627	-1.062	-1.790	3.521	1.431	0.253	-1.062	0.453
GSE12505_WT_VS_E2_2_HET_PDC_DN GSE12505_WT_VS_E2_2_HET_PDC_DN	-1.455	1.945	-0.431	1.456	0.403	0.403	-1.455	-0.431	-0.218	-1.455	0.682
GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_DN GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_DN	0.615	-0.478	-0.250	-0.250	1.339	-0.250	2.899	-1.539	-0.863	-0.250	-1.539
GSE22045_TREG_VS_TCONV_UP GSE22045_TREG_VS_TCONV_UP	-0.300	-1.205	-1.205	0.573	-1.205	-0.300	2.474	-0.611	-0.300	0.930	0.930
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	-0.983	0.232	-0.625	0.614	2.929	-0.383	-0.625	0.881	0.881	-2.335	-0.625
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN	-0.454	0.520	-0.454	2.176	0.330	-0.454	0.520	-2.503	-1.652	1.378	-0.274
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	0.334	1.954	-0.473	-0.473	2.959	-0.271	-2.041	-0.786	-0.786	-0.271	-0.271
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_DN GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_DN	-0.370	-3.262	0.560	-0.562	-0.370	1.033	-0.825	-0.562	0.242	1.033	2.023
GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	-0.995	1.134	-1.706	-0.318	-0.995	-0.995	0.502	0.786	1.544	-0.576	1.134
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_DN GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_DN	-1.462	3.134	-1.462	1.004	1.278	-0.352	-0.352	0.256	-0.352	-1.462	-0.352
GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_DN GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_DN	-0.452	0.851	-1.999	-1.999	-0.452	1.576	0.851	-0.452	0.351	0.851	-0.256
