"transcript","gene_id","gene_name","Estimate_.Intercept.","Pr...z.._.Intercept.","Estimate_treatmentDRUG","Pr...z.._treatmentDRUG","fdr_Pr...z.._treatmentDRUG","qvalue_Pr...z.._treatmentDRUG"
"ENST00000000233","ENSG00000004059","ARF5",-0.508744718569755,0.0043903709331817,-0.30937381135719,0.213722816034098,0.726105140742661,0.602568137076265
"ENST00000000412","ENSG00000003056","M6PR",-3.21383859599014,8.6055329636337e-172,0.329650648633987,0.0385882802385224,0.442777709694649,0.367445049895546
"ENST00000000442","ENSG00000173153","ESRRA",-2.01217861821166,1.09472823917818e-21,-0.36779221165875,0.289028168834666,0.772521171490942,0.641087105761516
"ENST00000001008","ENSG00000004478","FKBP4",-2.12879847617173,2.72621555897131e-176,0.356873418480736,0.00193146090357445,0.121855868406512,0.101123734701041
"ENST00000002125","ENSG00000003509","NDUFAF7",-2.05632697425955,1.09568556286729e-27,-0.46954853836529,0.1235684759258,0.619216453229446,0.513865119158655
"ENST00000002165","ENSG00000001036","FUCA2",-1.83530032783397,5.72931209196629e-24,-0.279067331034467,0.284929294852478,0.770325398988591,0.63926491435707
"ENST00000003100","ENSG00000001630","CYP51A1",-2.43930146880746,8.90707440697566e-155,0.193693775022583,0.153937929128948,0.654884959456866,0.543465109771264
"ENST00000003302","ENSG00000048028","USP28",-2.41372405332395,1.80439733838592e-35,0.286346665771822,0.273501536024041,0.768332293798948,0.63761090915351
"ENST00000004531","ENSG00000003989","SLC7A2",-2.74064575939816,2.01539902850797e-31,0.238456326026129,0.620055695926433,0.924523397498688,0.767228201613355
"ENST00000005257","ENSG00000006451","RALA",-2.99004126067573,1.71592269643756e-56,0.05079239857889,0.856180571435315,0.970401654150372,0.805300891216732
"ENST00000005340","ENSG00000004975","DVL2",-1.13831493587007,7.64908271369744e-06,-0.0524509450049757,0.887993542810858,0.977096848818918,0.81085698874644
"ENST00000005386","ENSG00000005175","RPAP3",-2.21507657299256,8.71190696613761e-57,0.0223134965579319,0.915260520823503,0.985890998729574,0.818154932572335
"ENST00000005558","ENSG00000006652","IFRD1",-3.17453273889025,4.10339279703829e-41,0.101923516831161,0.760236280453338,0.953896885324755,0.791604186364933
"ENST00000007264","ENSG00000007376","RPUSD1",-1.98984044374112,1.35363897521244e-15,0.549736771959896,0.132521045947678,0.638086086427441,0.529524338582166
"ENST00000007390","ENSG00000007520","TSR3",-2.67307983955095,2.48255242084157e-34,0.0232352314757768,0.948851384413778,0.990548690714027,0.822020181039349
"ENST00000007516","ENSG00000004779","NDUFAB1",-2.17714195830924,1.5409507689909e-88,0.41418533868478,0.0104925890455929,0.252663146139868,0.209675917073952
"ENST00000008527","ENSG00000008405","CRY1",-2.91439605796631,1.34374604236005e-20,0.261799708628171,0.514957111069331,0.882756143863941,0.732567083269336
"ENST00000009041","ENSG00000010270","STARD3NL",-3.13379688298593,1.99275537061849e-41,0.340515037007279,0.29476888383664,0.775010050466995,0.643152535523485
"ENST00000010404","ENSG00000008394","MGST1",-2.15723526859936,9.20877685046366e-165,0.196374553778168,0.0860907000577083,0.568585944111089,0.47184870879766
"ENST00000011473","ENSG00000008282","SYPL1",-2.14695795543392,1.16025618211573e-74,0.194629034048974,0.239506451642768,0.745875274017927,0.618974648625325
"ENST00000011619","ENSG00000010017","RANBP9",-3.0269047153673,2.27840681515525e-116,0.299218901708782,0.0890741910008157,0.569370892628314,0.472500108903768
"ENST00000011653","ENSG00000010610","CD4",-1.8862406915495,2.36937255590721e-99,0.283692542937013,0.0222277390810907,0.381072842017938,0.316238433831013
"ENST00000011691","ENSG00000008324","SS18L2",-1.74956398334013,4.30320793919065e-11,-0.504599487845366,0.326829972284908,0.788582822217418,0.65441608308665
"ENST00000012049","ENSG00000011478","QPCTL",-2.75267904330449,6.28778445834315e-24,0.662723848338997,0.0549751753513398,0.49484102104806,0.410650490501792
"ENST00000012443","ENSG00000011485","PPP5C",-2.05697675624587,3.01928288024799e-71,0.168610088184499,0.330679735013735,0.790528641793809,0.656030847686764
"ENST00000013034","ENSG00000239672","NME1",-2.08813272589286,3.61718701551369e-46,0.0368371883645009,0.879769160132631,0.974962872172277,0.809086079465704
"ENST00000013807","ENSG00000012061","ERCC1",-1.24620210908323,2.03442570554386e-17,0.113940493210876,0.581303441309337,0.909879529297347,0.755075790224768
"ENST00000014930","ENSG00000013583","HEBP1",-1.76987529443297,1.7712783362827e-11,-0.194285738352061,0.638310303857907,0.927907013980426,0.770036141353178
"ENST00000016171","ENSG00000014919","COX15",-1.87593652155255,6.5721845553432e-35,-0.0805136982314086,0.719206844472753,0.945448023484682,0.784592784498007
"ENST00000017003","ENSG00000015532","XYLT2",-1.737880176782,6.02946276251892e-11,0.265559246723612,0.446289861813301,0.853115486243822,0.707969384063402
"ENST00000019317","ENSG00000017797","RALBP1",-3.89771323550384,1.56581922157396e-181,0.0867265929317456,0.673358685897694,0.932649824221417,0.773972026352555
"ENST00000023939","ENSG00000022277","RTF2",-2.0536561238203,1.36179181706321e-70,0.0771822376096892,0.646411185860862,0.927907013980426,0.770036141353178
"ENST00000025008","ENSG00000023287","RB1CC1",-3.66088664832545,3.18160429929061e-76,0.371909931552757,0.165766336797531,0.676934615272794,0.561763313822797
"ENST00000025301","ENSG00000023516","AKAP11",-3.51252523038913,2.32555877999642e-171,0.258605447014258,0.138469451913807,0.64277120467366,0.533412347102142
"ENST00000026218","ENSG00000007541","PIGQ",-1.29443515005417,9.73339062680555e-06,0.0826549149385331,0.834208360347254,0.969009774325317,0.804145820984948
"ENST00000033079","ENSG00000031003","FAM13B",-3.99521722508591,2.46842077745904e-33,0.404668956555308,0.344842485758186,0.802595040724748,0.666044311463647
"ENST00000035307","ENSG00000033100","CHPF2",-1.8174435213557,1.01952114763016e-34,0.0523156892841523,0.792167949938407,0.958991748298145,0.795832227069058
"ENST00000037243","ENSG00000034713","GABARAPL2",-2.24186869345341,4.10857073266912e-36,0.29066159316548,0.229271688596536,0.736400009137706,0.611111472362258
"ENST00000039989","ENSG00000052841","TTC17",-2.83652205657752,7.40013723348014e-128,0.216806436756069,0.189547413992807,0.699437549577607,0.58043767713736
"ENST00000040663","ENSG00000037757","MRI1",-1.39450205383406,1.09622401359239e-21,-0.545679706316575,0.0331867865485102,0.420477111196837,0.348938597677389
"ENST00000040738","ENSG00000038219","BOD1L1",-2.96154807131024,4.59244408498118e-187,-0.0658283680869539,0.652096879488824,0.927907013980426,0.770036141353178
"ENST00000040877","ENSG00000059588","TARBP1",-2.60767851867677,6.43805461997761e-94,0.351553547211632,0.0436884581411866,0.46402438116624,0.385076886566766
"ENST00000044462","ENSG00000041357","PSMA4",-2.12372050124156,1.61465382378321e-154,-0.0280697391318065,0.815725216356541,0.964431034071475,0.800346091675647
"ENST00000046794","ENSG00000043462","LCP2",-2.7154678798697,1.07474289622555e-105,0.179087687688488,0.278595327281955,0.768332293798948,0.63761090915351
"ENST00000053468","ENSG00000048544","MRPS10",-2.62895832461117,1.59744639539914e-93,-0.0560099181751857,0.783256613400031,0.957698272999797,0.794758819160001
"ENST00000053867","ENSG00000030582","GRN",-0.72590464953986,3.04919806511569e-33,-0.17382624750863,0.0275831025153235,0.401315685725932,0.333037230503595
"ENST00000055077","ENSG00000049541","RFC2",-1.90549088434368,1.76116768185913e-47,-0.122638427606297,0.544602637199153,0.891269628209451,0.739632112993344
"ENST00000064780","ENSG00000054967","RELT",-2.13406631013473,4.30146145554726e-28,-0.591374741844585,0.081220548298173,0.563951304233491,0.468002590432203
"ENST00000074304","ENSG00000040933","INPP4A",-2.96470173097896,1.67620362593483e-72,0.179731927406952,0.421887364109539,0.842572769916771,0.699220368830681
"ENST00000075120","ENSG00000059804","SLC2A3",-3.01811328639385,8.59923093115903e-21,0.277688568527423,0.445776139263845,0.853115486243822,0.707969384063402
"ENST00000078527","ENSG00000060642","PIGV",-2.48105260403109,1.0991116855823e-09,0.72477798738545,0.134286771274934,0.638086086427441,0.529524338582166
"ENST00000081029","ENSG00000061794","MRPS35",-2.52669596773396,5.49492790091017e-110,0.434315898867992,0.00988324633391337,0.246456130911698,0.204524941832243
"ENST00000083182","ENSG00000062725","APPBP2",-2.62155297129934,3.26300067401454e-31,-0.643190390827388,0.0791812165906009,0.560216272952555,0.464903024385097
"ENST00000085068","ENSG00000063241","ISOC2",-0.952759760900052,9.61615018205928e-09,0.206132663914893,0.416022312111156,0.839421698220394,0.696605409515096
"ENST00000156084","ENSG00000068308","OTUD5",-1.78290871192049,1.05837332550988e-23,0.284468317648177,0.24633501391564,0.751235533851194,0.623422932490486
"ENST00000156109","ENSG00000068394","GPKOW",-1.27240249093945,4.12084571176245e-08,-0.481510350095609,0.189091153048345,0.699437549577607,0.58043767713736
"ENST00000156471","ENSG00000021776","AQR",-2.35901154649969,2.89701691147036e-103,0.0943444519287131,0.543515716277961,0.891156657102507,0.739538362397687
"ENST00000158762","ENSG00000072818","ACAP1",-1.27371452269057,3.77330310440768e-14,0.17134421303331,0.453832321109238,0.857504392723745,0.711611577256944
"ENST00000160262","ENSG00000076662","ICAM3",-1.69076310130585,1.76686278121997e-28,0.329146172802314,0.0769610244006692,0.553106419768818,0.459002816898026
"ENST00000160827","ENSG00000079616","KIF22",-1.53403266291877,5.94275751997043e-53,0.218196115666748,0.114139611476629,0.605660352731185,0.502615406458782
"ENST00000161863","ENSG00000047188","YTHDC2",-2.40670741481265,9.49894354065326e-39,-0.103821698909012,0.715061608955628,0.945448023484682,0.784592784498007
"ENST00000162044","ENSG00000064545","TMEM161A",-0.218027774221295,0.22302279650317,-0.0763392958187356,0.786918022146979,0.957698272999797,0.794758819160001
