KO__Input	KO__Arc_IP	WT_1_Input	WT_1_Arc_IP	WT_2_Input	WT_2_Arc_IP	WT_3_Input	WT_3_Arc_IP
gene.10.3	148	88	88	65	99	48	98	51
gene.1000.118	30946	30971	30531	34753	30280	35765	35569	33848
gene.1000.130	40	66	67	74	74	100	134	84
gene.1000.132	20	31	26	54	35	67	60	51
gene.1000.133	501	471	542	532	436	535	731	518
gene.1000.136	1240	1385	1365	1657	1021	1875	1628	1488
gene.1000.138	294	281	276	365	233	375	296	330
gene.1000.141	8	14	19	30	9	42	23	23
gene.1000.145	55	45	46	33	31	64	22	31
gene.1000.149	158	224	176	254	106	348	250	218
gene.1000.150	112	126	108	143	84	189	152	116
gene.1000.165	26	24	28	52	34	65	47	82
gene.1000.166	188	257	190	306	204	408	209	385
gene.1000.167	278	356	358	525	388	621	490	653
gene.1000.168	317	357	427	425	410	661	496	440
gene.1000.171	905	1115	1368	1489	1161	1771	1560	1303
gene.1000.172	376	392	420	532	401	665	564	538
gene.1000.173	186	168	124	182	128	221	196	225
gene.1000.174	113	154	158	176	102	166	160	150
gene.1000.175	1279	1565	1464	2119	1270	2531	1802	2004
gene.1000.176	128	204	186	220	126	294	222	282
gene.1000.177	36	80	58	78	40	98	82	70
gene.1000.178	16	103	60	102	50	162	114	124
gene.1000.179	196	332	246	333	250	509	374	318
gene.1000.181	891	1049	799	1334	823	1557	1121	1096
gene.1000.182	92	116	102	225	93	297	220	210
gene.1000.185	1018	1556	1038	1836	860	2266	1434	1736
gene.1000.197	110	100	130	93	91	115	138	57
gene.1000.198	327	295	314	361	297	407	509	449
gene.1000.199	816	668	882	860	774	944	1056	814
gene.1000.200	237	194	375	297	285	371	408	365
gene.1000.201	68	88	101	76	68	112	150	79
gene.1000.202	791	771	914	1051	719	1092	1346	910
gene.1000.203	1700	1717	1983	2259	1898	2307	2605	2323
gene.1000.204	1435	1555	1475	1894	1515	1909	2346	1699
gene.1000.205	510	571	614	586	582	776	764	668
gene.1000.210	268	312	364	486	298	456	484	422
gene.1000.211	417	364	429	512	366	482	754	406
gene.1000.225	0	11	24	18	22	14	31	28
gene.1000.227	192	109	154	154	144	166	215	220
gene.1000.228	201	202	213	237	213	231	320	299
gene.1000.229	1051	925	931	1211	653	1034	1272	1351
gene.1000.230	49	93	49	107	62	88	80	120
gene.1000.231	1654	1736	1652	2246	1278	1988	2087	2257
gene.1000.232	587	488	469	582	344	523	641	510
gene.1000.233	124	180	158	219	126	156	198	214
gene.1000.235	3126	3089	3041	3569	2368	3483	3401	4051
gene.1000.236	2458	2733	2398	3198	1876	3181	3340	3270
gene.1000.237	7207	5410	6874	6881	5918	6414	9786	7111
gene.1000.238	1503	1492	1526	1748	1343	1944	1865	1963
gene.1000.241	3809	3903	4532	4695	3590	4646	5569	4576
gene.1000.243	1308	1313	1455	1534	1248	1284	1756	1453
gene.1000.244	3339	2745	3578	3950	2795	3165	4407	3506
gene.10002.0	232	127	162	147	346	136	194	97
gene.10002.1199	2	0	2	0	1	0	1	1
gene.10002.1430	6462	10441	6556	9674	6290	8293	6974	9044
