KO__Input	KO__Arc_IP	WT_1_Input	WT_1_Arc_IP	WT_2_Input	WT_2_Arc_IP	WT_3_Input	WT_3_Arc_IP
ENSMUSG00000000001	5658	3223	4442	3103	4820	2538	4332	2494
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	331	266	211	175	224	141	163	157
ENSMUSG00000000031	24	44	20	28	38	64	14	38
ENSMUSG00000000037	138	248	167	256	218	254	162	249
ENSMUSG00000000049	535	414	394	558	481	314	461	508
ENSMUSG00000000056	10631	7954	10100	7325	11370	6074	8916	5721
ENSMUSG00000000058	4507	2342	3811	2624	3771	2298	3966	1961
ENSMUSG00000000078	10462	5714	8674	5484	9324	5445	8321	4783
ENSMUSG00000000085	10513	10043	8956	10120	10132	10096	9152	8913
ENSMUSG00000000088	10212	3314	8668	2610	10124	2235	7859	2511
ENSMUSG00000000093	221	229	242	184	312	175	171	217
ENSMUSG00000000094	11	0	26	26	36	18	20	12
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	942	546	355	216	614	322	335	168
ENSMUSG00000000125	447	242	412	371	356	200	268	244
ENSMUSG00000000126	2613	2277	2406	2247	2624	2154	2035	1522
ENSMUSG00000000127	4075	3786	3575	3738	3983	3701	3746	3881
ENSMUSG00000000131	23428	24194	21998	23254	21468	20062	19074	19549
ENSMUSG00000000134	6396	4617	6056	4135	5735	3382	5067	3460
ENSMUSG00000000142	5967	7445	5444	5845	5644	5217	5002	5108
ENSMUSG00000000148	4410	4003	3688	3489	4100	3136	3538	3160
ENSMUSG00000000149	20927	23260	16388	21219	18177	18376	16191	18925
ENSMUSG00000000154	46	10	50	12	54	4	22	4
ENSMUSG00000000157	2	18	7	3	3	1	0	3
ENSMUSG00000000159	5112	2631	4532	3751	5728	5270	4439	3751
ENSMUSG00000000167	311	268	337	278	320	257	248	250
ENSMUSG00000000168	17833	9180	15726	8342	16656	6379	14550	7096
ENSMUSG00000000171	7273	2633	5902	2262	6537	1986	5294	1820
ENSMUSG00000000182	77	50	68	79	62	92	42	96
ENSMUSG00000000183	0	2	0	8	0	0	0	2
ENSMUSG00000000184	23279	20511	20233	17940	20515	17872	19042	13912
ENSMUSG00000000194	11143	9453	9573	7755	9475	6925	9088	6510
ENSMUSG00000000197	31097	19666	25858	18004	28056	16549	24279	15827
ENSMUSG00000000202	3112	1655	2448	1088	2851	953	2290	886
ENSMUSG00000000204	6	0	0	4	0	8	2	14
ENSMUSG00000000214	1153	713	425	274	641	218	802	343
ENSMUSG00000000215	2	0	2	0	0	2	0	0
ENSMUSG00000000216	20	12	54	23	20	15	16	10
ENSMUSG00000000223	24991	23011	22690	20685	23852	18604	20991	18238
ENSMUSG00000000244	53	107	38	99	65	71	53	68
ENSMUSG00000000247	9069	6595	7582	5279	8134	4729	7803	4240
ENSMUSG00000000248	4	1	4	5	0	2	5	0
ENSMUSG00000000253	4087	1954	3397	1511	3734	1272	3142	1357
ENSMUSG00000000263	390	326	174	127	157	134	160	141
ENSMUSG00000000266	6608	4415	5488	4278	5483	3619	5212	2849
ENSMUSG00000000275	1048	1115	610	693	892	766	674	752
ENSMUSG00000000276	21574	13541	19140	12726	20290	11241	16925	10239
ENSMUSG00000000278	2245	1284	1738	1133	1925	1018	1690	891
ENSMUSG00000000282	7851	8344	6714	5358	6124	4414	6054	4191
ENSMUSG00000000290	688	443	513	274	631	184	566	243
ENSMUSG00000000295	1115	495	943	467	931	429	713	437
ENSMUSG00000000296	1998	709	1734	760	1896	660	1544	608
ENSMUSG00000000301	126	82	127	89	180	95	161	89
ENSMUSG00000000303	410	300	306	307	429	213	216	152
ENSMUSG00000000305	7618	6173	5807	4191	6862	4080	6107	3980
ENSMUSG00000000308	18630	10911	17032	6628	18717	5074	15221	5709
ENSMUSG00000000317	265	224	197	188	224	201	214	192
ENSMUSG00000000318	106	44	56	44	52	31	54	30
ENSMUSG00000000320	100	132	95	69	91	97	111	80
ENSMUSG00000000325	7071	7865	6031	6297	6343	5562	6078	5451
ENSMUSG00000000326	12056	5575	9418	4427	10225	3438	9291	3677
ENSMUSG00000000339	4754	2103	3904	1992	4086	1766	3342	1605
ENSMUSG00000000340	3094	1622	2367	1467	2714	1321	2457	1559
ENSMUSG00000000346	13035	5538	10522	4344	11522	4326	10130	3586
ENSMUSG00000000355	3127	1863	2743	1959	3085	1729	2662	1676
ENSMUSG00000000359	28	28	34	20	32	18	15	42
ENSMUSG00000000365	137	196	111	186	97	147	144	339
ENSMUSG00000000374	26923	27309	23637	25068	24942	21480	21192	21518
