WT_Input	WT_Arc_IP
AF357341	24.0416305603426	8.48528137423857
AF357399	18.3847763108502	12.0208152801713
AF357425	510.531096016687	1631.29534419737
AF357428	110.308657865101	270.821897194448
DQ267100	571.34227919873	502.752921423635
DQ267101	0	0
DQ267102	91.9238815542512	91.9238815542512
Gm19658	1.41421356237309	0
Gm22002	0	0
Gm22003	15.556349186104	7.07106781186547
Gm22004	0	0
Gm22005	0	0
Gm22006	0	0
Gm22008	0	0
Gm22010	0	0
Gm22011	0	0
Gm22013	0	0
Gm22015	0	0
Gm22018	0	0
Gm22019	0	0
Gm22020	0	0
Gm22021	0	0
Gm22022	0	0
Gm22023	0	0
Gm22027	2.82842712474619	2.12132034355964
Gm22029	0	0
Gm22030	0	0
Gm22031	12.7279220613579	4.24264068711928
Gm22032	0	0
Gm22033	0	0
Gm22034	0	0
Gm22039	0	0
Gm22042	3617.55829255038	6776.20428411068
Gm22043	0	0
Gm22044	7.07106781186547	4.24264068711928
Gm22045	0	0
Gm22046	26.8700576850888	26.8700576850888
Gm22047	60.8111831820431	72.1248916810278
Gm22048	0	0
Gm22050	120.208152801713	98.9949493661166
Gm22051	0	0
Gm22053	0	0
Gm22054	0	0
Gm22055	0	0.707106781186547
Gm22056	1.41421356237309	1.41421356237309
Gm22057	2.82842712474619	12.0208152801713
Gm22059	0	6.36396103067893
Gm22060	0	0.707106781186547
Gm22061	5.65685424949238	4.24264068711928
Gm22062	0	0
Gm22063	50.9116882454314	43.8406204335659
Gm22064	0	0
Gm22065	0	0
Gm22066	0	0
Gm22067	1.41421356237309	0
Gm22068	4115.36146650571	20791.0606872281
Gm22069	0	0
Gm22070	0	0
Gm22071	0	0
Gm22072	0	0
Gm22073	12.7279220613579	10.6066017177982
Gm22074	0	0
Gm22077	1.41421356237309	0.707106781186547
Gm22078	0	0
Gm22079	0	0
Gm22080	0	0
Gm22082	0	0
Gm22083	0	0
Gm22084	0	0
Gm22085	0	0
Gm22087	0	0
Gm22088	0	0
Gm22089	0	0
Gm22090	0	0
Gm22091	0	0
Gm22092	39.5979797464467	47.3761543394987
Gm22095	0	0
Gm22098	0	0
Gm22099	0	0
Gm22100	0	0
Gm22101	0	0
Gm22102	0	0
Gm22103	0	0
Gm22105	0	0
Gm22106	0	0
Gm22107	0	0
Gm22108	0	0
Gm22111	110.308657865101	103.237590053236
Gm22112	0	0
Gm22113	16.9705627484771	4.94974746830583
Gm22114	1.41421356237309	2.82842712474619
Gm22115	0	0
Gm22116	0	0
Gm22117	0	0
Gm22118	0	3.53553390593274
Gm22119	0	0
Gm22120	0	0
Gm22121	0	0
Gm22122	36.7695526217005	10.6066017177982
Gm22123	5.65685424949238	4.94974746830583
Gm22126	5.65685424949238	2.12132034355964
Gm22127	0	0.707106781186547
Gm22128	48.0832611206852	45.254833995939
Gm22129	15.556349186104	9.19238815542512
Gm22130	97.5807358037436	104.651803615609
Gm22131	52.3259018078045	50.9116882454314
Gm22132	0	0
Gm22133	0	0
Gm22137	0	0
Gm22138	0	0
Gm22139	0	0
Gm22140	0	0
Gm22144	0	0
Gm22145	0	0
Gm22148	0	0
Gm22149	0	3.53553390593274
Gm22150	0	0
Gm22151	0	0
Gm22152	0	0
Gm22154	8.48528137423857	11.3137084989848
Gm22155	14.1421356237309	10.6066017177982
Gm22156	0	0
Gm22157	0	0
Gm22158	0	0
Gm22159	0	0
Gm22163	0	0
Gm22165	0	0
Gm22166	0	0
Gm22169	0	1.41421356237309
Gm22170	57.9827560572969	39.5979797464467
Gm22171	0	0.707106781186547
Gm22174	0	0
Gm22175	0	0
Gm22177	0	0
Gm22180	0	0
Gm22183	0	0
Gm22184	0	0
Gm22186	0	0
Gm22187	0	0
Gm22189	0	0
Gm22190	0	0
Gm22191	0	0
Gm22192	18.3847763108502	136.471608769004
Gm22193	79.1959594928933	125.865007051205
Gm22194	0	0
Gm22195	0	0
Gm22196	0	0
Gm22197	0	0
Gm22200	0	0
Gm22201	0	0.707106781186547
Gm22203	0	0
Gm22205	0	0
Gm22206	0	0
Gm22208	0	0
Gm22210	0	0
Gm22211	0	0
Gm22212	0	0
Gm22213	0	0
Gm22214	1.41421356237309	0
Gm22215	0	0
Gm22218	0	0
Gm22220	55.1543289325507	3138.84700168708
Gm22221	0	0
Gm22223	0	0
Gm22226	0	0
Gm22228	0	0
Gm22229	0	0.707106781186547
Gm22231	0	0
Gm22232	0	0
Gm22233	0	0
Gm22234	0	0
Gm22235	0	0
Gm22236	0	0
Gm22238	0	0
Gm22239	0	0
Gm22240	0	0
Gm22242	0	0
Gm22243	0	0
Gm22245	0	0
Gm22246	39.5979797464467	48.0832611206852
Gm22247	0	3.53553390593274
Gm22248	0	0
Gm22249	18.3847763108502	11.3137084989848
Gm22251	2.82842712474619	4.24264068711928
Gm22252	38.1837661840736	47.3761543394987
Gm22253	36.7695526217005	47.3761543394987
Gm22254	0	0
Gm22255	60.8111831820431	75.6604255869606
Gm22256	0	0
Gm22258	57.9827560572969	71.4177848998413
Gm22259	0	0
Gm22260	4.24264068711928	2.82842712474619
Gm22263	0	0
Gm22264	0	0.707106781186547
Gm22265	162.634559672906	234.052344572747
Gm22266	0	0
Gm22267	0	0
Gm22268	0	0
Gm22269	0	0
Gm22270	24.0416305603426	24.7487373415292
Gm22271	0	0
Gm22272	0	0
Gm22273	0	0
Gm22274	117.379725676967	103.237590053236
Gm22276	0	0
Gm22279	0	2.82842712474619
Gm22281	0	0
Gm22283	0	0
Gm22284	0	0
Gm22285	49.4974746830583	37.476659402887
Gm22286	0	4.24264068711928
Gm22287	0	0
Gm22288	49.4974746830583	36.7695526217005
Gm22290	0	2.82842712474619
Gm22293	0	0
Gm22294	0	0
Gm22295	31.1126983722081	35.3553390593274
Gm22296	0	0
Gm22297	0	1.41421356237309
Gm22298	1.41421356237309	0.707106781186547
Gm22299	0	0
Gm22300	0	0
Gm22301	0	0
Gm22302	0	0
Gm22303	0	2.12132034355964
Gm22304	1.41421356237309	0
Gm22305	1.41421356237309	0.707106781186547
Gm22306	16.9705627484771	5.65685424949238
Gm22307	32.5269119345812	14.1421356237309
Gm22308	5.65685424949238	2.12132034355964
Gm22310	0	0
Gm22312	0	0
Gm22313	0	0
Gm22315	0	0
Gm22317	4337.39299579828	21592.2126703124
Gm22319	0	0
Gm22321	0	0
Gm22322	0	0
Gm22323	0	0
Gm22324	0	0
Gm22327	0	0
Gm22328	0	0
Gm22330	0	0
Gm22331	0	0
Gm22332	0	0
Gm22333	1.41421356237309	0
Gm22334	0	0
Gm22335	0	0
Gm22336	0	0
Gm22337	0	0
Gm22338	0	0
Gm22339	0	0
Gm22341	0	0
Gm22345	0	0
Gm22346	0	0
Gm22347	0	0
Gm22348	0	0
Gm22349	0	0
Gm22350	0	0
Gm22351	31.1126983722081	22.6274169979695
Gm22352	12.7279220613579	24.0416305603426
Gm22353	0	0
Gm22354	7.07106781186547	4.24264068711928
Gm22355	0	0
Gm22357	291.327993848858	2127.68430459032
Gm22358	0	0
Gm22359	0	0
Gm22360	53.7401153701776	34.6482322781408
Gm22361	1.41421356237309	3.53553390593274
Gm22362	4.24264068711928	13.4350288425444
Gm22363	41.0121933088198	36.0624458405139
Gm22364	0	0
Gm22365	1.41421356237309	1.41421356237309
Gm22367	0	0
Gm22368	0	0
Gm22369	32.5269119345812	15.556349186104
Gm22370	0	0.707106781186547
Gm22371	0	0
Gm22372	0	0
Gm22373	1.41421356237309	0
Gm22374	0	0
Gm22378	0	0
Gm22379	0	0
Gm22380	0	0
Gm22381	0	0
Gm22382	0	0
Gm22384	0	0
Gm22386	0	0
Gm22391	57.9827560572969	91.9238815542512
Gm22392	1.41421356237309	5.65685424949238
Gm22393	114.551298552221	94.7523086789974
Gm22394	0	0
Gm22395	0	0
Gm22396	0	0
Gm22398	0	0
Gm22401	0	0
Gm22402	43.8406204335659	21.2132034355964
Gm22403	0	0
Gm22406	0	0
Gm22408	0	3.53553390593274
Gm22411	0	0
Gm22413	4.24264068711928	7.07106781186547
Gm22414	0	0
Gm22417	53.7401153701776	47.3761543394987
Gm22418	35.3553390593274	38.1837661840736
Gm22419	0	0
Gm22420	0	0
Gm22421	0	0.707106781186547
Gm22422	2.82842712474619	1.41421356237309
Gm22423	4.24264068711928	9.19238815542512
Gm22424	0	0
Gm22425	0	0
Gm22426	0	1.41421356237309
Gm22427	0	0
Gm22428	0	0
Gm22429	0	0
Gm22430	0	0
Gm22434	0	0
Gm22435	0	0
Gm22438	0	0
Gm22439	0	0
Gm22443	0	0
Gm22444	22.6274169979695	9.19238815542512
Gm22446	0	0
Gm22447	0	0
Gm22448	0	0.707106781186547
Gm22449	53.7401153701776	79.9030662740799
Gm22450	0	14.8492424049175
Gm22451	16.9705627484771	21.2132034355964
Gm22452	0	0
Gm22454	0	0
Gm22455	22.6274169979695	11.3137084989848
Gm22456	2.82842712474619	38.1837661840736
Gm22458	0	0
Gm22459	0	0
Gm22460	0	0
