WT_Input	WT_Arc_IP
Gm22220	55.1543289325507	3138.84700168708
Gm22357	291.327993848858	2127.68430459032
Gm23238	677.408296376712	12541.2458711246
Gm23240	87.6812408671319	2407.69858994019
Gm23330	53.7401153701776	2093.74317909337
Gm23502	166.877200360025	1434.01255224632
Gm23650	1097.42972440152	7122.68660689209
Gm23737	2.82842712474619	55.1543289325507
Gm24924	816.001225489276	15323.7110550937
Gm25632	14.1421356237309	168.291413922398
Gm26117	53.7401153701776	2790.9504653433
Gm26244	787.716954241814	15279.8704346601
Gm26505	14.1421356237309	181.019335983756
Gm49347	31.1126983722081	364.867099092259
Snora74a	46.6690475583121	429.920922961421
Snord107	241.830519165799	2216.77975901983
