s23.METTL3.input	s24.METTL3.input	s23.METTL3.m6A	s24.METTL3.m6A
ENSG00000000457.13_peak	77	47	258	294
ENSG00000000460.16_peak	77	47	258	294
ENSG00000001167.14_peak	32	24	21	86
ENSG00000001167.14_peak_2	69	54	627	709
ENSG00000001167.14_peak_3	85	80	792	800
ENSG00000001460.17_peak	2	9	141	163
ENSG00000001461.16_peak	21	17	26	154
ENSG00000001629.9_peak	156	94	494	858
ENSG00000003400.14_peak	20	6	0	16
ENSG00000003402.19_peak	34	36	145	73
ENSG00000003402.19_peak_2	14	13	63	72
ENSG00000003402.19_peak_3	15	13	129	96
ENSG00000003402.19_peak_4	46	31	147	704
ENSG00000003402.19_peak_5	5	8	84	12
ENSG00000003402.19_peak_6	27	16	130	179
ENSG00000003402.19_peak_7	111	124	182	249
ENSG00000003509.15_peak	27	14	158	200
ENSG00000004455.16_peak	2	0	58	70
ENSG00000004468.12_peak	94	47	77	71
ENSG00000004534.14_peak	365	205	2053	2837
ENSG00000005007.12_peak	28	53	317	61
ENSG00000005007.12_peak_2	35	20	152	86
ENSG00000005007.12_peak_3	235	134	1998	1744
ENSG00000005100.12_peak	11	3	102	190
ENSG00000005156.11_peak	103	55	799	962
ENSG00000005206.16_peak	34	36	101	158
ENSG00000005206.16_peak_2	141	128	801	947
ENSG00000005206.16_peak_3	24	38	149	405
ENSG00000005206.16_peak_4	67	40	75	545
ENSG00000005339.14_peak	1023	539	8397	6831
ENSG00000005339.14_peak_2	339	153	886	920
ENSG00000005339.14_peak_3	316	196	643	603
ENSG00000005379.15_peak	43	28	821	462
ENSG00000005483.20_peak	465	309	8498	6101
ENSG00000005700.14_peak	131	44	426	106
ENSG00000005801.16_peak	6	7	0	152
ENSG00000005801.16_peak_2	31	10	87	86
ENSG00000005810.17_peak	11	4	0	16
ENSG00000005810.17_peak_2	80	41	696	359
ENSG00000005812.10_peak	155	86	2184	1828
ENSG00000005812.10_peak_2	19	16	117	154
ENSG00000005844.17_peak	2410	1298	9247	6704
ENSG00000005844.17_peak_2	1020	636	1333	493
ENSG00000005884.17_peak	65	34	592	1127
ENSG00000005889.15_peak	108	81	262	138
ENSG00000005889.15_peak_2	105	55	1496	1587
ENSG00000005889.15_peak_3	26	19	173	42
ENSG00000006062.14_peak	33	17	0	43
ENSG00000006062.14_peak_2	57	17	249	293
ENSG00000006194.9_peak	116	42	1109	923
ENSG00000006194.9_peak_2	35	24	259	135
ENSG00000006194.9_peak_3	94	64	483	557
ENSG00000006194.9_peak_4	4	1	36	67
ENSG00000006194.9_peak_5	33	14	5	31
ENSG00000006432.15_peak	28	14	82	554
ENSG00000006459.10_peak	197	110	974	769
ENSG00000006555.10_peak	25	21	143	561
ENSG00000006634.7_peak	25	6	30	200
ENSG00000006634.7_peak_2	15	10	67	24
ENSG00000006712.14_peak	121	83	109	498
ENSG00000006744.18_peak	166	92	252	758
ENSG00000006831.9_peak	59	32	528	304
ENSG00000007129.17_peak	186	156	862	571
ENSG00000007129.17_peak_2	40	26	163	48
ENSG00000007202.14_peak	114	80	507	939
ENSG00000007376.7_peak	159	111	1543	1383
ENSG00000007376.7_peak_2	36	17	41	4
ENSG00000007516.13_peak	105	74	777	833
ENSG00000007520.3_peak	291	165	1364	1467
ENSG00000007545.15_peak	59	33	302	309
ENSG00000007545.15_peak_2	47	37	577	515
ENSG00000007944.14_peak	26	12	139	247
ENSG00000007968.6_peak	20	22	205	243
ENSG00000008083.13_peak	158	89	614	451
ENSG00000008083.13_peak_2	163	77	164	239
ENSG00000008083.13_peak_3	233	113	569	393
ENSG00000008300.16_peak	1	5	38	0
ENSG00000008300.16_peak_2	7	0	33	118
ENSG00000008513.14_peak	412	260	2992	2670
ENSG00000008513.14_peak_2	136	63	433	926
ENSG00000008513.14_peak_3	151	81	351	263
ENSG00000008513.14_peak_4	109	65	167	127
ENSG00000008710.19_peak	20	17	29	703
ENSG00000008710.19_peak_2	21	10	185	86
ENSG00000008710.19_peak_3	35	20	247	405
ENSG00000008710.19_peak_4	50	32	1013	696
ENSG00000008853.16_peak	34	23	160	28
ENSG00000008952.16_peak	520	367	10274	11959
ENSG00000009413.15_peak	43	34	257	190
ENSG00000009413.15_peak_2	75	47	749	575
ENSG00000009694.13_peak	12	2	31	69
ENSG00000009954.10_peak	98	43	58	9
ENSG00000009954.10_peak_2	104	48	161	92
ENSG00000009954.10_peak_3	116	70	177	362
ENSG00000010072.15_peak	54	31	411	85
ENSG00000010165.19_peak	71	47	544	369
ENSG00000010292.12_peak	8	3	2	0
ENSG00000010310.8_peak	32	8	93	235
ENSG00000010318.20_peak	42	18	155	123
ENSG00000010322.15_peak	22	14	0	63
ENSG00000010322.15_peak_2	174	130	401	61
ENSG00000010404.17_peak	65	86	107	480
ENSG00000010539.11_peak	38	13	311	321
ENSG00000010810.17_peak	416	216	1023	1272
ENSG00000010818.9_peak	242	155	6421	6730
ENSG00000010818.9_peak_2	156	92	1985	1899
ENSG00000010818.9_peak_3	120	59	684	802
ENSG00000011007.12_peak	69	37	213	338
ENSG00000011007.12_peak_2	107	78	148	106
ENSG00000011114.14_peak	46	31	912	792
ENSG00000011132.11_peak	360	187	1470	978
ENSG00000011376.10_peak	33	23	513	954
ENSG00000011454.16_peak	18	18	78	40
ENSG00000011523.13_peak	243	117	1338	1147
ENSG00000011523.13_peak_2	52	26	127	87
ENSG00000011590.13_peak	51	39	180	264
ENSG00000011590.13_peak_2	9	2	252	157
ENSG00000012211.12_peak	41	27	580	363
ENSG00000012232.8_peak	55	21	403	614
ENSG00000012822.15_peak	23	15	107	20
ENSG00000012822.15_peak_2	113	95	176	294
ENSG00000013288.8_peak	139	66	346	616
ENSG00000013392.7_peak	39	4	247	332
ENSG00000013523.9_peak	8	4	0	145
ENSG00000013619.13_peak	4	2	0	18
ENSG00000013810.18_peak	611	399	2528	3387
ENSG00000014216.15_peak	413	271	1088	573
ENSG00000014824.13_peak	30	18	127	63
ENSG00000015133.18_peak	620	354	3033	3057
ENSG00000015133.18_peak_2	722	481	2043	1397
ENSG00000015133.18_peak_3	350	210	573	1109
ENSG00000015532.9_peak	81	33	903	1058
ENSG00000015676.17_peak	100	77	1751	1318
ENSG00000016864.18_peak	36	9	83	28
ENSG00000017260.19_peak	3	2	3	54
ENSG00000017797.12_peak	54	35	42	70
ENSG00000019995.6_peak	167	95	788	1292
ENSG00000019995.6_peak_2	110	75	64	166
ENSG00000020129.15_peak	8	8	7	115
ENSG00000020256.19_peak	6	4	217	39
ENSG00000020256.19_peak_2	64	41	989	562
ENSG00000020633.18_peak	302	197	1187	874
ENSG00000020633.18_peak_2	266	168	596	385
ENSG00000022567.9_peak	48	44	464	595
ENSG00000022567.9_peak_2	15	20	371	253
ENSG00000022976.15_peak	11	11	17	55
ENSG00000022976.15_peak_2	5	2	0	2
ENSG00000022976.15_peak_3	70	48	754	1195
ENSG00000023041.11_peak	7	11	107	198
ENSG00000023287.12_peak	15	4	179	114
ENSG00000023287.12_peak_2	33	9	81	240
ENSG00000023445.13_peak	209	119	606	586
ENSG00000023445.13_peak_2	40	27	108	173
ENSG00000023892.10_peak	261	124	96	71
ENSG00000023902.13_peak	455	282	3530	3563
ENSG00000024048.10_peak	59	28	264	141
ENSG00000025293.16_peak	31	17	55	40
ENSG00000025293.16_peak_2	32	3	89	59
ENSG00000025293.16_peak_3	93	43	2330	1506
ENSG00000025434.18_peak	13	2	50	28
ENSG00000025708.13_peak	57	74	92	207
ENSG00000025708.13_peak_2	24	28	134	137
ENSG00000025708.13_peak_3	179	174	379	532
ENSG00000025800.13_peak	104	65	827	450
ENSG00000026025.15_peak	793	534	1366	1584
ENSG00000026036.22_peak	3	2	18	150
