s23.METTL14.input	s24.METTL14.input	s23.METTL14.m6A	s24.METTL14.m6A
ENSG00000000457.13_peak	81	67	1116	500
ENSG00000000460.16_peak	82	67	1116	500
ENSG00000001167.14_peak	27	29	329	83
ENSG00000001167.14_peak_2	81	58	1431	455
ENSG00000001167.14_peak_3	64	71	1072	282
ENSG00000001460.17_peak	9	3	340	139
ENSG00000001461.16_peak	14	30	175	125
ENSG00000001629.9_peak	128	103	1040	389
ENSG00000003400.14_peak	17	6	185	46
ENSG00000003402.19_peak	22	55	191	97
ENSG00000003402.19_peak_2	19	32	138	32
ENSG00000003402.19_peak_3	16	9	149	142
ENSG00000003402.19_peak_4	22	41	473	162
ENSG00000003402.19_peak_5	2	6	205	79
ENSG00000003402.19_peak_6	24	17	371	171
ENSG00000003402.19_peak_7	82	113	588	338
ENSG00000003509.15_peak	27	33	213	179
ENSG00000004455.16_peak	4	9	188	65
ENSG00000004468.12_peak	42	51	140	66
ENSG00000004534.14_peak	359	282	3758	1940
ENSG00000005007.12_peak	12	106	670	422
ENSG00000005007.12_peak_2	31	52	369	40
ENSG00000005007.12_peak_3	248	177	2912	1358
ENSG00000005100.12_peak	2	7	226	151
ENSG00000005156.11_peak	78	59	1581	733
ENSG00000005206.16_peak	14	21	268	169
ENSG00000005206.16_peak_2	137	109	1007	490
ENSG00000005206.16_peak_3	69	22	615	370
ENSG00000005206.16_peak_4	63	55	502	356
ENSG00000005339.14_peak	816	622	11090	4802
ENSG00000005339.14_peak_2	286	196	1565	639
ENSG00000005339.14_peak_3	256	227	1550	770
ENSG00000005379.15_peak	17	18	294	312
ENSG00000005483.20_peak	322	313	7268	3534
ENSG00000005700.14_peak	81	58	641	423
ENSG00000005801.16_peak	12	5	79	73
ENSG00000005801.16_peak_2	20	18	44	49
ENSG00000005810.17_peak	17	5	71	76
ENSG00000005810.17_peak_2	66	43	297	258
ENSG00000005812.10_peak	102	57	2260	1315
ENSG00000005812.10_peak_2	24	6	331	80
ENSG00000005844.17_peak	2314	1677	15553	5741
ENSG00000005844.17_peak_2	901	708	1230	765
ENSG00000005884.17_peak	38	37	1097	486
ENSG00000005889.15_peak	144	82	467	129
ENSG00000005889.15_peak_2	86	74	1757	567
ENSG00000005889.15_peak_3	21	21	405	140
ENSG00000006062.14_peak	27	25	48	0
ENSG00000006062.14_peak_2	41	44	517	293
ENSG00000006194.9_peak	101	50	1505	644
ENSG00000006194.9_peak_2	21	43	188	104
ENSG00000006194.9_peak_3	76	67	944	536
ENSG00000006194.9_peak_4	0	0	192	29
ENSG00000006194.9_peak_5	24	21	92	57
ENSG00000006432.15_peak	17	19	565	339
ENSG00000006459.10_peak	129	125	1260	688
ENSG00000006555.10_peak	7	21	586	188
ENSG00000006634.7_peak	13	5	327	113
ENSG00000006634.7_peak_2	4	6	55	17
ENSG00000006712.14_peak	84	80	385	293
ENSG00000006744.18_peak	104	138	846	485
ENSG00000006831.9_peak	56	52	552	354
ENSG00000007129.17_peak	179	158	1622	1159
ENSG00000007129.17_peak_2	27	37	203	186
ENSG00000007202.14_peak	88	120	1182	609
ENSG00000007376.7_peak	166	110	2217	1043
ENSG00000007376.7_peak_2	46	18	84	39
ENSG00000007516.13_peak	63	77	1482	989
ENSG00000007520.3_peak	221	248	2461	1652
ENSG00000007545.15_peak	49	53	212	238
ENSG00000007545.15_peak_2	37	29	1487	630
ENSG00000007944.14_peak	25	14	255	120
ENSG00000007968.6_peak	11	32	164	116
ENSG00000008083.13_peak	161	135	1666	734
ENSG00000008083.13_peak_2	117	76	992	218
ENSG00000008083.13_peak_3	206	135	993	390
ENSG00000008300.16_peak	9	4	215	81
ENSG00000008300.16_peak_2	12	1	174	11
ENSG00000008513.14_peak	352	296	4751	2086
ENSG00000008513.14_peak_2	102	79	1235	554
ENSG00000008513.14_peak_3	119	119	450	326
ENSG00000008513.14_peak_4	68	67	857	340
ENSG00000008710.19_peak	16	15	656	205
ENSG00000008710.19_peak_2	7	22	181	90
ENSG00000008710.19_peak_3	30	12	156	68
ENSG00000008710.19_peak_4	44	45	895	393
ENSG00000008853.16_peak	15	20	295	417
ENSG00000008952.16_peak	489	424	13265	8446
ENSG00000009413.15_peak	39	26	227	54
ENSG00000009413.15_peak_2	53	71	905	408
ENSG00000009694.13_peak	10	9	86	83
ENSG00000009954.10_peak	59	62	129	47
ENSG00000009954.10_peak_2	56	79	431	232
ENSG00000009954.10_peak_3	53	73	362	75
ENSG00000010072.15_peak	17	42	68	130
ENSG00000010165.19_peak	44	41	515	385
ENSG00000010292.12_peak	16	5	25	99
ENSG00000010310.8_peak	12	6	23	319
ENSG00000010318.20_peak	29	39	197	77
ENSG00000010322.15_peak	21	14	245	12
ENSG00000010322.15_peak_2	110	96	546	170
ENSG00000010404.17_peak	74	61	561	269
ENSG00000010539.11_peak	13	12	289	55
ENSG00000010810.17_peak	350	217	2194	735
ENSG00000010818.9_peak	215	174	6184	4075
ENSG00000010818.9_peak_2	142	146	2617	1446
ENSG00000010818.9_peak_3	100	87	1062	577
ENSG00000011007.12_peak	49	63	401	345
ENSG00000011007.12_peak_2	112	115	646	301
ENSG00000011114.14_peak	32	24	867	423
ENSG00000011132.11_peak	261	250	2423	1442
ENSG00000011376.10_peak	27	19	679	463
ENSG00000011454.16_peak	28	42	304	32
ENSG00000011523.13_peak	160	108	2178	881
ENSG00000011523.13_peak_2	40	33	204	100
ENSG00000011590.13_peak	40	50	557	275
ENSG00000011590.13_peak_2	5	8	96	23
ENSG00000012211.12_peak	19	20	656	195
ENSG00000012232.8_peak	40	29	1231	248
ENSG00000012822.15_peak	17	17	97	80
ENSG00000012822.15_peak_2	140	69	187	195
ENSG00000013288.8_peak	96	90	882	260
ENSG00000013392.7_peak	19	5	574	279
ENSG00000013523.9_peak	3	5	90	66
ENSG00000013619.13_peak	3	7	0	7
ENSG00000013810.18_peak	461	393	4736	2746
ENSG00000014216.15_peak	407	236	1769	912
ENSG00000014824.13_peak	25	13	45	70
ENSG00000015133.18_peak	673	503	4331	2294
ENSG00000015133.18_peak_2	675	637	2542	1082
ENSG00000015133.18_peak_3	393	291	1165	807
ENSG00000015532.9_peak	91	93	1520	878
ENSG00000015676.17_peak	94	62	2010	724
ENSG00000016864.18_peak	11	15	83	94
ENSG00000017260.19_peak	4	8	74	35
ENSG00000017797.12_peak	45	48	464	51
ENSG00000019995.6_peak	129	127	1909	1023
ENSG00000019995.6_peak_2	92	81	283	153
ENSG00000020129.15_peak	15	16	217	84
ENSG00000020256.19_peak	0	6	241	95
ENSG00000020256.19_peak_2	88	56	1322	439
ENSG00000020633.18_peak	219	188	1858	917
ENSG00000020633.18_peak_2	271	248	1240	566
ENSG00000022567.9_peak	45	54	1154	270
ENSG00000022567.9_peak_2	29	28	1045	398
ENSG00000022976.15_peak	11	8	29	76
ENSG00000022976.15_peak_2	8	0	84	5
ENSG00000022976.15_peak_3	83	52	2132	917
ENSG00000023041.11_peak	8	17	99	48
ENSG00000023287.12_peak	7	15	317	33
ENSG00000023287.12_peak_2	26	18	91	117
ENSG00000023445.13_peak	167	136	1250	781
ENSG00000023445.13_peak_2	29	28	279	152
ENSG00000023892.10_peak	170	131	381	94
ENSG00000023902.13_peak	309	323	5031	3290
ENSG00000024048.10_peak	50	63	178	276
