s23.Virma.input	s24.Virma.input	s23.Virma.m6A	s24.Virma.m6A
ENSG00000000457.13_peak	210.801591939773	134.112795346606	130.249559216767	235.504003859847
ENSG00000000460.16_peak	210.801591939773	134.112795346606	130.249559216767	235.504003859847
ENSG00000001167.14_peak	56.7542747530157	72.2145821097109	68.5668926955075	44.5839640894978
ENSG00000001167.14_peak_2	135.129225602418	120.357636849518	226.628725656236	319.278710576404
ENSG00000001167.14_peak_3	178.370577795192	151.306743467966	288.036023130526	292.312603264207
ENSG00000001460.17_peak	2.70258451204837	6.8775792485439	27.2615356500211	53.9322146243925
ENSG00000001461.16_peak	59.4568592650641	75.6533717339829	34.6964999182086	53.2131184294006
ENSG00000001629.9_peak	310.797218885562	378.266858669914	422.140749004872	365.300867055885
ENSG00000003400.14_peak	35.1335986566288	17.1939481213597	8.81180950303712	23.3706263372368
ENSG00000003402.19_peak	83.7801198734994	110.041267976702	86.4658807485517	55.0108589168804
ENSG00000003402.19_peak_2	16.2155070722902	34.3878962427195	33.3196546833591	29.4829439946679
ENSG00000003402.19_peak_3	32.4310141445804	20.6327377456317	79.306285527334	96.7184382264106
ENSG00000003402.19_peak_4	62.1594437771125	103.163688728158	54.5230713000422	26.9661073121963
ENSG00000003402.19_peak_5	21.620676096387	10.3163688728158	58.102868910651	14.741471997334
ENSG00000003402.19_peak_6	64.8620282891608	113.480057600974	38.0009284818476	88.8083800814997
ENSG00000003402.19_peak_7	310.797218885562	326.685014305835	172.381023403164	195.234616940301
ENSG00000003509.15_peak	75.6723663373543	24.0715273699036	114.278154492513	56.0895032093682
ENSG00000004455.16_peak	27.0258451204837	20.6327377456317	11.2901309257663	63.9995613542791
ENSG00000004468.12_peak	148.64214816266	134.112795346606	47.0881070318546	16.5392124848137
ENSG00000004534.14_peak	967.525255313316	842.503457946627	1117.17222355692	1028.66710693591
ENSG00000005007.12_peak	86.4827043855478	316.368645433019	121.43774971373	205.301963670188
ENSG00000005007.12_peak_2	48.6465212168706	189.133429334957	127.220499700098	51.0558298444249
ENSG00000005007.12_peak_3	559.434993994012	598.349394623319	697.509795974782	704.714271092062
ENSG00000005100.12_peak	27.0258451204837	24.0715273699036	32.7689165894193	15.1010200948299
ENSG00000005156.11_peak	186.478331331337	223.521325577677	353.573856309364	537.16485765895
ENSG00000005206.16_peak	86.4827043855478	99.7248991038865	65.2624641318686	103.549852078834
ENSG00000005206.16_peak_2	372.956662662675	295.735907687388	299.876892150232	259.953274489572
ENSG00000005206.16_peak_3	113.508549506031	137.551584970878	131.351035404647	142.381046608396
ENSG00000005206.16_peak_4	86.4827043855478	185.694639710685	136.583047297075	233.706263372368
ENSG00000005339.14_peak	2035.04613757242	1808.80334236704	2766.90818395365	2011.67160548984
ENSG00000005339.14_peak_2	643.215113867512	653.37002861167	354.950701544214	170.785346310576
ENSG00000005339.14_peak_3	705.374557644624	835.625878698083	521.824344007979	454.109247137385
ENSG00000005379.15_peak	75.6723663373543	113.480057600974	133.003249686466	161.796643873178
ENSG00000005483.20_peak	837.801198734994	976.616253293233	1973.0192215394	2191.80520233531
ENSG00000005700.14_peak	224.314514500015	192.572218959229	215.889332824409	154.605681923259
ENSG00000005801.16_peak	5.40516902409674	37.8266858669914	21.2034166166831	41.3480312120343
ENSG00000005801.16_peak_2	40.5387676807255	61.8982132368951	13.2177142545557	77.6623890591252
ENSG00000005810.17_peak	5.40516902409674	24.0715273699036	12.116238066676	14.381923899838
ENSG00000005810.17_peak_2	172.965408771096	161.623112340782	165.496797228916	185.52681830791
ENSG00000005812.10_peak	270.258451204837	361.072910548555	532.839105886776	823.365143265726
ENSG00000005812.10_peak_2	45.9439367048223	27.5103169941756	159.989416289518	56.8085994043601
ENSG00000005844.17_peak	5107.88472777142	4614.85567577295	3451.47563472085	3537.23418316516
ENSG00000005844.17_peak_2	2172.87794768689	2173.31504253987	325.486213518433	381.120983345707
ENSG00000005884.17_peak	105.400795969886	75.6533717339829	289.963606459315	277.571131266874
ENSG00000005889.15_peak	197.288669379531	244.154063323308	82.0599759970331	145.976527583356
ENSG00000005889.15_peak_2	218.909345475918	178.817060462141	471.982546506425	293.391247556695
ENSG00000005889.15_peak_3	67.5646128012092	44.7042651155353	44.8851546560953	64.3591094517751
ENSG00000006062.14_peak	75.6723663373543	61.8982132368951	41.5807260924564	3.23593287746355
ENSG00000006062.14_peak_2	91.8878734096445	110.041267976702	100.785071190987	81.6174181315807
ENSG00000006194.9_peak	186.478331331337	182.255850086413	308.688701653269	423.188110752733
ENSG00000006194.9_peak_2	83.7801198734994	65.337002861167	32.4935475424494	111.819458321241
ENSG00000006194.9_peak_3	267.555866692789	199.449798207773	240.672547051701	336.177471158713
ENSG00000006194.9_peak_4	10.8103380481935	10.3163688728158	31.9428094485095	30.9211363846517
ENSG00000006194.9_peak_5	83.7801198734994	34.3878962427195	57.8274998636811	49.9771855519371
ENSG00000006432.15_peak	48.6465212168706	10.3163688728158	145.670225847082	72.9882637916779
ENSG00000006459.10_peak	413.4954303434	302.613486935931	413.604308548805	520.625645174136
ENSG00000006555.10_peak	45.9439367048223	99.7248991038865	197.439606677425	371.053636615821
ENSG00000006634.7_peak	16.2155070722902	48.1430547398073	97.2052735803782	58.2467917943439
ENSG00000006634.7_peak_2	27.0258451204837	13.7551584970878	35.2472380121485	15.8201162898218
ENSG00000006712.14_peak	240.530021572305	185.694639710685	152.55445202133	63.9995613542791
ENSG00000006744.18_peak	294.581711813272	340.440172802923	123.36533304252	119.729516466151
ENSG00000006831.9_peak	137.831810114467	171.939481213597	90.0456783591605	157.12251860573
ENSG00000007129.17_peak	345.930817542191	505.502074767976	356.602915826033	540.041242438917
ENSG00000007129.17_peak_2	78.3749508494027	79.0921613582548	49.5664284545838	44.2244159920019
ENSG00000007202.14_peak	302.689465349417	292.297118063116	222.498189951687	177.257212065503
ENSG00000007376.7_peak	375.659247174723	275.103169941756	640.78377229898	586.782495113391
ENSG00000007376.7_peak_2	29.7284296325321	61.8982132368951	62.5087736621695	14.381923899838
ENSG00000007516.13_peak	181.073162307241	171.939481213597	349.994058698755	418.513985485286
ENSG00000007520.3_peak	532.409148873529	605.226973871863	541.926284436783	573.119667408545
ENSG00000007545.15_peak	148.64214816266	106.60247835243	118.959428291001	103.90940017633
ENSG00000007545.15_peak_2	89.1852888975962	144.429164219422	223.048928045627	313.885489113965
ENSG00000007944.14_peak	27.0258451204837	48.1430547398073	57.8274998636811	71.1905233041981
ENSG00000007968.6_peak	45.9439367048223	55.0206339883512	52.044749877313	64.3591094517751
ENSG00000008083.13_peak	354.038571078336	388.58322754273	215.613963777439	279.368871754353
ENSG00000008083.13_peak_2	343.228233030143	185.694639710685	97.756011674318	159.639355288202
ENSG00000008083.13_peak_3	510.788472777142	416.093544536906	256.093213682016	195.953713135293
ENSG00000008300.16_peak	24.3232606084353	10.3163688728158	41.3053570454865	28.0447516046841
ENSG00000008300.16_peak_2	18.9180915843386	20.6327377456317	77.6540712455146	18.6965010697894
ENSG00000008513.14_peak	897.258058000058	753.094927715557	1135.07121160997	1297.60908386288
ENSG00000008513.14_peak_2	289.176542789175	213.204956704861	243.15086847443	269.661073121963
ENSG00000008513.14_peak_3	291.879127301224	364.511700172826	101.611178331897	75.1455523766536
ENSG00000008513.14_peak_4	162.155070722902	199.449798207773	130.800297310707	119.369968368655
ENSG00000008710.19_peak	29.7284296325321	34.3878962427195	166.598273416795	297.705824726647
ENSG00000008710.19_peak_2	81.0775353614511	24.0715273699036	22.8556308985025	116.134035491192
ENSG00000008710.19_peak_3	24.3232606084353	30.9491066184475	93.0747378758295	89.1679281789957
ENSG00000008710.19_peak_4	64.8620282891608	158.18432271651	243.97697561534	211.054733230123
ENSG00000008853.16_peak	45.9439367048223	85.9697406067987	42.682202280336	99.5948230063782
ENSG00000008952.16_peak	872.934797391623	1021.32051840877	3208.87550434036	4214.26325075003
ENSG00000009413.15_peak	81.0775353614511	75.6533717339829	41.3053570454865	30.5615882871558
ENSG00000009413.15_peak_2	183.775746819289	123.79642647379	192.758332878937	124.763189831095
ENSG00000009694.13_peak	29.7284296325321	37.8266858669914	18.7250951939539	93.842053446443
ENSG00000009954.10_peak	148.64214816266	103.163688728158	33.595023730329	26.6065592147003
