s23.Virma.input	s24.Virma.input	s23.Virma.m6A	s24.Virma.m6A
ENSG00000000457.13_peak	78	39	473	655
ENSG00000000460.16_peak	78	39	473	655
ENSG00000001167.14_peak	21	21	249	124
ENSG00000001167.14_peak_2	50	35	823	888
ENSG00000001167.14_peak_3	66	44	1046	813
ENSG00000001460.17_peak	1	2	99	150
ENSG00000001461.16_peak	22	22	126	148
ENSG00000001629.9_peak	115	110	1533	1016
ENSG00000003400.14_peak	13	5	32	65
ENSG00000003402.19_peak	31	32	314	153
ENSG00000003402.19_peak_2	6	10	121	82
ENSG00000003402.19_peak_3	12	6	288	269
ENSG00000003402.19_peak_4	23	30	198	75
ENSG00000003402.19_peak_5	8	3	211	41
ENSG00000003402.19_peak_6	24	33	138	247
ENSG00000003402.19_peak_7	115	95	626	543
ENSG00000003509.15_peak	28	7	415	156
ENSG00000004455.16_peak	10	6	41	178
ENSG00000004468.12_peak	55	39	171	46
ENSG00000004534.14_peak	358	245	4057	2861
ENSG00000005007.12_peak	32	92	441	571
ENSG00000005007.12_peak_2	18	55	462	142
ENSG00000005007.12_peak_3	207	174	2533	1960
ENSG00000005100.12_peak	10	7	119	42
ENSG00000005156.11_peak	69	65	1284	1494
ENSG00000005206.16_peak	32	29	237	288
ENSG00000005206.16_peak_2	138	86	1089	723
ENSG00000005206.16_peak_3	42	40	477	396
ENSG00000005206.16_peak_4	32	54	496	650
ENSG00000005339.14_peak	753	526	10048	5595
ENSG00000005339.14_peak_2	238	190	1289	475
ENSG00000005339.14_peak_3	261	243	1895	1263
ENSG00000005379.15_peak	28	33	483	450
ENSG00000005483.20_peak	310	284	7165	6096
ENSG00000005700.14_peak	83	56	784	430
ENSG00000005801.16_peak	2	11	77	115
ENSG00000005801.16_peak_2	15	18	48	216
ENSG00000005810.17_peak	2	7	44	40
ENSG00000005810.17_peak_2	64	47	601	516
ENSG00000005812.10_peak	100	105	1935	2290
ENSG00000005812.10_peak_2	17	8	581	158
ENSG00000005844.17_peak	1890	1342	12534	9838
ENSG00000005844.17_peak_2	804	632	1182	1060
ENSG00000005884.17_peak	39	22	1053	772
ENSG00000005889.15_peak	73	71	298	406
ENSG00000005889.15_peak_2	81	52	1714	816
ENSG00000005889.15_peak_3	25	13	163	179
ENSG00000006062.14_peak	28	18	151	9
ENSG00000006062.14_peak_2	34	32	366	227
ENSG00000006194.9_peak	69	53	1121	1177
ENSG00000006194.9_peak_2	31	19	118	311
ENSG00000006194.9_peak_3	99	58	874	935
ENSG00000006194.9_peak_4	4	3	116	86
ENSG00000006194.9_peak_5	31	10	210	139
ENSG00000006432.15_peak	18	3	529	203
ENSG00000006459.10_peak	153	88	1502	1448
ENSG00000006555.10_peak	17	29	717	1032
ENSG00000006634.7_peak	6	14	353	162
ENSG00000006634.7_peak_2	10	4	128	44
ENSG00000006712.14_peak	89	54	554	178
ENSG00000006744.18_peak	109	99	448	333
ENSG00000006831.9_peak	51	50	327	437
ENSG00000007129.17_peak	128	147	1295	1502
ENSG00000007129.17_peak_2	29	23	180	123
ENSG00000007202.14_peak	112	85	808	493
ENSG00000007376.7_peak	139	80	2327	1632
ENSG00000007376.7_peak_2	11	18	227	40
ENSG00000007516.13_peak	67	50	1271	1164
ENSG00000007520.3_peak	197	176	1968	1594
ENSG00000007545.15_peak	55	31	432	289
ENSG00000007545.15_peak_2	33	42	810	873
ENSG00000007944.14_peak	10	14	210	198
ENSG00000007968.6_peak	17	16	189	179
ENSG00000008083.13_peak	131	113	783	777
ENSG00000008083.13_peak_2	127	54	355	444
ENSG00000008083.13_peak_3	189	121	930	545
ENSG00000008300.16_peak	9	3	150	78
ENSG00000008300.16_peak_2	7	6	282	52
ENSG00000008513.14_peak	332	219	4122	3609
ENSG00000008513.14_peak_2	107	62	883	750
ENSG00000008513.14_peak_3	108	106	369	209
ENSG00000008513.14_peak_4	60	58	475	332
ENSG00000008710.19_peak	11	10	605	828
ENSG00000008710.19_peak_2	30	7	83	323
ENSG00000008710.19_peak_3	9	9	338	248
ENSG00000008710.19_peak_4	24	46	886	587
ENSG00000008853.16_peak	17	25	155	277
ENSG00000008952.16_peak	323	297	11653	11721
ENSG00000009413.15_peak	30	22	150	85
ENSG00000009413.15_peak_2	68	36	700	347
ENSG00000009694.13_peak	11	11	68	261
ENSG00000009954.10_peak	55	30	122	74
ENSG00000009954.10_peak_2	65	62	235	256
ENSG00000009954.10_peak_3	87	61	140	305
ENSG00000010072.15_peak	33	19	247	43
ENSG00000010165.19_peak	35	44	666	525
ENSG00000010292.12_peak	4	17	114	18
ENSG00000010310.8_peak	19	18	220	203
ENSG00000010318.20_peak	25	22	433	586
ENSG00000010322.15_peak	10	7	43	5
ENSG00000010322.15_peak_2	99	86	336	246
ENSG00000010404.17_peak	66	72	453	554
ENSG00000010539.11_peak	14	8	307	134
ENSG00000010810.17_peak	337	179	2117	1171
ENSG00000010818.9_peak	183	137	6343	5448
ENSG00000010818.9_peak_2	143	95	2578	2320
ENSG00000010818.9_peak_3	72	61	867	385
ENSG00000011007.12_peak	50	47	226	378
ENSG00000011007.12_peak_2	61	67	511	370
ENSG00000011114.14_peak	33	17	551	450
ENSG00000011132.11_peak	293	201	2785	2435
ENSG00000011376.10_peak	14	16	667	622
ENSG00000011454.16_peak	24	20	80	162
ENSG00000011523.13_peak	173	116	2002	825
ENSG00000011523.13_peak_2	49	30	175	57
ENSG00000011590.13_peak	37	33	541	266
ENSG00000011590.13_peak_2	14	8	114	83
ENSG00000012211.12_peak	20	24	455	374
ENSG00000012232.8_peak	22	14	672	709
ENSG00000012822.15_peak	22	10	115	289
ENSG00000012822.15_peak_2	115	88	407	106
ENSG00000013288.8_peak	78	82	888	459
ENSG00000013392.7_peak	13	9	352	215
ENSG00000013523.9_peak	7	2	51	52
ENSG00000013619.13_peak	2	1	77	0
ENSG00000013810.18_peak	429	331	3858	3432
ENSG00000014216.15_peak	324	208	1280	942
ENSG00000014824.13_peak	13	21	99	76
ENSG00000015133.18_peak	516	412	4678	3681
ENSG00000015133.18_peak_2	598	516	2774	2226
ENSG00000015133.18_peak_3	273	278	1607	860
ENSG00000015532.9_peak	92	68	1551	1228
ENSG00000015676.17_peak	67	52	1160	1067
ENSG00000016864.18_peak	11	8	78	119
ENSG00000017260.19_peak	3	11	200	2
ENSG00000017797.12_peak	37	34	521	204
ENSG00000019995.6_peak	142	86	1719	1154
ENSG00000019995.6_peak_2	75	52	156	639
ENSG00000020129.15_peak	18	8	247	118
ENSG00000020256.19_peak	3	0	142	223
ENSG00000020256.19_peak_2	89	45	815	552
ENSG00000020633.18_peak	199	206	1923	1643
ENSG00000020633.18_peak_2	232	172	724	865
ENSG00000022567.9_peak	61	48	638	879
ENSG00000022567.9_peak_2	19	14	575	633
ENSG00000022976.15_peak	11	8	57	84
ENSG00000022976.15_peak_2	8	4	82	130
ENSG00000022976.15_peak_3	76	47	1343	1711
ENSG00000023041.11_peak	10	8	145	94
ENSG00000023287.12_peak	18	11	45	141
ENSG00000023287.12_peak_2	26	27	71	235
ENSG00000023445.13_peak	173	125	1171	632
ENSG00000023445.13_peak_2	49	35	218	135
ENSG00000023892.10_peak	150	133	205	178
ENSG00000023902.13_peak	371	275	5303	4285
ENSG00000024048.10_peak	45	40	207	184
ENSG00000025293.16_peak	43	19	22	29
ENSG00000025293.16_peak_2	22	11	188	127
ENSG00000025293.16_peak_3	57	45	2204	2058
ENSG00000025434.18_peak	17	11	129	88
ENSG00000025708.13_peak	40	56	99	344
ENSG00000025708.13_peak_2	24	25	155	102
ENSG00000025708.13_peak_3	125	134	1166	899
ENSG00000025800.13_peak	93	76	504	315
ENSG00000026025.15_peak	698	542	1293	1144
ENSG00000026036.22_peak	10	4	20	6
ENSG00000026103.21_peak	2	7	73	55
ENSG00000026508.18_peak	639	442	1336	1384
ENSG00000026950.16_peak	196	154	1696	1730
ENSG00000027075.14_peak	313	210	2134	1795
