s23.WTAP.input	s24.WTAP.input	s23.WTAP.m6A	s24.WTAP.m6A
ENSG00000000457.13_peak	125.939800771056	258.522031996643	226.105550038938	173.47214839554
ENSG00000000460.16_peak	133.348024345824	261.459782360241	226.105550038938	173.47214839554
ENSG00000001167.14_peak	66.6740121729119	82.25701018075	224.692390351195	42.1083845690418
ENSG00000001167.14_peak_2	269.165456549903	141.012017452714	434.193314059148	240.413682838632
ENSG00000001167.14_peak_3	212.369075810016	167.451770725098	258.608222857036	422.163547858855
ENSG00000001460.17_peak	14.816447149536	14.6887518179911	59.3527068852213	10.4371209615574
ENSG00000001461.16_peak	64.2046043146559	73.4437590899553	1.7664496096792	2.87920578249859
ENSG00000001629.9_peak	395.105257320959	373.094296176973	240.237146916372	224.218150312078
ENSG00000003400.14_peak	34.5717100155839	35.2530043631786	2.82631937548673	23.0336462599887
ENSG00000003402.19_peak	121.000985054544	96.9457619987411	0.706579843871682	48.2266968568513
ENSG00000003402.19_peak_2	56.7963807398879	88.1325109079464	15.544756565177	30.5915614390475
ENSG00000003402.19_peak_3	49.3881571651199	52.8795065447678	7.41908836065266	16.5554332493669
ENSG00000003402.19_peak_4	91.3680907554718	105.759013089536	82.6698417329868	95.733592268078
ENSG00000003402.19_peak_5	4.93881571651199	26.4397532723839	26.4967441451881	2.87920578249859
ENSG00000003402.19_peak_6	79.0210514641918	76.3815094535536	42.3947906323009	58.3039170955964
ENSG00000003402.19_peak_7	279.043087982927	337.841291813795	66.4185053239381	156.916715146173
ENSG00000003509.15_peak	32.1023021573279	52.8795065447678	54.4066479781195	60.4633214324703
ENSG00000004455.16_peak	7.40822357476798	17.6265021815893	25.0835844574447	13.6762274668683
ENSG00000004468.12_peak	229.654930817807	235.020029087857	2.11973953161504	8.99751807030809
ENSG00000004534.14_peak	819.84340894099	784.379347080723	1453.78802876599	1125.76946095695
ENSG00000005007.12_peak	79.0210514641918	282.024034905429	152.267956354347	144.680090570554
ENSG00000005007.12_peak_2	37.0411178738399	179.202772179491	25.7901643013164	73.7796481765263
ENSG00000005007.12_peak_3	607.474333130975	699.184586536375	569.15006423864	782.784072116803
ENSG00000005100.12_peak	19.755262866048	23.5020029087857	41.6882107884292	26.9925542109243
ENSG00000005156.11_peak	165.450326503152	229.144528360661	648.99358659614	594.555994085958
ENSG00000005206.16_peak	54.3269728816319	82.25701018075	61.4724464168363	126.325153707126
ENSG00000005206.16_peak_2	229.654930817807	367.218795449777	152.621246276283	249.051300186128
ENSG00000005206.16_peak_3	96.3069064719838	126.323265634723	259.314802700907	195.426092487092
ENSG00000005206.16_peak_4	113.592761479776	138.074267089116	199.255515971814	226.737455371764
ENSG00000005339.14_peak	1982.93451017956	1950.66624142921	4517.87152171553	3383.78659588147
ENSG00000005339.14_peak_2	785.271698925406	549.359317992866	520.396055011494	314.553231737971
ENSG00000005339.14_peak_3	716.128278894238	822.5701018075	504.144718602445	552.447609516916
ENSG00000005379.15_peak	29.6328942990719	79.3192598171518	197.489066362135	154.397410086487
ENSG00000005483.20_peak	1219.88748197846	1022.33712653218	2994.13208840625	2902.59932948139
ENSG00000005700.14_peak	313.614797998511	158.638519634304	122.944892833673	240.773583561444
ENSG00000005801.16_peak	14.816447149536	5.87550072719643	19.7842356284071	46.0672925199774
ENSG00000005801.16_peak_2	81.4904593224478	52.8795065447678	35.3289921935841	25.552951319675
ENSG00000005810.17_peak	24.6940785825599	17.6265021815893	5.65263875097345	79.8979604643358
ENSG00000005810.17_peak_2	197.55262866048	146.887518179911	110.579745565918	176.351354178038
ENSG00000005812.10_peak	380.288810171423	258.522031996643	806.560891779525	633.065371426877
ENSG00000005812.10_peak_2	37.0411178738399	26.4397532723839	45.2211100077876	50.7460019165376
ENSG00000005844.17_peak	5412.94202529714	5390.77191720272	2521.4301728561	2528.30257775657
ENSG00000005844.17_peak_2	2071.83319307678	2209.18827342586	254.368743793805	295.478493428918
ENSG00000005884.17_peak	140.756247920592	152.763018907107	586.10798049156	360.260623535136
ENSG00000005889.15_peak	311.145390140255	311.401538541411	114.465934707212	131.363763826498
ENSG00000005889.15_peak_2	281.512495841183	190.953773633884	673.723881131648	543.450091446608
ENSG00000005889.15_peak_3	32.1023021573279	85.1947605443482	157.920595105321	175.991453455226
ENSG00000006062.14_peak	69.1434200311678	58.7550072719643	4.23947906323009	3.95890795093556
ENSG00000006062.14_peak_2	128.409208629312	105.759013089536	254.01545387187	105.091011061198
ENSG00000006194.9_peak	207.430260093504	232.082278724259	491.77957133469	569.003042766283
ENSG00000006194.9_peak_2	74.0822357476798	76.3815094535536	79.8435223575	93.9340886540164
