s23.WTAP.input	s24.WTAP.input	s23.WTAP.m6A	s24.WTAP.m6A
ENSG00000000457.13_peak	51	88	640	482
ENSG00000000460.16_peak	54	89	640	482
ENSG00000001167.14_peak	27	28	636	117
ENSG00000001167.14_peak_2	109	48	1229	668
ENSG00000001167.14_peak_3	86	57	732	1173
ENSG00000001460.17_peak	6	5	168	29
ENSG00000001461.16_peak	26	25	5	8
ENSG00000001629.9_peak	160	127	680	623
ENSG00000003400.14_peak	14	12	8	64
ENSG00000003402.19_peak	49	33	2	134
ENSG00000003402.19_peak_2	23	30	44	85
ENSG00000003402.19_peak_3	20	18	21	46
ENSG00000003402.19_peak_4	37	36	234	266
ENSG00000003402.19_peak_5	2	9	75	8
ENSG00000003402.19_peak_6	32	26	120	162
ENSG00000003402.19_peak_7	113	115	188	436
ENSG00000003509.15_peak	13	18	154	168
ENSG00000004455.16_peak	3	6	71	38
ENSG00000004468.12_peak	93	80	6	25
ENSG00000004534.14_peak	332	267	4115	3128
ENSG00000005007.12_peak	32	96	431	402
ENSG00000005007.12_peak_2	15	61	73	205
ENSG00000005007.12_peak_3	246	238	1611	2175
ENSG00000005100.12_peak	8	8	118	75
ENSG00000005156.11_peak	67	78	1837	1652
ENSG00000005206.16_peak	22	28	174	351
ENSG00000005206.16_peak_2	93	125	432	692
ENSG00000005206.16_peak_3	39	43	734	543
ENSG00000005206.16_peak_4	46	47	564	630
ENSG00000005339.14_peak	803	664	12788	9402
ENSG00000005339.14_peak_2	318	187	1473	874
ENSG00000005339.14_peak_3	290	280	1427	1535
ENSG00000005379.15_peak	12	27	559	429
ENSG00000005483.20_peak	494	348	8475	8065
ENSG00000005700.14_peak	127	54	348	669
ENSG00000005801.16_peak	6	2	56	128
ENSG00000005801.16_peak_2	33	18	100	71
ENSG00000005810.17_peak	10	6	16	222
ENSG00000005810.17_peak_2	80	50	313	490
ENSG00000005812.10_peak	154	88	2283	1759
ENSG00000005812.10_peak_2	15	9	128	141
ENSG00000005844.17_peak	2192	1835	7137	7025
ENSG00000005844.17_peak_2	839	752	720	821
ENSG00000005884.17_peak	57	52	1659	1001
ENSG00000005889.15_peak	126	106	324	365
ENSG00000005889.15_peak_2	114	65	1907	1510
ENSG00000005889.15_peak_3	13	29	447	489
ENSG00000006062.14_peak	28	20	12	11
ENSG00000006062.14_peak_2	52	36	719	292
ENSG00000006194.9_peak	84	79	1392	1581
ENSG00000006194.9_peak_2	30	26	226	261
ENSG00000006194.9_peak_3	95	96	788	587
ENSG00000006194.9_peak_4	2	1	279	88
ENSG00000006194.9_peak_5	27	18	195	118
ENSG00000006432.15_peak	11	15	176	479
ENSG00000006459.10_peak	146	145	610	1037
ENSG00000006555.10_peak	16	26	328	441
ENSG00000006634.7_peak	11	12	360	363
ENSG00000006634.7_peak_2	10	7	56	46
ENSG00000006712.14_peak	96	74	513	305
ENSG00000006744.18_peak	124	107	409	614
ENSG00000006831.9_peak	54	46	81	365
ENSG00000007129.17_peak	181	138	883	1273
ENSG00000007129.17_peak_2	30	61	100	146
ENSG00000007202.14_peak	83	96	641	945
