AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
ENSMUSG00000000001	5758	6253	6048	5512	6831	5481
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1074	1029	1084	1206	1372	1173
ENSMUSG00000000031	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0
ENSMUSG00000000049	51	54	34	15	22	37
ENSMUSG00000000056	931	864	893	674	782	637
ENSMUSG00000000058	8138	9554	8159	6359	7500	5764
ENSMUSG00000000078	4880	5038	4785	5657	6949	5539
ENSMUSG00000000085	322	365	333	201	231	272
ENSMUSG00000000088	1811	1647	1877	1508	1580	1562
ENSMUSG00000000093	5	0	0	1	0	0
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	908	1026	1071	906	1066	792
ENSMUSG00000000131	2272	2033	2128	2090	2308	2022
ENSMUSG00000000134	657	695	693	773	893	847
ENSMUSG00000000142	0	0	0	0	0	0
ENSMUSG00000000148	315	263	316	243	266	253
ENSMUSG00000000149	734	712	658	619	746	639
ENSMUSG00000000154	340	330	308	108	184	168
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	9	3	1	1	2	0
ENSMUSG00000000167	15	15	13	8	17	7
ENSMUSG00000000168	1521	1525	1512	1288	1457	1351
ENSMUSG00000000171	2376	2042	2286	1671	1950	1891
ENSMUSG00000000182	0	0	0	1	0	0
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	15694	15767	14664	9377	10745	9072
ENSMUSG00000000194	902	824	910	777	865	730
ENSMUSG00000000197	19	24	40	10	2	10
ENSMUSG00000000202	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	0	0	3
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	3	13	22	26	23	12
ENSMUSG00000000244	2	7	1	1	8	0
ENSMUSG00000000247	0	0	0	0	0	0
ENSMUSG00000000248	0	7	3	0	0	0
ENSMUSG00000000253	2	1	5	2	4	2
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	440	438	386	437	456	437
ENSMUSG00000000275	3595	3308	3302	2979	3246	2998
ENSMUSG00000000276	605	598	562	422	506	448
ENSMUSG00000000278	5100	4972	5043	4398	5070	4458
ENSMUSG00000000282	781	771	770	853	815	909
