AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
ENSMUSG00000000028	1003.03782018235	989.78268698698	1047.61574918972	1311.53280243776	1319.17501679208	1266.97269335328
ENSMUSG00000000078	4557.56476954363	4845.99142569524	4624.39239840665	6152.02409899702	6681.44839044328	5982.74658864775
ENSMUSG00000000134	613.590174916018	668.51211608936	669.739588734756	840.642501064999	858.617558305634	914.855815234636
ENSMUSG00000000303	10030.3782018235	10009.4058705408	9355.09266804104	10815.2518409979	11463.9385752274	10897.2612985859
ENSMUSG00000000420	3697.41781201296	3994.72060161023	3957.55211525083	4570.78969207786	4754.60674784027	4392.82007149854
ENSMUSG00000000555	1093.6287592491	928.22185903055	995.42824876883	1422.45846234543	1245.13968421702	1357.7021956906
ENSMUSG00000000568	4307.27227810148	4361.19990553835	4666.91554689775	5520.18284011117	5697.83611480312	5378.96335285536
ENSMUSG00000000827	2010.74527639907	2045.93564161449	2039.17825718663	2265.2759763498	2517.20130755224	2457.25735496906
ENSMUSG00000001034	384.778009231963	393.412166159062	449.392364735443	592.691025977263	504.786358466358	567.059389608245
ENSMUSG00000001036	1617.56192230524	1643.86648402405	1649.70487441591	2519.75249025563	2463.35742931583	2731.60608822715
ENSMUSG00000001052	2739.20849776055	2805.82711170167	2753.37386479844	3234.24424083739	3217.17172462559	3157.1706587141
ENSMUSG00000001053	320.337031957678	290.490156919405	312.158567332361	616.61616831029	528.823804107613	637.266742607361
ENSMUSG00000001082	657.484753639082	682.940435141648	715.16204280479	877.617721034222	783.620727904918	868.410950942913
ENSMUSG00000001175	20625.7823638056	22437.959902182	23112.2976401035	28387.1813781367	28054.5835568217	27694.1004753436
ENSMUSG00000001228	3952.37993948948	3976.44473081067	4062.89355128559	6011.73576440791	5898.78916036401	5682.47514043615
ENSMUSG00000001229	1653.98508337331	1532.28748335302	1701.8923748368	1994.48686539872	1885.49723610005	1993.8888251749
ENSMUSG00000001288	1549.38523620346	1465.9172157125	1361.70718690804	1686.72253447841	1633.5848057797	1924.76158529884
ENSMUSG00000001313	265.23532675213	205.844018479314	230.011575929108	365.402173813505	307.679304208066	380.19981931829
ENSMUSG00000001473	3049.27233044262	2847.1882929849	3038.47224672738	3731.23469748255	3621.00081139867	3822.52034252111
ENSMUSG00000001517	4952.61597805121	4847.91520156888	5132.73730991384	5784.44691224415	5524.76650618608	5675.99446169777
ENSMUSG00000001729	8972.23867643559	8534.83166339696	9322.23387147974	10320.4363972922	9764.97191730349	10298.8786284088
ENSMUSG00000001750	949.803969390548	933.993186651465	939.375007576022	1171.24446784865	1094.18452558993	1395.50615499782
ENSMUSG00000001910	4152.24036176045	4122.65169720719	4325.763923776	4890.51659416468	4627.68903485444	4672.56937037194
ENSMUSG00000001911	1585.80839727154	1463.99343983886	1366.53936287294	2114.11257706385	1894.1507165309	1988.48825955958
ENSMUSG00000002055	2566.43196448892	2483.59465286723	2630.63659529005	3087.43086743018	2889.30096607887	2936.82758160918
ENSMUSG00000002068	267.103181165877	234.70065658389	252.239585367635	316.464382677768	349.023710711025	351.03676499558
ENSMUSG00000002221	1701.61537092387	1742.94094151643	1871.01853360821	2195.67556229008	2042.22138168104	2153.74556738827
ENSMUSG00000002227	1011.44316504421	950.345281577392	900.717599856844	1533.3841222531	1378.78788198239	1594.24696964147
