AD_C1	AD_C2	AD_C3	KO_C1	KO_C2	KO_C3
ENSMUSG00000000001	5758	6253	6048	5851	5221	5172
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1074	1029	1084	1137	972	930
ENSMUSG00000000031	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0
ENSMUSG00000000049	51	54	34	45	47	30
ENSMUSG00000000056	931	864	893	1035	1052	997
ENSMUSG00000000058	8138	9554	8159	7780	6528	6380
ENSMUSG00000000078	4880	5038	4785	4970	4266	4094
ENSMUSG00000000085	322	365	333	330	330	320
ENSMUSG00000000088	1811	1647	1877	1835	1788	1672
ENSMUSG00000000093	5	0	0	2	3	1
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	908	1026	1071	879	801	859
ENSMUSG00000000131	2272	2033	2128	2055	2086	2194
ENSMUSG00000000134	657	695	693	770	675	634
ENSMUSG00000000142	0	0	0	0	0	0
ENSMUSG00000000148	315	263	316	298	268	234
ENSMUSG00000000149	734	712	658	708	703	695
ENSMUSG00000000154	340	330	308	295	300	310
ENSMUSG00000000157	0	0	0	0	0	1
ENSMUSG00000000159	9	3	1	8	4	5
ENSMUSG00000000167	15	15	13	14	16	8
ENSMUSG00000000168	1521	1525	1512	1564	1394	1352
ENSMUSG00000000171	2376	2042	2286	2198	2127	1939
ENSMUSG00000000182	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	15694	15767	14664	13743	12874	11971
ENSMUSG00000000194	902	824	910	851	923	817
ENSMUSG00000000197	19	24	40	13	22	8
ENSMUSG00000000202	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	2	0	6
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	3	13	22	20	6	20
ENSMUSG00000000244	2	7	1	11	6	4
ENSMUSG00000000247	0	0	0	0	0	0
ENSMUSG00000000248	0	7	3	0	0	0
ENSMUSG00000000253	2	1	5	2	0	2
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	440	438	386	287	260	293
ENSMUSG00000000275	3595	3308	3302	3346	3019	3171
ENSMUSG00000000276	605	598	562	560	424	514
ENSMUSG00000000278	5100	4972	5043	5577	5068	4938
ENSMUSG00000000282	781	771	770	802	742	782
ENSMUSG00000000290	35	38	19	40	35	25
ENSMUSG00000000295	622	499	453	601	558	533
ENSMUSG00000000296	1298	1289	1102	1109	989	891
ENSMUSG00000000301	58	43	32	60	60	64
ENSMUSG00000000303	10740	10406	9680	14536	13517	13063
ENSMUSG00000000305	0	3	0	0	0	0
ENSMUSG00000000308	5	6	4	15	9	13
