AD_C1	AD_C2	AD_C3	KO_C1	KO_C2	KO_C3
ENSMUSG00000000303	10354.5519213609	10375.0234466988	9659.72999516907	13913.5647834395	13934.0381292907	13522.4284318893
ENSMUSG00000000544	149.437201844594	130.610039546179	158.667052606599	367.557022347328	318.533534212534	296.058679592768
ENSMUSG00000000628	3737.85826807413	3603.24185435032	3363.94109645816	4199.14754436908	4179.07750063952	4344.60936451345
ENSMUSG00000000958	277.663962137051	287.142682361066	371.221028739969	451.78883996859	495.840226395562	401.646040846133
ENSMUSG00000001082	678.734129668348	707.886473876239	738.450433514991	764.786616811236	914.366488176431	977.200676697808
ENSMUSG00000001089	3276.04910882535	3473.62883800678	3180.32639407064	4698.79537162248	4277.0085224848	4736.93887348429
ENSMUSG00000001248	87.7340991474711	90.7291114404757	68.8555133953167	130.176445414679	114.424667629745	166.662403546978
ENSMUSG00000001281	45.3132160431994	38.883904903061	58.876453482952	152.19157956569	126.794901968096	123.185254795592
ENSMUSG00000001288	1599.46011522697	1519.46336082731	1406.04954165219	1817.68433707702	2033.87269579718	1749.43765213908
ENSMUSG00000001418	1108.72762658892	1061.82971081436	1084.72381247405	1223.2757149997	1364.84918866471	1280.50554774914
ENSMUSG00000001424	7602.01507448143	7443.77523092958	7180.93151293767	8306.40583315132	8151.98442897319	8159.21158234335
ENSMUSG00000001435	9989.15386007635	9843.61007969029	9595.86401172994	15198.1000021637	15753.4934298898	14504.8049596289
ENSMUSG00000001436	752.006564121181	777.67809806122	714.500689725316	882.519725531865	988.587894206536	923.371825862759
ENSMUSG00000001552	2306.15346330496	2101.72491117058	2287.200531914	2516.42555143522	2757.5314045907	2492.6898617461
ENSMUSG00000001622	810.817333879376	929.225624862894	946.014879692178	1509.47245896285	1639.05604983148	1633.49858880206
ENSMUSG00000001687	1667.91199478159	1668.01981802105	1607.62655188196	1948.81796223739	1902.95438238297	1853.98984318408
ENSMUSG00000001751	245.848299808848	276.175427131997	239.497437896754	270.881868032015	445.328436180629	388.188828137371
ENSMUSG00000001918	2868.23016443656	2431.73959124528	2133.52300926358	3756.93050185745	3860.54396642698	3568.23170823871
ENSMUSG00000001930	0.96411097964254	3.98809281057036	2.99371797370942	17.229235422531	35.048997291994	27.9495956258907
ENSMUSG00000002014	1177.17950614354	1144.58263663369	1185.51231758893	1363.02395787134	1400.92903881823	1390.23358983597
ENSMUSG00000002083	219.817303358499	231.309383013081	199.581198247295	325.441113536696	347.397414335352	354.028211261282
ENSMUSG00000002108	73.272434452833	97.7082738589738	79.832479298918	236.423397186953	238.127011013253	229.807786257323
ENSMUSG00000002250	1021.95763842109	968.109529765955	1090.71124842147	1226.14725423679	1390.62051020294	1374.70603671048
ENSMUSG00000002504	26.9951074299911	26.9196264713499	41.9120516319319	78.4887391470856	80.4065231992803	73.4970847940089
ENSMUSG00000002799	1564.75211995984	1503.51098958503	1542.76266245159	2185.24135942435	2239.0124152415	2256.67105423858
ENSMUSG00000002804	173.539976335657	153.541573206959	170.641924501437	215.365442781637	289.669654089715	268.109083966877
ENSMUSG00000002820	1663.09143988338	1550.37108010923	1619.6014237768	1965.09001791423	1974.08322982848	1811.54786464106
ENSMUSG00000002845	748.150120202611	788.645353290289	822.274536778855	1147.6585150897	1123.62961906687	1042.41639982489
ENSMUSG00000002900	443.491050635568	428.719977136314	402.156114468299	700.655573849593	603.048923994602	760.850103149247
ENSMUSG00000002980	1453.87935730095	1449.67173664233	1337.19402825688	1837.78511173664	1838.01065210663	1816.7237156829
