AD_T1	AD_T2	AD_T3	KO_T1	KO_T2	KO_T3
ENSMUSG00000000001	5512	6831	5481	6061	6396	6433
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1206	1372	1173	1304	1344	1236
ENSMUSG00000000031	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0
ENSMUSG00000000049	15	22	37	22	24	22
ENSMUSG00000000056	674	782	637	787	802	747
ENSMUSG00000000058	6359	7500	5764	4823	5374	5373
ENSMUSG00000000078	5657	6949	5539	5465	5635	5641
ENSMUSG00000000085	201	231	272	221	205	223
ENSMUSG00000000088	1508	1580	1562	1611	1646	1658
ENSMUSG00000000093	1	0	0	2	1	3
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	906	1066	792	857	936	857
ENSMUSG00000000131	2090	2308	2022	2275	2429	2360
ENSMUSG00000000134	773	893	847	1078	963	932
ENSMUSG00000000142	0	0	0	0	0	0
ENSMUSG00000000148	243	266	253	277	290	244
ENSMUSG00000000149	619	746	639	751	798	723
ENSMUSG00000000154	108	184	168	136	173	147
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	1	2	0	2	7	4
ENSMUSG00000000167	8	17	7	12	21	13
ENSMUSG00000000168	1288	1457	1351	1250	1324	1233
ENSMUSG00000000171	1671	1950	1891	1755	1832	1784
ENSMUSG00000000182	1	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	9377	10745	9072	8427	8717	8320
ENSMUSG00000000194	777	865	730	868	960	719
ENSMUSG00000000197	10	2	10	11	13	7
ENSMUSG00000000202	0	0	0	0	0	0
ENSMUSG00000000204	0	0	3	0	0	3
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	26	23	12	17	18	17
ENSMUSG00000000244	1	8	0	4	13	5
ENSMUSG00000000247	0	0	0	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0
ENSMUSG00000000253	2	4	2	4	1	1
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	437	456	437	308	361	322
ENSMUSG00000000275	2979	3246	2998	3057	3099	2890
ENSMUSG00000000276	422	506	448	460	421	514
ENSMUSG00000000278	4398	5070	4458	4650	4810	4386
ENSMUSG00000000282	853	815	909	916	815	778
ENSMUSG00000000290	34	21	29	38	26	28
ENSMUSG00000000295	422	458	439	410	472	438
ENSMUSG00000000296	1071	1152	1125	920	961	969
ENSMUSG00000000301	42	78	41	70	63	53
ENSMUSG00000000303	9945	11923	10089	13974	15212	13802
ENSMUSG00000000305	0	0	0	0	0	0
ENSMUSG00000000308	0	4	2	0	0	2
ENSMUSG00000000317	0	0	5	0	0	1
ENSMUSG00000000318	0	4	0	0	0	1
ENSMUSG00000000320	0	0	0	0	0	0
ENSMUSG00000000325	107	106	98	107	103	88
ENSMUSG00000000326	1312	1396	1415	1425	1420	1292
ENSMUSG00000000339	846	1005	797	891	901	887
ENSMUSG00000000340	857	1084	841	994	1158	1131
ENSMUSG00000000346	5453	6604	5846	6621	6807	6236
ENSMUSG00000000355	395	459	350	417	416	415
ENSMUSG00000000359	0	0	0	0	0	0
ENSMUSG00000000365	0	0	0	0	0	0
ENSMUSG00000000374	1153	1289	1144	1290	1452	1312
ENSMUSG00000000378	1063	1065	1054	1209	1182	1105
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	2034	2051	2067	2346	2360	2110
ENSMUSG00000000385	2100	2580	2259	2804	2832	2710
ENSMUSG00000000386	30	23	27	52	59	37
ENSMUSG00000000392	0	0	0	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0
ENSMUSG00000000399	2228	2533	2246	2268	2327	2129
ENSMUSG00000000402	0	0	0	0	0	0
ENSMUSG00000000409	50	70	48	51	29	49
ENSMUSG00000000411	0	0	0	0	0	0
ENSMUSG00000000416	0	0	0	0	0	0
ENSMUSG00000000420	4203	4945	4067	4445	4487	4642
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	2044	2356	2086	2198	2284	2151
ENSMUSG00000000440	3121	3765	3051	2365	2554	2481
ENSMUSG00000000441	2575	3002	2593	2828	2811	2765
ENSMUSG00000000486	12	15	5	14	12	9
ENSMUSG00000000489	168	174	135	61	67	38
ENSMUSG00000000530	7	9	0	3	0	2
ENSMUSG00000000531	1105	1225	1189	1280	1165	1219
ENSMUSG00000000532	1043	1205	1038	1153	1323	1202
ENSMUSG00000000538	561	588	614	615	615	591
ENSMUSG00000000544	97	102	74	182	235	173
ENSMUSG00000000552	584	631	717	585	481	456
ENSMUSG00000000555	1308	1295	1257	1187	1299	1146
ENSMUSG00000000560	0	0	0	0	0	0
ENSMUSG00000000561	3094	3632	2983	3086	3332	3285
ENSMUSG00000000562	0	0	0	0	0	0
ENSMUSG00000000563	4405	4946	4487	4924	4923	4794
ENSMUSG00000000567	0	0	2	0	0	0
ENSMUSG00000000568	5076	5926	4980	5333	5497	5363
ENSMUSG00000000579	1	10	1	2	2	1
ENSMUSG00000000581	774	895	680	776	706	819
ENSMUSG00000000594	58	63	81	24	24	11
ENSMUSG00000000600	876	1069	845	1066	1103	1082
