AD_T1	AD_T2	AD_T3	KO_T1	KO_T2	KO_T3
ENSMUSG00000000303	10568.3239705028	11204.1137351217	10638.9495094906	13817.4270234736	14423.2301739735	13757.2802376559
ENSMUSG00000000385	2231.62195455563	2424.44128462753	2382.13766894037	2772.5823224431	2685.15565689541	2701.21934821384
ENSMUSG00000000544	103.079680758046	95.8500042759722	78.0337262069885	179.960764152869	222.814823224019	172.439463926566
ENSMUSG00000000628	2502.60462046596	2569.15599696576	2308.32198198781	2807.19016170327	2907.97048011943	2835.78193567099
ENSMUSG00000000958	279.484082880063	237.745598841382	219.338041230454	435.069979270672	336.592605295858	353.849767016942
ENSMUSG00000001036	2462.22288985972	2407.52657799059	2666.85531861451	2970.34140392977	2969.60011207501	2940.44172591543
ENSMUSG00000001089	3196.53278062064	3222.25161433636	2992.69885101937	3813.78388647041	4141.51126741496	3971.09146984647
ENSMUSG00000001281	22.3162195455563	39.4676488195179	32.6898042218466	121.621835114302	108.088892968247	101.669510523178
ENSMUSG00000001288	1648.21221500752	1596.56036534193	1879.13648784937	2112.06699027763	1976.88896349821	2024.41937129974
ENSMUSG00000001424	6547.15374381774	6161.65174546617	6370.29378400565	7140.09163707619	7241.95582887258	6861.69520040741
ENSMUSG00000001435	9839.32746534791	9255.16364817696	10101.1495045506	15100.8834623221	15293.6302068231	13895.8298647414
ENSMUSG00000001507	8917.9864012528	8169.80330564021	9284.95890881803	11643.0659225276	11761.7782216764	10827.8028707184
ENSMUSG00000001622	866.081853791829	876.745627347863	827.790203682243	1814.43957264019	1607.11117176473	1759.28123601381
ENSMUSG00000001750	1144.50325955068	1069.38534182408	1362.42667918148	1664.14267071032	1473.42227783032	1516.07181868386
ENSMUSG00000001911	2065.84432364579	1851.22067082025	1941.35256685224	2532.3050384368	2340.02971794416	2177.9203969916
ENSMUSG00000001918	1713.03551940175	1771.34566725694	1911.82629207122	2364.20981917313	2386.48897895683	2154.99491912853
ENSMUSG00000001930	0	0.939705924274237	0	7.91036325946676	12.3259263911159	12.9578787921697
ENSMUSG00000002014	997.853816822734	966.017690153915	1053.45530379435	1216.21835114302	1206.0444899615	1154.24797241019
ENSMUSG00000002028	1649.27489212874	1475.33830111055	1606.01844612491	1867.83452464159	1969.30377802675	1899.8243829135
ENSMUSG00000002108	62.6979501518011	39.4676488195179	64.3250986300852	227.422943709669	233.244453247271	171.442704019476
ENSMUSG00000002320	1348.53726682433	1275.18093924014	1361.37216936787	1513.84576878045	1531.25931705017	1565.90981403835
ENSMUSG00000002748	4638.58563411207	4580.12667491263	4409.96004050846	4922.22353820319	5301.09649636378	5060.55004829582
ENSMUSG00000002799	1495.18670955227	1341.90005986361	1505.84001383216	2210.94653102096	2159.88156299708	2094.19256479604
ENSMUSG00000002804	154.08818257646	122.161770155651	119.159608937699	239.28848859887	213.333341384699	198.355221510906
ENSMUSG00000002871	660.985169396954	656.854441067691	801.427458342044	902.770206986644	909.274108390783	854.223240376111
ENSMUSG00000002900	524.962497881182	565.702966413091	641.141966673636	797.95789379871	833.422253676224	755.544009574203
ENSMUSG00000002980	1550.44591985556	1571.18830538652	1729.39609431704	1970.66924701466	2081.18526373073	1890.85354374969
ENSMUSG00000002981	2519.60745440543	2735.4839455623	2663.69178917369	3127.55987371167	2887.11122007293	3072.01403365131
ENSMUSG00000002992	222.099518334346	237.745598841382	284.717649674147	521.095179717373	453.214831919494	518.315151686788
ENSMUSG00000003355	876.708625003999	826.001507437054	906.87843970284	1562.29674374469	1516.08894610726	1272.8624013539
ENSMUSG00000003458	1863.93567061456	1916.06037959517	2015.1682538048	2331.57957072783	2357.09638525494	2269.62230844388
ENSMUSG00000003526	494.14486136589	611.748556702528	571.544318975511	772.249213205443	861.866699194184	799.401445486162
