AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
ENSMUSG00000000001	5054.80096332182	5725.89614738914	5560.67004658096	4912.14392153923	5253.68320665194	5599.6833952726
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	942.837136958604	942.259257262662	996.654485862064	546.117106600826	598.976282675845	518.154777086747
ENSMUSG00000000031	0	0	0	32.9804291730517	24.3091023813249	22.2264783736943
ENSMUSG00000000037	0	0	0	2.91003786821044	2.91709228575899	0
ENSMUSG00000000049	44.7715958890957	49.4480076697607	31.2603805528692	22.3102903229467	35.9774715243608	18.0590136786266
ENSMUSG00000000056	817.301093583296	791.168122716171	821.044700991534	1034.03345583744	1180.45001163714	1021.02885029158
ENSMUSG00000000058	7144.14210481296	8748.6345421647	7501.57190973116	4083.75314172199	4471.90247406853	4599.49186845636
ENSMUSG00000000078	4284.02721448602	4613.31597481952	4399.43885133762	7556.39833111978	7394.82894439903	8380.77150178109
ENSMUSG00000000085	282.675566201742	334.231903693753	306.16784482663	592.677712492193	603.83810315211	505.652383001544
ENSMUSG00000000088	1589.8305912775	1508.1642339277	1725.75689110987	1431.73863115954	1404.09375354533	1710.0496798761
ENSMUSG00000000093	4.38937214598977	0	0	55.2907194959984	31.1156510480959	54.1770410358798
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	7.76010098189451	13.6130973335419	20.8373234753384
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	8.73011360463133	5.83418457151797	15.2807038819148
ENSMUSG00000000127	797.109981711743	939.512145725453	984.701987415379	808.990527362503	995.700833539068	1089.09744031102
ENSMUSG00000000131	1994.53070313775	1861.62591838192	1956.53205342663	1460.83900984164	1556.75491650005	1665.59672312871
ENSMUSG00000000134	576.763499983056	636.414172786735	637.160109504068	700.34911361598	601.893374961604	716.80392755164
ENSMUSG00000000142	0	0	0	8.73011360463133	2.91709228575899	6.94577449177946
ENSMUSG00000000148	276.530445197356	240.830111428649	290.537654550196	279.363635348202	227.533198289201	169.476897599419
ENSMUSG00000000149	644.359831031299	651.981138164252	604.980305993762	707.139201975137	666.069405248302	615.39561997166
ENSMUSG00000000154	298.477305927305	302.182269092982	283.182270890697	901.1417265225	846.929126965359	787.65082736779
ENSMUSG00000000157	0	0	0	7.76010098189451	2.91709228575899	0
ENSMUSG00000000159	7.90086986278159	2.74711153720893	0.919422957437328	51.4106690050511	65.1483943819507	44.4529567473885
ENSMUSG00000000167	13.1681164379693	13.7355576860446	11.9524984466853	1.94002524547363	6.80654866677097	8.33492939013535
ENSMUSG00000000168	1335.24700681009	1396.44836474787	1390.16751164524	917.631941109026	969.447002967237	872.3892761675
ENSMUSG00000000171	2085.82964377434	1869.86725299354	2101.80088070173	1983.67581349678	1730.80808955033	1696.15813089254
ENSMUSG00000000182	0	0	0	0.970012622736814	0.972364095252996	0
ENSMUSG00000000183	0	0	0	0.970012622736814	0	0
ENSMUSG00000000184	13777.3612918327	14437.9025357244	13482.418247861	14841.1931278733	14573.7930596519	16182.2654109478
ENSMUSG00000000194	791.842735136555	754.539968886719	836.674891267969	1080.59406172881	1050.15322287324	1116.88053827814
ENSMUSG00000000197	16.6796141547611	21.9768922976714	36.7769182974931	6.7900883591577	4.86182047626498	11.1132391868471
ENSMUSG00000000202	0	0	0	0.970012622736814	0.972364095252996	4.16746469506767
ENSMUSG00000000204	0	0	0	551.937182337247	745.803261059048	795.985756757926
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	2.63362328759386	11.904149994572	20.2273050636212	2.91003786821044	4.86182047626498	8.33492939013535
ENSMUSG00000000244	1.75574885839591	6.40992692015416	0.919422957437328	32.9804291730517	54.4523893341678	48.6204214424562
ENSMUSG00000000247	0	0	0	1.94002524547363	0	0
ENSMUSG00000000248	0	6.40992692015416	2.75826887231198	11.6401514728418	17.5025537145539	4.16746469506767
ENSMUSG00000000253	1.75574885839591	0.915703845736309	4.59711478718664	16.4902145865258	22.3643741908189	15.2807038819148
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	386.2647488471	401.078284432503	354.897261570809	700.34911361598	618.423564580905	600.114916089745
ENSMUSG00000000275	3155.95857296665	3029.14832169571	3035.93460545806	5898.64675886257	5710.69433142084	5530.2256503548
ENSMUSG00000000276	531.114029664763	547.590899750313	516.715702079778	497.616475463986	471.596586197703	457.031961559088
ENSMUSG00000000278	4477.15958890957	4552.87952100093	4636.64997435645	2637.4643212214	3027.94179261783	2872.77232979998
ENSMUSG00000000282	685.619929203603	706.007665062694	707.955677226743	737.209593279979	782.753096678662	530.65717117195
ENSMUSG00000000290	30.7256050219284	34.7967461379797	17.4690361913092	363.754733526305	537.717344674907	665.405196312472
ENSMUSG00000000295	546.037894961128	456.936219022418	416.49859971911	300.703913048412	308.2394181952	415.357314608412
ENSMUSG00000000296	1139.48100909895	1180.3422571541	1013.20409909594	226.012941097678	233.367382860719	393.130836234717
ENSMUSG00000000301	50.9167168934814	39.3752653666613	29.4215346379945	34.9204544185253	51.5352970484088	25.004788170406
ENSMUSG00000000303	9428.37136958604	9528.81421873203	8900.01422799334	26794.658677859	25567.3415205823	24488.0225482177
ENSMUSG00000000305	0	2.74711153720893	0	0.970012622736814	0	0
ENSMUSG00000000308	4.38937214598977	5.49422307441785	3.67769182974931	1061.19380927407	893.602603537503	591.77998669961
ENSMUSG00000000317	0	0.915703845736309	0.919422957437328	104.761363255576	107.932414573083	81.9601390029976
ENSMUSG00000000318	0	0	2.75826887231198	35.8904670412621	70.0102148582157	61.1228155276592
ENSMUSG00000000320	0	0	0	5.82007573642088	6.80654866677097	0
