AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
4933401J01Rik	5758	6253	6048	5064	5403	4031
Gm26206	0	0	0	0	0	0
Xkr4	1074	1029	1084	563	616	373
Gm18956	0	0	0	34	25	16
Gm37180	0	0	0	3	3	0
Gm37363	51	54	34	23	37	13
Gm37686	931	864	893	1066	1214	735
Gm1992	8138	9554	8159	4210	4599	3311
Gm37329	4880	5038	4785	7790	7605	6033
Gm7341	322	365	333	611	621	364
Gm38148	1811	1647	1877	1476	1444	1231
Gm19938	5	0	0	57	32	39
Gm10568	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0
Gm27396	0	0	0	8	14	15
Gm37381	0	0	0	0	0	0
Rp1	0	0	0	9	6	11
Gm6101	908	1026	1071	834	1024	784
Gm37483	2272	2033	2128	1506	1601	1199
Sox17	657	695	693	722	619	516
Gm37587	0	0	0	9	3	5
Gm7357	315	263	316	288	234	122
Gm22307	734	712	658	729	685	443
Gm38076	340	330	308	929	871	567
Gm37323	0	0	0	8	3	0
Gm7369	9	3	1	53	67	32
Gm6085	15	15	13	2	7	6
Gm6119	1521	1525	1512	946	997	628
Gm25493	2376	2042	2286	2045	1780	1221
Gm2053	0	0	0	1	1	0
Gm6123	0	0	0	1	0	0
Mrpl15	15694	15767	14664	15300	14988	11649
Gm37144	902	824	910	1114	1080	804
Lypla1	19	24	40	7	5	8
Gm37988	0	0	0	1	1	3
Tcea1	0	0	0	569	767	573
Gm6104	0	0	0	0	0	0
Gm37277	0	0	0	0	0	0
Rgs20	0	0	0	0	0	0
Gm17100	3	13	22	3	5	6
Gm37079	2	7	1	34	56	35
Gm16041	0	0	0	2	0	0
Gm17101	0	7	3	12	18	3
Atp6v1h	2	1	5	17	23	11
Gm7182	0	0	0	0	0	0
Gm37567	440	438	386	722	636	432
Gm38264	3595	3308	3302	6081	5873	3981
Oprk1	605	598	562	513	485	329
Gm36965	5100	4972	5043	2719	3114	2068
Gm22463	781	771	770	760	805	382
Gm37429	35	38	19	375	553	479
Npbwr1	622	499	453	310	317	299
Gm19214	1298	1289	1102	233	240	283
Rb1cc1	58	43	32	36	53	18
4732440D04Rik	10740	10406	9680	27623	26294	17628
Fam150a	0	3	0	1	0	0
Gm2147	5	6	4	1094	919	426
Gm7417	0	1	1	108	111	59
Gm19026	0	0	3	37	72	44
St18	0	0	0	6	7	0
Gm42492	121	117	129	178	120	107
Gm7449	1605	1428	1463	1108	1266	909
Gm37108	990	960	934	491	572	459
Gm37275	1298	1388	1256	809	1010	587
Gm37225	5976	5991	6388	5952	5959	4102
Gm37489	468	575	502	376	422	283
Gm5694	0	0	0	11	8	5
Pcmtd1	0	0	0	3	0	2
Gm26983	1339	1388	1294	1235	1206	815
Gm38372	1222	1097	1187	829	880	624
Gm9826	0	0	0	0	0	0
Nras-ps2	2298	1949	2172	1382	1411	1082
Gm23274	4604	4348	4269	7208	6652	4670
Gm19002	32	23	26	1127	1171	961
Gm26901	3	0	0	132	120	68
Gm18984	0	0	0	1	0	0
Gm30414	2817	2748	2992	1793	1770	1313
Gm37791	0	0	0	57	46	18
Gm7470	51	59	66	56	75	62
Rps2-ps2	0	0	0	0	1	0
Gm38216	3	1	1	19	18	9
Sntg1	3959	4153	4095	4288	4158	2802
Gm38024	0	0	0	0	0	0
Gm16284	2543	2319	2320	2532	2615	1898
Gm38259	4284	4458	4342	3096	3350	2430
Gm23358	3335	3076	2872	3438	3518	2606
Gm37005	20	16	8	33	57	65
Gm15452	154	170	136	462	402	327
Gm36964	1	0	6	108	129	105
Gm24276	1375	1248	1256	985	1187	742
