ATG7_T1	ATG7_T2	ATG7_T3	pMXS_T1	pMXS_T2	pMXS_T3
ENSMUSG00000000001	4823.07414738221	5092.21635488025	5396.1809860438	4311.37948222794	4815.67613580235	4638.81764437745
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	536.214602088504	580.56732826323	499.324115056894	572.473113661089	402.085580270876	444.437618622989
ENSMUSG00000000031	32.3824093623608	23.5619857249688	21.4187287960062	967.57341013866	183.276217983934	207.404222024062
ENSMUSG00000000037	2.85727141432595	2.82743828699625	0	4.69240257099253	2.80524823444797	9.25911705464561
ENSMUSG00000000049	21.9057475098323	34.8717388729538	17.402717146755	15.9541687413746	23.3770686203998	18.5182341092912
ENSMUSG00000000056	1015.28377589049	1144.17002680448	983.922854066533	756.415294443996	712.533051549785	697.211514214815
ENSMUSG00000000058	4009.70421810409	4334.46289396525	4432.33819022353	3896.5710949522	4436.96762415188	4624.00305709002
ENSMUSG00000000078	7419.38143919973	7167.5560575355	8076.19942664407	6159.2476146848	7014.99075160956	8113.76427498595
ENSMUSG00000000085	581.930944717719	585.279725408224	487.27608010914	646.613074282771	767.702933493928	619.434930955792
ENSMUSG00000000088	1405.77753584837	1360.9402954742	1647.90344674272	1502.50730323181	1481.17106778853	1377.75661773127
ENSMUSG00000000093	54.2881568721931	30.15934172796	52.208151440265	96.6634929624462	102.859101929759	65.7397310879839
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	7.61939043820255	13.1947120059825	20.0800582462558	30.9698569685507	46.7541372407995	31.4809979857951
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	8.57181424297786	5.6548765739925	14.7253760472542	31.9083374827492	6.54557921371194	22.2218809311495
ENSMUSG00000000127	794.321453182615	965.09893529472	1049.5177110043	703.86038564888	763.027519769848	841.653740267286
ENSMUSG00000000131	1434.35024999163	1508.909565827	1605.06598915071	1648.91026344678	1602.73182461461	1599.0495153373
ENSMUSG00000000134	687.64998704778	583.394766550226	690.754003671199	822.108930437892	769.57309898356	903.689824533412
ENSMUSG00000000142	8.57181424297786	2.82743828699625	6.69335274875193	8.44632462778656	8.41574470334392	10.1850287601102
ENSMUSG00000000148	274.298055775292	220.540186385708	163.317807069547	278.728712716956	270.238913251821	227.774279544282
ENSMUSG00000000149	694.316953681207	645.598408864144	593.031053539421	723.568476447048	740.585533894265	734.247982433397
ENSMUSG00000000154	884.801714636271	820.899582657911	759.026201708468	888.741046945986	1045.42250870428	862.949709492971
ENSMUSG00000000157	7.61939043820255	2.82743828699625	0	2.81544154259552	0	4.62955852732281
ENSMUSG00000000159	50.4784616530919	63.1461217429163	42.8374575920123	53.4933893093149	49.5593854752475	66.6656427934484
ENSMUSG00000000167	1.90484760955064	6.59735600299125	8.03202329850231	2.81544154259552	9.35082744815991	9.25911705464561
ENSMUSG00000000168	900.992919317451	939.651990711754	840.685105243242	786.446670898348	770.508181728376	743.507099488043
ENSMUSG00000000171	1947.70668076553	1677.61338361778	1634.51674124522	1596.35535465166	1658.83678930357	1591.64222169358
ENSMUSG00000000182	0.952423804775318	0.94247942899875	0	0	0	0
ENSMUSG00000000183	0.952423804775318	0	0	0	0	0
ENSMUSG00000000184	14572.0842130624	14125.8816818333	15594.1732340422	14148.5322320567	16550.964583243	14974.7700124784
ENSMUSG00000000194	1061.0001185197	1017.87778331865	1076.29112199931	1148.70014937897	1059.44874987652	1180.53742446732
ENSMUSG00000000197	6.66696663342723	4.71239714499375	10.7093643980031	3.75392205679403	1.87016548963198	1.85182341092912
ENSMUSG00000000202	0.952423804775318	0.94247942899875	4.01601164925116	7.50784411358805	1.87016548963198	0.925911705464561
ENSMUSG00000000204	541.929144917156	722.881722042041	767.058225006971	518.979724351774	709.727803315337	1646.27101231599
ENSMUSG00000000214	0	0	0	2.81544154259552	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	2.85727141432595	4.71239714499375	8.03202329850231	16.8926492555731	10.2859101929759	9.25911705464561
ENSMUSG00000000244	32.3824093623608	52.77884802393	46.8534692412635	65.6936359938955	45.8190544959835	75.924759848094
ENSMUSG00000000247	1.90484760955064	0	0	0.938480514198506	0	0
ENSMUSG00000000248	11.4290856573038	16.9646297219775	4.01601164925116	7.50784411358805	2.80524823444797	6.48138193825193
