ATG7_T1	ATG7_T2	ATG7_T3	pMXS_T1	pMXS_T2	pMXS_T3
4933401J01Rik	5064	5403	4031	4594	5150	5010
Gm26206	0	0	0	0	0	0
Xkr4	563	616	373	610	430	480
Gm18956	34	25	16	1031	196	224
Gm37180	3	3	0	5	3	10
Gm37363	23	37	13	17	25	20
Gm37686	1066	1214	735	806	762	753
Gm1992	4210	4599	3311	4152	4745	4994
Gm37329	7790	7605	6033	6563	7502	8763
Gm7341	611	621	364	689	821	669
Gm38148	1476	1444	1231	1601	1584	1488
Gm19938	57	32	39	103	110	71
Gm10568	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0
Gm27396	8	14	15	33	50	34
Gm37381	0	0	0	0	0	0
Rp1	9	6	11	34	7	24
Gm6101	834	1024	784	750	816	909
Gm37483	1506	1601	1199	1757	1714	1727
Sox17	722	619	516	876	823	976
Gm37587	9	3	5	9	9	11
Gm7357	288	234	122	297	289	246
Gm22307	729	685	443	771	792	793
Gm38076	929	871	567	947	1118	932
Gm37323	8	3	0	3	0	5
Gm7369	53	67	32	57	53	72
Gm6085	2	7	6	3	10	10
Gm6119	946	997	628	838	824	803
Gm25493	2045	1780	1221	1701	1774	1719
Gm2053	1	1	0	0	0	0
Gm6123	1	0	0	0	0	0
Mrpl15	15300	14988	11649	15076	17700	16173
Gm37144	1114	1080	804	1224	1133	1275
Lypla1	7	5	8	4	2	2
Gm37988	1	1	3	8	2	1
Tcea1	569	767	573	553	759	1778
Gm6104	0	0	0	3	0	0
Gm37277	0	0	0	0	0	0
Rgs20	0	0	0	0	0	0
Gm17100	3	5	6	18	11	10
Gm37079	34	56	35	70	49	82
Gm16041	2	0	0	1	0	0
Gm17101	12	18	3	8	3	7
Atp6v1h	17	23	11	25	33	7
Gm7182	0	0	0	0	0	0
Gm37567	722	636	432	511	477	569
Gm38264	6081	5873	3981	4417	5359	5823
Oprk1	513	485	329	550	442	467
Gm36965	2719	3114	2068	2420	2552	2680
Gm22463	760	805	382	716	814	630
Gm37429	375	553	479	1014	526	1009
Npbwr1	310	317	299	330	305	317
Gm19214	233	240	283	215	229	289
Rb1cc1	36	53	18	46	41	47
4732440D04Rik	27623	26294	17628	29178	31860	31506
Fam150a	1	0	0	3	3	1
Gm2147	1094	919	426	2056	1694	1794
Gm7417	108	111	59	238	119	131
Gm19026	37	72	44	236	90	116
St18	6	7	0	18	7	7
Gm42492	178	120	107	186	143	161
Gm7449	1108	1266	909	1324	1216	1169
Gm37108	491	572	459	547	546	583
Gm37275	809	1010	587	949	995	884
Gm37225	5952	5959	4102	6420	6197	6551
Gm37489	376	422	283	314	374	389
Gm5694	11	8	5	43	19	18
Pcmtd1	3	0	2	4	0	1
Gm26983	1235	1206	815	1296	1257	1459
Gm38372	829	880	624	793	877	917
Gm9826	0	0	0	0	0	0
Nras-ps2	1382	1411	1082	1314	1368	1368
Gm23274	7208	6652	4670	6907	6988	6626
Gm19002	1127	1171	961	1250	1351	1960
Gm26901	132	120	68	349	202	204
Gm18984	1	0	0	0	0	0
Gm30414	1793	1770	1313	1616	1772	1588
Gm37791	57	46	18	25	44	43
Gm7470	56	75	62	37	49	128
Rps2-ps2	0	1	0	1	3	0
Gm38216	19	18	9	19	31	22
Sntg1	4288	4158	2802	4245	4392	4773
Gm38024	0	0	0	0	0	0
Gm16284	2532	2615	1898	2607	2580	2564
Gm38259	3096	3350	2430	2464	2979	3261
Gm23358	3438	3518	2606	3669	3611	3584
Gm37005	33	57	65	93	56	126
Gm15452	462	402	327	479	346	301
Gm36964	108	129	105	285	163	176
Gm24276	985	1187	742	879	954	891
Gm6152	1575	1481	971	1510	1693	1544
Gm7445	962	946	569	940	957	895
Gm7493	4797	4533	2944	5456	6440	7192
Gm37629	366	438	316	342	362	337
Gm38008	1457	1484	1010	1972	1268	1554
Gm37143	2	0	0	0	0	0
Gm6187	2014	1981	1384	1769	1812	1723
Gm18299	4	1	13	9	6	9
Gm7512	3089	3308	2227	3214	3268	3163
Gm24765	29	34	13	58	52	27
Gm18300	2606	2814	2130	2617	2736	2417
Rrs1	15	20	9	9	4	8
Adhfe1	773	829	569	781	742	801
2610203C22Rik	372	522	529	698	517	1015
