Genes	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	-0.153106804999633	4846.224125119	0.0844570365460173	-1.8128365765736	0.0698570307175229	0.282632729376308
ENSMUSG00000000028	-0.189088234781097	505.85039299393	0.16087515618445	-1.17537250167017	0.239845719895016	0.567814962683448
ENSMUSG00000000031	4.13152823569123	239.269495671665	0.809677323226566	5.10268488096849	3.34868339103023e-07	2.04465946685285e-05
ENSMUSG00000000037	1.50014864144056	3.74024626023472	1.34168349949167	1.1181091829846	0.263520364917482	NA
ENSMUSG00000000049	-0.369629740854047	22.0049458334344	0.534746543355326	-0.691224179841845	0.489424670793469	0.789454213030417
ENSMUSG00000000056	-0.538461625544033	884.92275282835	0.111595220630049	-4.82513160065425	1.39910853749554e-06	6.60672527238331e-05
ENSMUSG00000000058	0.0205926681911893	4289.00784641449	0.0935299622202209	0.220171886124607	0.825737291029243	0.94184933737325
ENSMUSG00000000078	-0.0900911215380965	7325.18992744327	0.108962342221467	-0.826809700501717	0.408344930960127	0.731824712845324
ENSMUSG00000000085	0.295020788327295	614.706281494596	0.139982429851802	2.10755584568457	0.0350694262907451	0.180814187083337
ENSMUSG00000000088	-0.0156884656748255	1462.67604446948	0.107436392140952	-0.146025619086715	0.883901164095395	0.963115995836458
ENSMUSG00000000093	0.963067681035196	66.9863293367679	0.354715894781866	2.71503954348434	0.00662678572896688	0.0581072547691472
ENSMUSG00000000120	1.44363562944551	25.016525480931	0.541722214304841	2.66490018560165	0.00770111767874005	0.0647678761790705
ENSMUSG00000000126	1.09018473355031	14.9379774153059	0.760099385725981	1.43426603681446	0.151496358454853	0.442490415118966
ENSMUSG00000000127	-0.281220859259523	852.913290861275	0.13625076319121	-2.06399474522477	0.0390182146171106	0.19432166700108
ENSMUSG00000000131	0.0940363760400148	1566.50290139467	0.0905051694104853	1.03901662913324	0.298797002502601	0.631239980859516
ENSMUSG00000000134	0.348538139413884	742.861768537345	0.12585126207632	2.76944492779516	0.00561518962830563	0.051259494326961
ENSMUSG00000000142	0.586577552595357	7.52328389499445	0.872671374392476	0.672163164517357	0.501479828324234	0.796537697990596
ENSMUSG00000000148	0.232754104412385	239.149659123934	0.215821007522955	1.07845898359838	0.280828976651103	0.612233569597573
ENSMUSG00000000149	0.183361459393962	688.558068143247	0.115188659653896	1.59183603615931	0.111421550773691	0.373073258175822
ENSMUSG00000000154	0.180955915915226	876.973460690981	0.123040759636181	1.47069894927741	0.141372550501927	0.425429848368998
ENSMUSG00000000157	-0.513216572642045	2.98197146585285	1.68610064685917	-0.304380745952534	0.760837834836577	NA
ENSMUSG00000000159	0.110203178735453	54.3634097610052	0.342367508977281	0.321885622454805	0.747539345625485	0.914616364667587
ENSMUSG00000000167	0.393723354940899	6.32660215940754	1.01412449567478	0.388239665465257	0.697838682003788	0.893278527900564
ENSMUSG00000000168	-0.222578164327618	830.298661231202	0.106179534317707	-2.09624355350464	0.0360605911879617	0.184045926060053
ENSMUSG00000000171	-0.118928826956094	1684.44519521289	0.100813338963026	-1.179693363789	0.238122194241966	0.565584426572802
ENSMUSG00000000182	-1.91656239733539	0.315817205629011	4.0494108563786	-0.473294132235666	0.636003347848275	NA
ENSMUSG00000000183	-1.14995527586682	0.158737300795886	4.0804728567969	-0.281819121514636	0.778082208119823	NA
ENSMUSG00000000184	0.0444664914910783	14994.400992786	0.085992650113566	0.517096419663236	0.605088852824307	0.852027828984145
ENSMUSG00000000194	0.103614240613889	1090.64255792674	0.0992955890979284	1.04349288377454	0.296720074951146	0.628793525276456
ENSMUSG00000000197	-1.54828415834491	4.92743985562987	1.09364989076009	-1.41570366478878	0.15686228494391	NA
ENSMUSG00000000202	0.855326088904243	2.7024726986183	1.53773209435728	0.556225685893446	0.578056582031739	NA
ENSMUSG00000000204	0.500950241547054	817.807938658211	0.519058213558215	0.965113793524182	0.334487818873872	0.669429353007634
ENSMUSG00000000214	2.26195680944095	0.469240257099253	3.99411347372705	0.56632262060653	0.571174485842647	NA
ENSMUSG00000000223	1.25630449985839	8.67322806016944	0.849132097870448	1.47951597049399	0.139002466188689	0.42193637248365
ENSMUSG00000000244	0.508176381792804	53.2420294942546	0.372303361782203	1.36495243921565	0.17226799891114	0.477237040693002
ENSMUSG00000000247	-0.959906356996888	0.473888020624857	4.0491052174866	-0.237066291300953	0.812605362658673	NA
ENSMUSG00000000248	-0.967415830268467	8.20070021913674	0.906517627718988	-1.06717817799386	0.285891384635669	0.617952307257019
ENSMUSG00000000253	0.203357399029738	18.899122161258	0.659950550284333	0.308140358307337	0.757975532809291	0.918413245392078
ENSMUSG00000000266	-0.362479555506612	552.969058970859	0.134637784453809	-2.69225728109757	0.00709701729812493	0.0610906861554471
ENSMUSG00000000275	-0.195380664704667	5200.67983725141	0.106316173809383	-1.83773228196653	0.0661018645005525	0.27360549335458
ENSMUSG00000000276	-0.0267539606738147	457.998361375301	0.143086811663865	-0.186977125024382	0.851678568227219	0.951197993553066
ENSMUSG00000000278	-0.216156369707578	2571.9648906243	0.0888459497278798	-2.43293442604451	0.0149770129898004	0.103418322090714
ENSMUSG00000000282	0.01306013624394	668.390659811151	0.169538016748189	0.0770336735939172	0.938596756894319	0.979949968781915
ENSMUSG00000000290	0.648083579338452	649.548486723621	0.248199609454265	2.611138594309	0.00902413137039901	0.0722841162004714
ENSMUSG00000000295	-0.157049506802161	313.782111722495	0.172814846309526	-0.908773234221278	0.363469837811234	0.694245299240914
ENSMUSG00000000296	-0.268545207814301	251.741552841085	0.23818586440272	-1.12746072688953	0.259547736193159	0.589106919199859
ENSMUSG00000000301	0.193554227167317	38.8935138252956	0.415643183439097	0.465674008089869	0.641448859813522	0.86850598410903
ENSMUSG00000000303	0.209161384411422	26839.1560336483	0.0762255899808194	2.74397855712306	0.00606995026879544	0.0543394205319824
ENSMUSG00000000305	2.51786529469438	1.24983754788056	2.28836937924933	1.10028796816025	0.271206672783237	NA
ENSMUSG00000000308	1.05918803453886	1275.49926639693	0.181467497240906	5.83679199108994	5.32154634409408e-09	5.31166802453318e-07
ENSMUSG00000000317	0.665686483534113	123.731032066346	0.310275566438391	2.1454685948218	0.0319153997850889	0.170348318609557
ENSMUSG00000000318	1.35249996108465	95.8407183452983	0.399559666239489	3.38497620096116	0.000711844260794302	0.0109462472169559
ENSMUSG00000000320	1.23375254077807	7.03858487319669	1.06752585948172	1.15571208867676	0.247798941827462	0.576395762850081
ENSMUSG00000000325	0.103281215924581	147.202118380425	0.237513047175777	0.434844389193261	0.663675382273229	0.876539493472186
ENSMUSG00000000326	-0.000454685232167766	1154.55261078495	0.109029259354302	-0.00417030469490963	0.996672587914839	0.998872475680579
ENSMUSG00000000339	-0.0487791689093793	530.816441348224	0.139793447296578	-0.348937449163064	0.727136269684488	0.907637995679895
ENSMUSG00000000340	0.0723645247725151	857.957663458735	0.125236657154527	0.577822232058031	0.563384143868363	0.833870564210774
ENSMUSG00000000346	0.0921893687249715	5776.9480419633	0.0692220821537237	1.33179132809446	0.182928768369474	0.494454857116108
ENSMUSG00000000355	-0.175587139577701	356.544152776263	0.151064305694487	-1.16233374105469	0.245099926106579	0.573735524262121
ENSMUSG00000000359	1.58667749365306	16.5829158322787	0.669382109889644	2.37036136791083	0.017770706878706	0.117268374093884
ENSMUSG00000000365	-0.227224512030069	1.70240771268089	2.06002581765888	-0.110301778784646	0.912170046607549	NA
ENSMUSG00000000374	0.136077997213639	1191.07750387072	0.102177554294749	1.33177974510037	0.182932575669509	0.494454857116108
ENSMUSG00000000378	-0.0236802272744824	811.269217265987	0.109591168814711	-0.216077878633809	0.828927042698041	0.942889993185757
ENSMUSG00000000384	-0.114365359403211	1312.25558516455	0.0933093571834441	-1.22565799246019	0.22032740450095	0.544497776964617
ENSMUSG00000000385	-0.017772947147927	6422.92825110098	0.077770697967011	-0.22853012268793	0.819234141100844	0.93860533829797
ENSMUSG00000000386	0.296670553666361	1285.77863522575	0.161690016387549	1.83481058567823	0.0665337596066911	0.274517633387112
ENSMUSG00000000392	1.09120666242376	172.524912152683	0.270416883081487	4.03527564547416	5.4538231765304e-05	0.00141383792425482
ENSMUSG00000000394	-1.14995527586682	0.158737300795886	4.0804728567969	-0.281819121514636	0.778082208119823	NA
ENSMUSG00000000399	-0.144156953504023	1629.57630435811	0.0922411247587967	-1.56282736014963	0.118093206948693	0.38445774830181
ENSMUSG00000000402	-0.233196529943128	37.6930229105808	0.456453006564665	-0.510888364386513	0.609429229184057	0.855098974854297
ENSMUSG00000000409	-0.0525020652080308	67.67979935794	0.452795387634456	-0.115950971767442	0.907691398468064	0.970934718216121
ENSMUSG00000000411	1.71150181317791	0.781034696274205	2.99255681383615	0.571919572341865	0.567376463594565	NA
ENSMUSG00000000416	0.500984868531063	19.0495782232916	0.555880395729558	0.90124579384303	0.367457647662334	0.697784407482735
ENSMUSG00000000420	0.0895758040718255	4043.98123154013	0.0820806331791316	1.09131473043509	0.275134418230589	0.606570630564958
ENSMUSG00000000439	-0.0357295462589187	2441.68121315016	0.0777389486729229	-0.459609331858171	0.645796659697537	0.869399568562981
ENSMUSG00000000440	-0.205015578183433	2912.73419632259	0.111163619347274	-1.84426865000649	0.065143997931618	0.2711324098682
ENSMUSG00000000441	0.00902552140894857	3369.49791253242	0.075409590202771	0.119686652383067	0.904731374202567	0.969881264922676
ENSMUSG00000000486	0.586722614718087	71.4121825271634	0.424028053724129	1.38368820073354	0.166453948031254	0.468290440461262
ENSMUSG00000000489	-0.256110672479541	384.73533623072	0.191548972990086	-1.33705061677776	0.181206115157242	0.491701893790668
ENSMUSG00000000530	0.679362833951723	157.974653182285	0.269537056885172	2.52048027014387	0.0117194808136086	0.0872107257509114
ENSMUSG00000000531	-0.263441229235193	932.022452990643	0.113166149079219	-2.32791547100166	0.0199165925764818	0.126217235090268
ENSMUSG00000000532	0.0770967950139873	1437.5894945544	0.102055343271126	0.755441043485271	0.449984394430702	0.764807395218375
ENSMUSG00000000538	0.0177219687241356	862.542938226821	0.115705745664384	0.153164120090803	0.878268851785801	0.960532395603633
ENSMUSG00000000544	0.47751710490151	5097.25364823447	0.110477746378779	4.32229223127266	1.54416473479673e-05	0.000495947629370456
ENSMUSG00000000552	-0.283896083036301	359.317588398529	0.149173811613324	-1.9031228066505	0.0570245226611488	0.249093754779531
ENSMUSG00000000555	0.112704547739038	1435.60224935962	0.148177361154222	0.760605715077731	0.446892605176229	0.762227855897121
ENSMUSG00000000560	-1.92168865042167	0.317474601591773	4.0491055975801	-0.47459583458879	0.635075075788053	NA
ENSMUSG00000000561	-0.188063315646816	1764.64019404295	0.0837815437008899	-2.24468668562881	0.0247882533803934	0.144879170966962
ENSMUSG00000000562	0.0585535767522843	7.42415304011976	1.05841470522239	0.0553219607242523	0.955881966827372	0.986539316763387
ENSMUSG00000000563	-0.00660479325372204	3006.96065090833	0.0765367761012799	-0.0862956815032558	0.931231371332725	0.978423934998121
ENSMUSG00000000567	0.719164246102726	34.1871827787808	0.477843909578504	1.50501917401665	0.132319147236556	0.410045657653313
ENSMUSG00000000568	-0.138216306707368	2539.6400511662	0.0955168371205347	-1.44703605012539	0.147886827073397	0.436382637721092
ENSMUSG00000000579	-1.21216733337991	10.7963216416875	0.744193907186099	-1.62883264922617	0.103348450990533	0.356374706156641
ENSMUSG00000000581	-0.0718295734415519	741.280424143144	0.106926414259048	-0.671766410005409	0.501732415903639	0.796780946360967
ENSMUSG00000000594	0.421839890987079	605.455032859779	0.255550390359883	1.65071119786989	0.0987975602007899	0.347457642733071
ENSMUSG00000000600	-0.215804345918612	983.251936556784	0.117950475674703	-1.82961827567174	0.0673070389819398	0.276136114395756
ENSMUSG00000000605	0.157812501710003	1171.43490976114	0.0951417474065146	1.65870930492492	0.0971743834806007	0.344533676571616
ENSMUSG00000000617	-2.33980781213915	0.446223516583462	4.01504643897928	-0.582759837949466	0.560054984909109	NA
ENSMUSG00000000627	-0.691086350302219	7.78406433536834	0.992068959659554	-0.696611201845664	0.486046143617077	0.787510027989216
ENSMUSG00000000628	-0.688160736698034	1832.53346020101	0.190407663441618	-3.61414411720375	0.000301341417879588	0.00562492731762021
ENSMUSG00000000631	0.0537824303560772	5959.45292887766	0.0853865244526848	0.629870236560333	0.528779487502184	0.813570728925042
ENSMUSG00000000632	-1.68633334114381	0.696433484019502	3.10659881995308	-0.542823016062719	0.587251664666669	NA
ENSMUSG00000000673	0.408517631448315	7.36256477387312	0.843625502340417	0.484240495711652	0.628215200345122	0.863711898487226
ENSMUSG00000000682	0.643116241032672	350.505467820928	0.484309053631424	1.32790464314158	0.184209610653278	0.496618146527492
ENSMUSG00000000686	-0.475938507240764	62.7109337152964	0.377879578481877	-1.25949782508183	0.207850575307619	0.528570966626618
ENSMUSG00000000690	0.263401070867642	26.0697996321839	0.567584792686073	0.464073516876847	0.642595074970166	0.868749471212829
ENSMUSG00000000693	0.438343006967405	673.142959186117	0.184152267409822	2.38032913269482	0.0172971808035807	0.114947269052126
ENSMUSG00000000706	1.67667873447161	0.312826838066169	4.03711005684693	0.41531657816164	0.677910166702827	NA
ENSMUSG00000000708	-0.178114470063255	1652.94369093906	0.110433463071507	-1.61286683500928	0.10677344187743	0.363225816868344
ENSMUSG00000000711	-0.130632111686801	1234.43403083008	0.0914440459652374	-1.4285469360844	0.153134495077478	0.445868803222094
ENSMUSG00000000724	2.24427468876282	0.462955852732281	3.99517878467996	0.561745746490442	0.574289261189376	NA
ENSMUSG00000000730	2.16246198789885	2.66268497692532	2.17311409374869	0.995098229825811	0.31968849151605	NA
ENSMUSG00000000731	-2.74059490094292	3.57803361313032	1.45125663614178	-1.88842885034373	0.0589684012715146	NA
ENSMUSG00000000732	1.07211468453228	82.6574209730033	0.319574364532727	3.35482067249009	0.000794164484337829	0.0119260610715561
ENSMUSG00000000738	0.0947104186290248	1901.32657901171	0.100954707143877	0.938147623904716	0.34816855043082	0.681976682389111
ENSMUSG00000000739	0.810440564011038	8.13260909512221	0.942442953490172	0.859935936716078	0.389824357496456	0.716410049880657
ENSMUSG00000000740	0.0591292121391203	4458.95136557648	0.105610059387572	0.559882386981015	0.575559663189423	0.838856695436259
ENSMUSG00000000743	-0.061360564809475	1330.42584841105	0.100529524086298	-0.610373573009269	0.541614370036226	0.820292360784116
ENSMUSG00000000751	0.00365580330677776	1065.42457728843	0.119056702842675	0.0307064047591562	0.975503683313343	0.992495274192192
ENSMUSG00000000753	1.44772493408564	1045.67472842357	0.375280885988603	3.85771028618177	0.000114454197211178	0.00259923298816502
ENSMUSG00000000759	-0.165952614969343	1758.44987230264	0.0944861732793205	-1.75636931002331	0.0790253696078294	0.305136410931876
ENSMUSG00000000766	-2.13694156051024	0.381849059087617	4.0310914767844	-0.530114876533361	0.596032285242434	NA
ENSMUSG00000000776	0.0454230674692381	712.355546734723	0.111287105478978	0.408161100728946	0.683155404494364	0.885086074733138
ENSMUSG00000000782	-0.789683086231286	75.0838761148909	0.437829775538402	-1.80363038411494	0.0712892695739753	0.28592897847175
ENSMUSG00000000787	-0.222920751671975	7501.29225062104	0.0856849502466085	-2.60163250407907	0.00927812154754277	0.0737867404942702
ENSMUSG00000000791	-0.553807308430822	35.3131608743879	0.651117943910731	-0.850548373931389	0.39502027797472	0.719876174922775
ENSMUSG00000000792	-0.590625420216704	6.2907469597928	1.06234492359323	-0.555963893740838	0.578235537826021	0.840112279266272
ENSMUSG00000000794	0.890935208276977	15.9345870035403	0.651981861608745	1.36650305896336	0.171781121407462	0.476458819225061
ENSMUSG00000000804	-0.250977400129994	1471.62598106266	0.139966786751303	-1.79312111076707	0.0729535607412759	0.290501524202462
ENSMUSG00000000805	-0.678698633975346	6.06047952782373	1.31531890105694	-0.515995499973406	0.605857552179214	NA
ENSMUSG00000000811	-0.176789108324815	342.376618028596	0.171056803724567	-1.03351111721623	0.301364770634212	0.634113779563454
ENSMUSG00000000817	0.803692975092953	10.3165205484728	0.914859954056953	0.878487435731524	0.379679253146185	0.707848503600689
ENSMUSG00000000823	0.179636332018001	973.806106507631	0.137327528482008	1.30808683447278	0.190843858412781	0.505725724597225
ENSMUSG00000000826	-0.0606735224246536	3152.85704357708	0.0874930839886267	-0.693466496535207	0.488016844225287	0.788480447454814
ENSMUSG00000000827	0.0259204739207798	1356.11967530666	0.0900754316765693	0.287764082151186	0.773527333179782	0.924258762824503
ENSMUSG00000000838	-0.537458199864785	2076.50338235599	0.135362974562829	-3.97049637539785	7.1723047338264e-05	0.00174788227497299
ENSMUSG00000000861	2.00794740369502	9.03541064104493	0.953079104612188	2.10680036313676	0.0351348880162609	0.180983760303787
ENSMUSG00000000869	0.265969991821506	24.413204719373	0.506532993683309	0.525079304089309	0.599528062536616	0.849582414885249
ENSMUSG00000000876	0.033786930200115	957.823077283245	0.128455111099124	0.263025191532028	0.792531162507707	0.929974419717393
ENSMUSG00000000881	1.0753923530386	63.6924676424308	0.366617500637268	2.93328155685235	0.00335399579278576	0.0354070651487941
ENSMUSG00000000884	-0.125943867436267	99.3421185395993	0.275053700973474	-0.457888285053152	0.647032703785842	0.870135467766909
ENSMUSG00000000889	0.77359807577567	0.154318617577427	4.0804728567969	0.189585399272311	0.849634029399277	NA
