	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
A1BG	73	67	51	62	49	39	74	52	39	64	53	26	28	45	52	16
A1BG-AS1	121	127	88	129	82	71	134	106	65	56	43	45	26	42	43	17
A1CF	3	9	1	6	2	1	4	2	1	1	1	3	5	4	5	4
A2M	3	9	3	4	2	4	7	5	3	6	5	6	2	12	6	6
A2M-AS1	6	6	3	8	6	5	4	3	5	1	11	8	5	4	7	8
A2ML1	10	11	1	8	10	7	23	11	6	5	8	7	9	24	24	17
A2MP1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0
A3GALT2	1	0	1	0	1	1	1	0	5	5	7	0	0	4	9	1
A4GALT	1384	1201	777	1267	1057	785	1704	1327	220	218	154	105	156	295	250	109
A4GNT	0	1	0	0	1	1	4	2	1	1	3	0	5	8	6	4
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1950	1724	1085	1963	2001	1534	3284	2518	1520	1796	1478	815	1138	2152	2539	1079
AACS	2532	2093	1464	2323	1438	1209	2516	1832	1791	2007	1685	995	799	1693	1777	793
AACSP1	7	4	3	3	1	4	4	0	2	3	0	0	0	3	2	0
AADAC	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	1	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0
AADAT	568	493	325	512	395	316	652	525	355	422	378	227	242	430	454	205
AAED1	457	387	276	435	354	267	574	413	95	103	107	66	80	120	112	54
AAGAB	3017	2498	1825	2771	1197	942	1984	1424	2482	2900	2621	1533	882	1591	1703	807
AAK1	1562	1228	854	1253	1248	1033	1984	1397	376	448	409	332	313	565	569	290
AAMDC	174	135	113	165	195	163	335	232	145	209	207	122	129	302	338	135
AAMP	6206	5309	3783	6154	5087	4096	8672	6568	4979	5873	5014	2842	2971	6133	6484	2944
AANAT	2	7	4	6	3	3	8	2	10	14	7	13	4	8	10	5
AAR2	2490	2158	1501	2419	2173	1767	3672	2585	874	1035	921	713	677	1176	1286	639
AARD	35	26	15	38	47	23	98	54	17	21	19	3	30	42	34	18
AARS	6991	6017	4371	6950	9834	7754	16515	12292	3831	4576	3894	2572	4256	8218	9100	4232
AARS2	1652	1390	947	1590	1496	1150	2591	1941	831	1065	901	584	496	1043	1203	591
AARSD1	1371	1246	837	1366	1603	1328	2725	2014	1029	1073	982	604	873	1734	1883	825
AASDH	557	550	398	627	628	507	972	698	285	334	328	214	244	418	389	196
AASDHPPT	3841	3217	2259	3587	3151	2500	5065	3879	1544	1813	1723	1514	1760	2185	2402	1175
AASS	975	826	663	952	1115	995	1881	1426	659	724	676	453	828	1279	1360	717
AATBC	9	11	5	16	9	11	18	10	34	43	41	29	21	40	61	30
AATF	5190	4137	2884	4797	4496	3696	7716	6106	2177	2527	2207	1416	1691	3213	3654	1550
AATK	107	105	67	80	74	49	141	86	44	40	46	27	16	29	36	9
AATK-AS1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
ABALON	1608	1257	936	1491	1005	731	1943	1359	906	1106	927	598	533	954	1030	472
ABAT	27	24	16	36	35	21	58	32	46	52	53	49	41	69	74	43
ABCA1	5	9	2	9	10	1	13	6	4	5	2	2	0	9	8	3
ABCA10	190	174	136	162	128	109	190	153	145	184	162	128	101	162	142	100
ABCA11P	278	239	179	306	332	265	505	373	150	205	173	127	169	267	358	167
ABCA12	2212	1911	1403	2155	1126	1081	1949	1338	1277	1562	1547	1328	803	1495	1700	829
ABCA13	7	8	3	5	1	2	0	2	2	1	4	3	2	0	3	1
ABCA17P	13	9	2	6	4	4	6	1	8	9	5	3	1	3	6	7
ABCA2	2331	2024	1321	1918	2203	1747	3588	2735	2238	2854	2272	1281	1615	3159	3591	1689
ABCA3	32	43	25	38	22	25	37	25	28	40	22	18	11	24	26	13
ABCA4	2	4	0	1	1	0	0	0	0	0	1	0	2	0	4	5
ABCA5	267	229	167	234	192	154	279	194	194	213	245	226	190	230	263	120
ABCA6	269	212	178	273	106	122	214	154	94	125	143	95	53	66	76	50
ABCA7	573	546	358	465	449	341	757	534	743	770	684	414	386	798	921	432
ABCA8	0	4	3	5	1	0	0	0	0	1	0	2	0	1	0	0
ABCA9	12	17	14	23	9	8	3	5	22	28	24	29	18	25	29	15
ABCA9-AS1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1
ABCB1	0	1	1	3	0	0	3	1	0	0	0	2	0	2	2	1
ABCB10	3930	3029	2071	3352	3542	2841	6010	4333	2220	2557	2190	1632	2820	3467	3491	1747
ABCB11	2	5	0	0	0	0	0	1	0	1	0	1	0	1	1	0
ABCB4	2	4	0	3	1	3	4	1	1	0	2	4	1	3	5	1
ABCB5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCB6	1070	854	537	850	1241	1037	1905	1443	1062	1143	954	637	945	1770	1999	927
ABCB7	1383	1195	852	1345	1309	1136	2220	1632	925	1107	995	613	758	1358	1590	685
ABCB8	1880	1677	1042	1684	1843	1408	2945	2159	1655	1995	1825	1008	1171	2046	2551	1069
ABCB9	181	159	84	135	180	143	282	238	108	127	107	70	70	129	171	71
ABCC1	4642	3808	2688	4206	4473	3560	7290	5413	2936	3393	3065	1872	2502	4315	4649	2062
ABCC10	1656	1475	1014	1425	994	768	1724	1254	1098	1146	1044	583	556	1051	1205	563
ABCC11	6	6	4	12	2	2	6	5	11	9	16	8	8	5	7	3
ABCC12	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ABCC13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	885	829	636	1014	1989	1625	2840	2167	749	886	1059	747	1263	2150	2281	1100
ABCC3	3770	3051	2156	3392	3521	2779	5778	4058	5333	6163	5516	3350	4093	6940	7977	3713
ABCC4	1517	1238	928	1426	1166	938	1948	1387	762	902	819	461	540	879	885	463
ABCC5	2034	1690	1313	1985	1069	871	1730	1244	1666	1846	1737	1093	861	1567	1709	779
ABCC5-AS1	2	0	1	0	0	0	1	2	2	0	0	0	0	0	0	3
ABCC6	4	7	3	5	4	1	5	2	4	8	12	6	2	7	5	6
ABCC6P1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCC6P2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	1	3	0	1	0	0	1	0	0	0	0	0	0	2	1	0
ABCD1	128	98	58	90	120	82	172	131	113	144	123	80	87	176	182	77
ABCD2	18	15	18	19	6	7	11	4	3	6	1	1	2	3	4	0
ABCD3	2542	2008	1502	2313	2382	2057	3932	2966	1873	2003	1909	1377	1820	2708	2851	1357
ABCD4	940	756	575	884	659	535	1008	801	571	621	572	338	279	556	620	262
ABCE1	9556	7770	5496	8729	8879	7357	14255	10836	4002	4472	4072	3382	4816	6533	6661	3260
ABCF1	5669	4832	3407	5418	5402	4247	9022	6865	2070	2526	2112	1134	1535	3056	3378	1430
ABCF2	6124	4982	3585	5826	6357	5039	10732	7868	3805	4485	4101	2362	3146	6152	6531	2986
ABCF3	2244	1962	1356	2034	2176	1837	3678	2789	853	997	775	543	706	1459	1556	735
ABCG1	29	71	30	45	55	60	96	65	4	11	13	3	6	9	16	6
ABCG2	57	51	39	56	85	57	139	95	32	44	36	34	42	70	66	37
ABCG4	2	5	1	1	5	3	7	1	6	0	0	2	1	3	4	3
ABCG5	0	1	0	1	0	2	0	0	1	2	2	2	0	1	0	0
ABCG8	0	1	0	0	0	0	0	1	1	0	2	1	1	2	2	1
ABHD1	51	33	23	42	51	37	72	52	25	27	27	15	19	57	51	19
