	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	52.2690699101325	-0.0923627782840928	0.525173752066284	-0.17587089590958	0.86039537062927	0.999822101507923
A1BG-AS1	78.7418613485793	-0.207881822292118	0.452905529381763	-0.458995991009176	0.646237044978907	0.999822101507923
A1CF	2.86375642969419	2.11883970650256	2.32351000589772	0.911913312671065	0.361814352967522	0.999822101507923
A2M	5.12475402016389	1.21044206152714	1.64707492795181	0.734904065980997	0.462397921935991	0.999822101507923
A2M-AS1	6.38564875761352	1.84387352519608	1.51580006590146	1.21643583918141	0.223818938414546	0.999822101507923
A2ML1	6.92011117984234	1.83794626763644	1.42528345117289	1.28953034999737	0.197213772091227	0.999822101507923
A2MP1	0.457677894220937	4.00607592398815	5.77124502267206	0.694144141905338	0.487591818445614	0.999822101507923
A3GALT2	2.58761570999996	-0.822567390074555	2.98336686450781	-0.275717813943831	0.78276481224224	0.999822101507923
A4GALT	556.649589620014	-0.392110765953834	0.197041818931273	-1.98998754721504	0.0465923072888752	0.999822101507923
A4GNT	0.796202331561719	1.84684111848269	4.43924556071497	0.416025897469219	0.677391052901511	0.999822101507923
AA06	0	NA	NA	NA	NA	NA
AAAS	1494.62888784713	-0.238178168717368	0.144605328532872	-1.64709123193358	0.0995392950791566	0.999822101507923
AACS	1798.98228803288	-0.205144486838566	0.120341729988159	-1.70468287981859	0.0882535845208345	0.999822101507923
AACSP1	2.32388794236128	-2.89887369857033	2.61048925956837	-1.11047141371869	0.266795939765645	0.999822101507923
AADAC	0.0962692972300888	1.55109107939141	7.05746392397375	0.219780234954153	0.826042313509605	0.999822101507923
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	0.0813564120532811	1.42837317129769	7.06321381136042	0.202227089458952	0.839739196288743	0.999822101507923
AADACL3	0.170832412126013	0.0745382694172826	7.05165067077206	0.0105703292601024	0.991566254534066	0.999822101507923
AADACL4	0.0962692972300888	1.55109107939141	7.05746392397375	0.219780234954153	0.826042313509605	0.999822101507923
AADACP1	0.586226857527174	-3.2165043149822	5.31131823542914	-0.60559435010437	0.544784155028401	0.999822101507923
AADAT	394.889759224373	-0.00199212639354246	0.197255342471479	-0.0100992265587458	0.991942120029367	0.999822101507923
AAED1	209.205095227367	0.0695407080198749	0.275279466820084	0.252618580031343	0.800562970825921	0.999822101507923
AAGAB	2434.80985106715	-0.107466048167754	0.1149036412321	-0.935271041155931	0.349648635347631	0.999822101507923
AAK1	721.607514831572	0.285408210953532	0.178715972387911	1.59699330250147	0.11026720015844	0.999822101507923
AAMDC	161.995365305512	0.0550250448030619	0.305403134692604	0.180171840274154	0.857017664849891	0.999822101507923
AAMP	4917.32232129814	-0.2433610666757	0.108469971660899	-2.24358007058857	0.0248594327245164	0.999822101507923
AANAT	9.03918118344932	-0.226731218977897	1.34360135944306	-0.168748875836118	0.865994172659165	0.999822101507923
AAR2	1386.8331779449	0.0702265546252301	0.140617278403169	0.499416255404126	0.617486169882743	0.999822101507923
