siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
A1BG	47.5121446391162	51.6003433153276	57.8025718063997	44.3800960360751	45.8535308970847	65.1837556296803	60.1591787227351	45.6609382346414
A1BG-AS1	78.7530068675761	97.8096059857702	99.7377709600622	92.3392320750596	76.4225514951412	57.0357861759703	48.8083902844832	79.0285469445717
A1CF	1.95255388927875	6.93138940056639	1.1333837609098	4.29484800349114	1.17573156146371	1.01849618171375	1.13507884382519	5.26856979630478
A2M	1.95255388927875	6.93138940056639	3.40015128272939	2.86323200232743	3.52719468439113	6.11097709028253	5.67539421912596	10.5371395926096
A2M-AS1	3.90510777855749	4.62092626704426	3.40015128272939	5.72646400465486	5.87865780731856	1.01849618171375	12.4858672820771	14.0495194568127
A2ML1	6.50851296426249	8.47169815624781	1.1333837609098	5.72646400465486	7.05438936878227	5.09248090856877	9.08063075060153	12.2933295247112
A2MP1	0	0.77015437784071	0	0	0	0	1.13507884382519	1.75618993210159
A3GALT2	0.650851296426249	0	1.1333837609098	0	5.87865780731856	5.09248090856877	7.94555190677634	0
A4GALT	900.778194253928	924.955407786693	880.639182226913	906.928736737213	258.660943522016	222.032167613599	174.802141949079	184.399942870667
A4GNT	0	0.77015437784071	0	0	1.17573156146371	1.01849618171375	3.40523653147557	0
AA06	0	0	0	0	0	0	0	0
AAAS	1269.16002803118	1327.74614739738	1229.72138058713	1405.13110514219	1787.11197342484	1829.2191423579	1677.64653117363	1431.2947946628
AACS	1647.95548255126	1611.93311282061	1659.27382597194	1662.82198535165	2105.73522658151	2044.12183669951	1912.60785184545	1747.40898244108
AACSP1	4.55595907498374	3.08061751136284	3.40015128272939	2.14742400174557	2.35146312292742	3.05548854514126	0	0
AADAC	0	0.77015437784071	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0.650851296426249	0	0	0	0	0	0	0
AADACL3	0.650851296426249	0	0	0.715808000581857	0	0	0	0
AADACL4	0	0.77015437784071	0	0	0	0	0	0
AADACP1	0.650851296426249	0	0	2.86323200232743	1.17573156146371	0	0	0
AADAT	369.683536370109	379.68610827547	368.349722295684	366.493696297911	417.384704319617	429.805388683205	429.059802965922	398.655114587062
AAED1	297.439042466796	298.049744224355	312.813918011104	311.376480253108	111.694498339053	104.905106716517	121.453436289295	115.908535518705
AAGAB	1963.61836131799	1923.84563584609	2068.42536366038	1983.50396961233	2918.16573555293	2953.63892696989	2975.04164966583	2692.23916591174
AAK1	1016.6297250178	945.749575988392	967.909731816968	896.907424729067	442.075067110355	456.286289407762	464.247247124503	583.055057457729
AAMDC	113.248125578167	103.970841008496	128.072364982807	118.108320096006	170.481076412238	212.865701978175	234.961320671815	214.255171716394
