siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
A1BG	73	67	51	62	39	64	53	26
A1BG-AS1	121	127	88	129	65	56	43	45
A1CF	3	9	1	6	1	1	1	3
A2M	3	9	3	4	3	6	5	6
A2M-AS1	6	6	3	8	5	1	11	8
A2ML1	10	11	1	8	6	5	8	7
A2MP1	0	1	0	0	0	0	1	1
A3GALT2	1	0	1	0	5	5	7	0
A4GALT	1384	1201	777	1267	220	218	154	105
A4GNT	0	1	0	0	1	1	3	0
AA06	0	0	0	0	0	0	0	0
AAAS	1950	1724	1085	1963	1520	1796	1478	815
AACS	2532	2093	1464	2323	1791	2007	1685	995
AACSP1	7	4	3	3	2	3	0	0
AADAC	0	1	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	1	0	0	0	0	0	0	0
AADACL3	1	0	0	1	0	0	0	0
AADACL4	0	1	0	0	0	0	0	0
AADACP1	1	0	0	4	1	0	0	0
AADAT	568	493	325	512	355	422	378	227
AAED1	457	387	276	435	95	103	107	66
AAGAB	3017	2498	1825	2771	2482	2900	2621	1533
AAK1	1562	1228	854	1253	376	448	409	332
AAMDC	174	135	113	165	145	209	207	122
AAMP	6206	5309	3783	6154	4979	5873	5014	2842
AANAT	2	7	4	6	10	14	7	13
AAR2	2490	2158	1501	2419	874	1035	921	713
AARD	35	26	15	38	17	21	19	3
AARS	6991	6017	4371	6950	3831	4576	3894	2572
AARS2	1652	1390	947	1590	831	1065	901	584
AARSD1	1371	1246	837	1366	1029	1073	982	604
AASDH	557	550	398	627	285	334	328	214
AASDHPPT	3841	3217	2259	3587	1544	1813	1723	1514
AASS	975	826	663	952	659	724	676	453
AATBC	9	11	5	16	34	43	41	29
AATF	5190	4137	2884	4797	2177	2527	2207	1416
AATK	107	105	67	80	44	40	46	27
AATK-AS1	0	0	0	1	0	0	0	0
ABALON	1608	1257	936	1491	906	1106	927	598
ABAT	27	24	16	36	46	52	53	49
ABCA1	5	9	2	9	4	5	2	2
ABCA10	190	174	136	162	145	184	162	128
ABCA11P	278	239	179	306	150	205	173	127
ABCA12	2212	1911	1403	2155	1277	1562	1547	1328
ABCA13	7	8	3	5	2	1	4	3
ABCA17P	13	9	2	6	8	9	5	3
ABCA2	2331	2024	1321	1918	2238	2854	2272	1281
ABCA3	32	43	25	38	28	40	22	18
ABCA4	2	4	0	1	0	0	1	0
ABCA5	267	229	167	234	194	213	245	226
ABCA6	269	212	178	273	94	125	143	95
ABCA7	573	546	358	465	743	770	684	414
ABCA8	0	4	3	5	0	1	0	2
ABCA9	12	17	14	23	22	28	24	29
ABCA9-AS1	1	0	0	2	1	0	0	0
ABCB1	0	1	1	3	0	0	0	2
ABCB10	3930	3029	2071	3352	2220	2557	2190	1632
ABCB11	2	5	0	0	0	1	0	1
ABCB4	2	4	0	3	1	0	2	4
ABCB5	2	1	0	0	0	0	0	0
ABCB6	1070	854	537	850	1062	1143	954	637
ABCB7	1383	1195	852	1345	925	1107	995	613
ABCB8	1880	1677	1042	1684	1655	1995	1825	1008
ABCB9	181	159	84	135	108	127	107	70
ABCC1	4642	3808	2688	4206	2936	3393	3065	1872
