	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	41.0908447949364	-0.0565146226272807	0.594302472491757	-0.095094039219338	0.924240132635316	0.999972121637812
A1BG-AS1	55.8835417113416	-0.228800008184684	0.519401046046544	-0.440507407380502	0.659569648533621	0.999972121637812
A1CF	3.88383266546537	-0.362939465520961	1.98589272373593	-0.18275884753643	0.85498723960252	0.999972121637812
A2M	5.67052107382103	-0.257296532719934	1.64835046855694	-0.156093341572673	0.875959446687724	0.999972121637812
A2M-AS1	6.11663912868124	2.10446000095499	1.57577633705956	1.33550679208825	0.181710533777209	0.999972121637812
A2ML1	16.1621377440344	0.114038156696238	0.973378264558202	0.11715708152575	0.906735576614203	0.999972121637812
A2MP1	0.344459877149646	2.0441714249671	6.71785791783052	0.304289172228765	0.760907593605734	0.999972121637812
A3GALT2	2.05588434546334	2.97792064776198	3.06414249441718	0.971861019253413	0.331119694516726	0.999972121637812
A4GALT	568.147380479809	-0.423558795431576	0.202132614083411	-2.09545004576447	0.0361310046964696	0.999972121637812
A4GNT	4.38424339360481	-1.24424348675155	1.97052264150994	-0.631428160499661	0.52776060798852	0.999972121637812
AA06	0	NA	NA	NA	NA	NA
AAAS	1908.93465086755	0.0416913614625182	0.135704552660059	0.307221538594623	0.758674752340723	0.999972121637812
AACS	1410.76741312447	-0.0118568030083483	0.152110899656633	-0.0779484115544201	0.937869089677336	0.999972121637812
AACSP1	1.48796134821173	0.605058536908753	3.39433488848356	0.178255404014972	0.858522400273339	0.999972121637812
AADAC	0.364294614862216	1.19523937203555	7.01606371358054	0.170357542466725	0.864728960208356	0.999972121637812
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	0.0880761442962252	-0.938011854379868	7.04952428147296	-0.133060305479773	0.894145687572604	0.999972121637812
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0.215397810796376	2.98487687052851	7.00086904771908	0.42635804929118	0.669846964837478	0.999972121637812
AADAT	378.402985905726	-0.132989759007217	0.213036556937091	-0.624257925115118	0.532458211039871	0.999972121637812
AAED1	204.292427550955	-0.31666388443435	0.293979468028705	-1.07716326775389	0.281407332216414	0.999972121637812
AAGAB	1279.9237482115	-0.00676446820502202	0.136676262336232	-0.0494926338297212	0.960526707359862	0.999972121637812
AAK1	792.442322887533	0.0606777827472868	0.164962679014491	0.367827335914912	0.713001984688794	0.999972121637812
