siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
A1BG	42.2179709160897	41.0226661998998	38.0398471269682	36.6396760272297	48.4603743945517	44.5618394143393	46.9988831475921	30.7855011328207
A1BG-AS1	70.6504819412114	74.6822897485355	68.8829664191045	74.6885703631989	44.9989190806551	41.59105012005	38.864461064355	32.709594953622
A1CF	1.72318248637101	1.05186323589487	2.05620795280909	1.4092183087396	8.65363828474137	3.96105239238572	4.51912337957616	7.69637528320518
A2M	1.72318248637101	4.20745294357947	3.59836391741591	3.52304577184901	3.46145531389655	11.8831571771572	5.42294805549139	11.5445629248078
A2M-AS1	5.16954745911303	5.25931617947433	2.05620795280909	2.1138274631094	8.65363828474137	3.96105239238572	6.32677273140663	15.3927505664104
A2ML1	8.61591243185505	7.36304265126406	11.8231957286523	7.75070069806782	15.5765489125345	23.7663143543143	21.6917922219656	32.709594953622
A2MP1	0.861591243185505	0	0	0	0	0.99026309809643	0.903824675915232	0
A3GALT2	0.861591243185505	1.05186323589487	0.514051988202272	0	0	3.96105239238572	8.13442208323709	1.9240938208013
A4GALT	910.701944047078	825.71264017747	875.944587896672	935.016347848726	269.993514483931	292.127613938447	225.956168978808	209.726226467341
A4GNT	0.861591243185505	1.05186323589487	2.05620795280909	1.4092183087396	8.65363828474137	7.92210478477144	5.42294805549139	7.69637528320518
AA06	0	0	0	0	0	0	0	0
AAAS	1724.04407761419	1613.55820386272	1688.14672925626	1774.20585070316	1969.56807360714	2131.04618710352	2294.81085214877	2076.0972326446
AACS	1238.96820770076	1271.70265219689	1293.35480231692	1290.84397080548	1382.85139790167	1676.51542507726	1606.09644910137	1525.80639989543
AACSP1	0.861591243185505	4.20745294357947	2.05620795280909	0	0	2.97078929428929	1.80764935183046	0
AADAC	0	0	0	0	0	0.99026309809643	0	1.9240938208013
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0.704609154369801	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	1.72318248637101	0	0	0	0	0	0	0
AADAT	340.328541058274	332.388782542778	335.161896307882	369.919806044146	418.836092981482	425.813132181465	410.336402865515	394.439233264266
AAED1	305.003300087669	280.847483983929	295.065841228104	291.003580754728	138.458212555862	118.831571771572	101.228363702506	103.90106632327
AAGAB	1031.32471809305	990.855168212964	1019.87914459331	1003.3634358226	1526.50179342838	1575.50858907142	1539.21342308364	1552.74371338665
AAK1	1075.26587149551	1086.5747226794	1019.87914459331	984.338988654613	541.71775662481	559.498650424483	514.276240595767	557.987208032376
AAMDC	168.010292421173	171.453707450863	172.207416047761	163.469323813794	223.263867746327	299.059455625122	305.492740459348	259.752665808175
AAMP	4382.91465408466	4308.43181422537	4457.85884169011	4627.87292590086	5141.99186879332	6073.2835806254	5860.39919863437	5664.53220843901
AANAT	2.58477372955651	3.1555897076846	4.11241590561818	1.4092183087396	6.92291062779309	7.92210478477144	9.03824675915232	9.62046910400648
