siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
A1BG	49	39	74	52	28	45	52	16
A1BG-AS1	82	71	134	106	26	42	43	17
A1CF	2	1	4	2	5	4	5	4
A2M	2	4	7	5	2	12	6	6
A2M-AS1	6	5	4	3	5	4	7	8
A2ML1	10	7	23	11	9	24	24	17
A2MP1	1	0	0	0	0	1	1	0
A3GALT2	1	1	1	0	0	4	9	1
A4GALT	1057	785	1704	1327	156	295	250	109
A4GNT	1	1	4	2	5	8	6	4
AA06	0	0	0	0	0	0	0	0
AAAS	2001	1534	3284	2518	1138	2152	2539	1079
AACS	1438	1209	2516	1832	799	1693	1777	793
AACSP1	1	4	4	0	0	3	2	0
AADAC	0	0	0	0	0	1	0	1
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	1	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	2	0	0	0	0	0	0	0
AADAT	395	316	652	525	242	430	454	205
AAED1	354	267	574	413	80	120	112	54
AAGAB	1197	942	1984	1424	882	1591	1703	807
AAK1	1248	1033	1984	1397	313	565	569	290
AAMDC	195	163	335	232	129	302	338	135
AAMP	5087	4096	8672	6568	2971	6133	6484	2944
AANAT	3	3	8	2	4	8	10	5
AAR2	2173	1767	3672	2585	677	1176	1286	639
AARD	47	23	98	54	30	42	34	18
AARS	9834	7754	16515	12292	4256	8218	9100	4232
AARS2	1496	1150	2591	1941	496	1043	1203	591
AARSD1	1603	1328	2725	2014	873	1734	1883	825
AASDH	628	507	972	698	244	418	389	196
AASDHPPT	3151	2500	5065	3879	1760	2185	2402	1175
AASS	1115	995	1881	1426	828	1279	1360	717
AATBC	9	11	18	10	21	40	61	30
AATF	4496	3696	7716	6106	1691	3213	3654	1550
AATK	74	49	141	86	16	29	36	9
AATK-AS1	0	0	1	0	0	0	1	0
ABALON	1005	731	1943	1359	533	954	1030	472
ABAT	35	21	58	32	41	69	74	43
ABCA1	10	1	13	6	0	9	8	3
ABCA10	128	109	190	153	101	162	142	100
ABCA11P	332	265	505	373	169	267	358	167
ABCA12	1126	1081	1949	1338	803	1495	1700	829
ABCA13	1	2	0	2	2	0	3	1
ABCA17P	4	4	6	1	1	3	6	7
ABCA2	2203	1747	3588	2735	1615	3159	3591	1689
ABCA3	22	25	37	25	11	24	26	13
ABCA4	1	0	0	0	2	0	4	5
ABCA5	192	154	279	194	190	230	263	120
ABCA6	106	122	214	154	53	66	76	50
ABCA7	449	341	757	534	386	798	921	432
ABCA8	1	0	0	0	0	1	0	0
ABCA9	9	8	3	5	18	25	29	15
ABCA9-AS1	0	0	0	0	1	1	0	1
ABCB1	0	0	3	1	0	2	2	1
ABCB10	3542	2841	6010	4333	2820	3467	3491	1747
