	diff	pvalue	padj	Significant	-log10(pvalue)
ENSG00000227232.5	0.0915413615248788	0.702816903271009	0.8175818013499899	No	0.1531578019447472
ENSG00000278267.1	-0.5346541088772	0.323770485871141	0.481740223150334	Yes	0.48976274300545136
ENSG00000233750.3	0.4004588440446629	0.561800635373277	0.7104082344291199	No	0.25041777396507064
ENSG00000268903.1	0.344804829136675	0.09249044930305801	0.179326977717371	No	1.033903110819103
ENSG00000269981.1	0.521675139088313	0.0212749946890265	0.049863204497967994	Yes	1.672130539658264
ENSG00000241860.6	0.129113323405182	0.7267819496851801	0.8332931479615909	No	0.13859586734290874
ENSG00000279457.4	0.0024686967687029	0.988537918217869	0.993334123551718	No	0.0050066674156123295
ENSG00000228463.10	-0.4566990719719	0.224825890049591	0.367660584677656	No	0.6481536786089946
ENSG00000237094.12	0.41211626902251	0.165892310563578	0.288454540009803	No	0.780173743916577
ENSG00000230021.9	-1.04644964531069	0.508282431312101	0.663329377184124	Yes	0.29389490134603097
ENSG00000225972.1	0.9652407589272779	0.285640379371993	0.43977620388475397	Yes	0.5441803987906111
ENSG00000225630.1	-0.08601741355919501	0.20624238395684696	0.34341135491254904	No	0.6856220799493613
ENSG00000237973.1	-0.07459926921670598	0.259116058183829	0.408915683615145	No	0.5865056716744499
ENSG00000229344.1	-0.0652370412094455	0.878823192610918	0.9309977967713459	No	0.05609849033819871
ENSG00000240409.1	0.20883174557637196	0.903701471963374	0.9451877573661949	No	0.043975010332966455
ENSG00000248527.1	0.0216833299587255	0.7195966890822869	0.828688668845261	No	0.14291084354299652
ENSG00000198744.5	-0.306794262517271	0.521678963140197	0.6755370402828659	No	0.28259667597905574
ENSG00000229376.3	2.21023955297535	0.154320611135212	0.272438951553872	Yes	0.8115760654825964
ENSG00000228327.3	0.21219094032136399	0.279135561073761	0.43273065804743	No	0.5541848321093489
ENSG00000237491.8	1.14759324875175	0.0201798354856424	0.0475817625268158	Yes	1.6950823786327522
ENSG00000230092.7	1.59050424437417	0.0703176500795935	0.142306038112697	Yes	1.152935651223791
ENSG00000177757.2	-0.6405353530860679	0.34972169630396	0.509990806690375	Yes	0.4562774237593893
ENSG00000228794.8	0.29162176040095195	0.00030711659168094704	0.000990688132270064	No	3.512696720577975
ENSG00000225880.5	0.726084678396004	0.0521421440572359	0.11012886209317001	Yes	1.2828111148423749
ENSG00000272438.1	1.25723909038982	0.307914244023203	0.46465175994334706	Yes	0.5115702202959206
ENSG00000230699.2	-1.15969787675352	0.0195317240683033	0.0462606526852825	Yes	1.7092594197790536
ENSG00000223764.2	0.631663233300366	0.259328779119031	0.409062888139345	Yes	0.5861492845455571
ENSG00000187634.11	-1.0108594315169699	0.00125903491524284	0.0037187876726187705	Yes	2.89996222597868
ENSG00000188976.10	0.151500476536635	0.000402350690493154	0.00127748452987816	No	3.3953952490229735
ENSG00000187961.13	0.101539644794154	0.11803568246023198	0.21936283997675698	No	0.927986684617604
ENSG00000187583.10	0.21083725389673003	0.0239918126621652	0.0556281317031467	No	1.6199369383833055
ENSG00000187642.9	-0.12026706692367699	0.49210238018325897	0.649418629593766	No	0.3079445343807629
ENSG00000272512.1	0.479397880902756	0.0588578999855139	0.122329928162705	No	1.2301952373259981
ENSG00000188290.10	0.7128416069351741	6.12345679407537e-07	2.65682372487081e-06	Yes	6.213003342108171
ENSG00000187608.8	1.3377705367604298	3.1709343165625896e-82	1.8079548319751696e-80	Yes	81.49881275395205
ENSG00000231702.2	-0.269077582574882	0.876042287407398	0.929270561567854	No	0.057474929511796974
ENSG00000224969.1	0.9514890685104279	0.322702969741345	0.4806822204802229	Yes	0.49119703789220837
ENSG00000188157.14	-0.556502924436411	5.5000930109414295e-34	8.92687567589637e-33	Yes	33.25962996617902
ENSG00000217801.9	0.378841500298105	0.000168180056308794	0.000562658998270704	No	3.7742255064488015
ENSG00000273443.1	-0.0436063112582975	0.830370100409782	0.902067976021242	No	0.08072829709294772
ENSG00000237330.2	-0.4023793453275129	0.6878799889953541	0.807346203634082	No	0.16248732435662527
ENSG00000131591.17	0.32426022803074295	2.66961973155898e-05	9.78524055893771e-05	No	4.573550596405887
ENSG00000272141.1	-0.293886369679894	0.84851670866906	0.9136306102852109	No	0.07133960129995737
ENSG00000186891.13	-0.512562832162909	0.37045201573801706	0.5316745584792489	Yes	0.4312680377515504
ENSG00000078808.16	0.190441036458929	0.000145769613920494	0.000491893787010361	No	3.8363329964706145
ENSG00000176022.4	0.6313797979372601	3.66383855340839e-24	4.1313232120145296e-23	Yes	23.43606367171506
ENSG00000184163.3	-0.35230837986001395	0.40436660219625203	0.565641719356901	No	0.3932247212334659
ENSG00000260179.1	0.541322490757144	0.45067879937880895	0.6117094419171739	Yes	0.3461328713263064
ENSG00000160087.20	0.37632234281822297	2.27038063194702e-13	1.5514907916903602e-12	No	12.643901326729102
ENSG00000230415.1	0.38250513139136405	0.0211378309227213	0.0495656975923537	No	1.674939580255855
ENSG00000162572.20	0.201990752267428	0.00368203090075391	0.0100794140066729	No	2.433912571081706
ENSG00000131584.18	0.278320858385549	2.39644649254893e-06	9.769631798022501e-06	No	5.6204322634175155
ENSG00000169972.11	0.489133417673878	4.1165964056474904e-10	2.2958196571150697e-09	No	9.385461709488348
ENSG00000127054.20	0.45158865135077403	1.21110431281842e-22	1.28043105184188e-21	No	21.91681844931738
ENSG00000240731.1	0.42768824331765004	0.00536169537047295	0.014227398403121	No	2.270697864482362
ENSG00000224051.6	0.428561285679704	4.4513184009763297e-13	3.0079293779268903e-12	No	12.35151133970054
ENSG00000169962.4	0.303273123382542	0.12822650525085	0.234752544215668	No	0.892022194049684
ENSG00000107404.19	0.656958593574141	1.6444735064035099e-46	4.062067482891939e-45	Yes	45.78397311890705
ENSG00000162576.16	1.64225716707311	1.2031021513897896e-160	2.225463460494459e-158	Yes	159.9196974965991
ENSG00000175756.13	0.691890458850698	9.596060436595258e-32	1.4433999782717298e-30	Yes	31.01790702548149
ENSG00000223663.2	2.65702548213448	0.122840689960017	0.22665617902315802	Yes	0.9106577529177785
ENSG00000221978.11	0.4108837444061261	1.6494850825262198e-17	1.3922090741823502e-16	No	16.782651607736607
ENSG00000224870.6	0.684933485657316	2.9419609367631696e-14	2.12171420891801e-13	Yes	13.53136309811455
ENSG00000242485.5	0.392730019027418	1.9792926016687402e-09	1.04789640208951e-08	No	8.703489998670408
ENSG00000272455.1	0.371072741869646	0.104764552597805	0.19882946730498102	No	0.9797856373454596
ENSG00000235098.8	0.76895750773508	0.0025633259511368897	0.00721255393032386	Yes	2.5911961656536526
ENSG00000225905.1	0.898342864795255	0.5300174050854121	0.6826502476894711	Yes	0.2757098684964989
ENSG00000205116.3	3.13511976636049	0.132027166659063	0.24044588815958398	Yes	0.8793366967017724
ENSG00000225285.1	-0.18024367195778102	0.7036834393992281	0.8181391950639141	No	0.1526226696094705
ENSG00000179403.11	-0.0437008750888236	0.5450608898729711	0.695963241414484	No	0.26355497908351216
ENSG00000215915.9	0.24279302257255397	0.5871575390790049	0.730287030786394	No	0.23124535842312072
ENSG00000160072.19	0.160732445759698	0.0033326377963894	0.00920092048332096	No	2.477211884532462
ENSG00000284740.1	-0.111377553026126	0.874416938063068	0.928514304628753	No	0.05828143839129319
ENSG00000197785.13	0.532531709550534	3.06317365775906e-25	3.59800407536682e-24	Yes	24.51382838142763
ENSG00000205090.8	-0.310809417797672	0.23974533851827598	0.38506721302942104	No	0.620249828267711
ENSG00000160075.11	0.33301469737437894	2.60763930016965e-10	1.47532840349547e-09	No	9.583752482257484
ENSG00000215014.4	0.822682583093267	0.19440155117874697	0.32799291485255105	Yes	0.7113002740512948
ENSG00000228594.3	-0.102164597170072	0.207031836665353	0.344536464945734	No	0.6839628650506432
ENSG00000272106.1	1.2237414598421101	8.981013448003722e-09	4.518852115282929e-08	Yes	8.04667465330579
ENSG00000197530.12	0.643755616844153	3.24638962965797e-19	2.9797921782527298e-18	Yes	18.48859935762884
ENSG00000189409.13	0.6119782642369399	0.360839348013073	0.521243462357841	Yes	0.4426861105613701
ENSG00000248333.8	0.206193511402376	0.00023551636987724	0.000772682463426113	No	3.6279789012727632
ENSG00000272004.1	0.49556493874074603	0.7140994211392521	0.8254964780577401	No	0.14624131897134593
ENSG00000189339.11	0.205505846404312	7.78871918683863e-06	3.0207465322579e-05	No	5.108533953857859
ENSG00000269737.2	0.47199479572551006	0.0473662396111064	0.101447650544134	No	1.324531092387746
ENSG00000215914.4	-0.468173985399445	0.633409742105103	0.7675543766910459	No	0.19831526128309743
ENSG00000008128.22	0.162909006883629	0.21507084374541302	0.355110158465444	No	0.6674184611082866
ENSG00000268575.1	0.0484384430774409	0.820647764263317	0.8961306514299711	No	0.08584320933802728
ENSG00000227775.3	0.4388583297801021	0.39190347322535	0.553060681567566	No	0.4068208875912523
ENSG00000215790.7	0.276055881596851	0.00661522210919878	0.0172625524607048	No	2.179455569589854
ENSG00000008130.15	0.566261832091631	9.53204181277059e-32	1.4346611006649498e-30	Yes	31.02081406126728
ENSG00000078369.17	0.35090703361516307	1.1896077196563798e-18	1.06175227486974e-17	No	17.924596226233504
ENSG00000231050.1	1.3387318666823702	0.0396168729926299	0.0868931993444432	Yes	1.4021198068297847
ENSG00000169885.9	0.0349083968074608	0.9564084864176691	0.9752847049140659	No	0.019356578951062936
ENSG00000178821.12	1.05357055173569	0.00122860654548237	0.0036355591415470397	Yes	2.910587175277808
ENSG00000067606.16	-0.683964710303079	1.2858261940171699e-12	8.46688596016955e-12	Yes	11.890817731318933
ENSG00000271806.1	-1.9315161987711298	0.300743034416542	0.45655771935000705	Yes	0.5218044226730436
ENSG00000182873.5	-0.558350530966334	0.000197752944613788	0.000656161762820937	Yes	3.7038770409782087
ENSG00000162585.16	0.109787390423089	0.120516575768304	0.223149512036185	No	0.9189532164116985
ENSG00000157933.9	0.43268882273800896	2.18161803827525e-18	1.9167863779364e-17	No	17.661221284173955
ENSG00000116151.13	-0.0872683586780907	0.456016272602136	0.616721810846105	No	0.34101965958288905
ENSG00000269896.2	-0.7185489488672958	0.00107522041406824	0.00320871195488935	Yes	2.968502498723818
ENSG00000272420.1	0.5750491014421489	0.527607020284016	0.680701020346627	Yes	0.2776894344101199
ENSG00000157916.19	0.153574731136847	0.00048049525644412695	0.0015095761771235698	No	3.31831089542584
ENSG00000157911.9	0.58183210565146	8.080699708927831e-12	5.07546696077603e-11	Yes	11.092551031976724
ENSG00000149527.17	2.09609052864924	4.92321249279001e-13	3.32032521918418e-12	Yes	12.30775141906077
ENSG00000229393.1	-2.22171272911736	0.31533015670111203	0.472772765404642	Yes	0.5012344933732409
ENSG00000157881.13	0.8290977107686751	4.1990483814448494e-36	7.37328553472259e-35	Yes	35.37684912139124
