GO	[-8.46 -0.78]	[-0.78 -0.42]	[-0.42 -0.25]	[-0.25 -0.13]	[-0.13 -0.02]	[-0.02 0.12]	[0.12 0.29]	[0.29 0.56]	[0.56 1.02]	[1.02 7.18]
GO_COMPLEX_OF_COLLAGEN_TRIMERS GO_COMPLEX_OF_COLLAGEN_TRIMERS	6.355	0.314	-0.733	0.314	-0.733	-0.733	-0.733	-0.733	-0.733	0.315
GO_CGMP_METABOLIC_PROCESS GO_CGMP_METABOLIC_PROCESS	5.235	0.314	-0.733	-0.733	-0.733	-0.733	-0.289	0.314	-0.733	0.315
GO_SPINDLE_POLE_CENTROSOME GO_SPINDLE_POLE_CENTROSOME	-0.641	-0.641	-0.641	2.834	0.381	1.356	-0.641	-0.641	-0.641	0.383
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	-0.824	-0.824	-0.824	1.551	-0.347	1.551	-0.824	1.008	0.575	-0.822
GO_INTRINSIC_COMPONENT_OF_NUCLEAR_INNER_MEMBRANE GO_INTRINSIC_COMPONENT_OF_NUCLEAR_INNER_MEMBRANE	0.422	-0.595	3.039	-0.595	-0.595	-0.595	-0.595	1.467	-0.207	-0.593
GO_TRNA_SPECIFIC_RIBONUCLEASE_ACTIVITY GO_TRNA_SPECIFIC_RIBONUCLEASE_ACTIVITY	-0.595	-0.595	-0.595	-0.595	0.873	3.039	-0.207	0.873	-0.595	-0.593
GO_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT GO_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	-0.207	0.873	-0.207	-0.595	-0.207	-0.595	-0.595	-0.595	-0.595	4.016
GO_HISTONE_H2A_MONOUBIQUITINATION GO_HISTONE_H2A_MONOUBIQUITINATION	-0.687	-0.261	-0.261	0.346	-0.261	-0.687	4.479	-0.687	0.346	-0.685
GO_RRNA_3_END_PROCESSING GO_RRNA_3_END_PROCESSING	-0.412	-0.412	-0.412	-0.412	4.195	-0.412	-0.412	0.647	0.213	-0.411
GO_REGULATION_OF_FIBRINOLYSIS GO_REGULATION_OF_FIBRINOLYSIS	3.532	-0.504	-0.504	-0.504	-0.504	-0.504	-0.504	0.163	0.163	1.051
GO_BILE_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GO_BILE_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3.039	1.467	-0.595	-0.207	-0.595	-0.595	-0.595	-0.207	-0.207	-0.593
GO_PROSTATE_GLAND_GROWTH GO_PROSTATE_GLAND_GROWTH	1.154	-0.458	-0.458	-0.458	2.788	-0.458	-0.458	-0.458	-0.458	0.580
GO_STRIATUM_DEVELOPMENT GO_STRIATUM_DEVELOPMENT	0.735	0.735	-0.687	-0.687	-0.687	-0.687	-0.261	2.650	-0.687	0.347
GO_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY GO_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	2.562	-0.504	0.163	0.163	-0.504	-0.504	-0.504	-0.504	-0.504	1.737
GO_U1_SNRNP GO_U1_SNRNP	-0.779	-0.317	-0.779	-0.779	2.333	0.285	1.656	0.285	-0.317	-0.776
GO_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS GO_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	-0.366	4.634	-0.366	-0.366	-0.366	0.244	-0.366	-0.366	0.244	-0.365
GO_COPI_COATED_VESICLE_MEMBRANE GO_COPI_COATED_VESICLE_MEMBRANE	-0.407	0.876	0.216	1.366	-0.916	1.366	-0.916	0.490	-0.916	-0.913
GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	-0.824	-0.824	-0.347	0.575	2.195	1.008	-0.347	-0.824	0.575	-0.822
GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	-0.550	0.955	1.592	-0.550	-0.550	1.592	-0.550	-0.550	-0.181	-0.548
GO_CONNEXIN_COMPLEX GO_CONNEXIN_COMPLEX	3.836	-0.458	0.186	-0.458	-0.458	-0.458	-0.458	0.578	-0.458	0.187
GO_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE GO_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE	0.285	-0.779	0.285	-0.779	0.285	0.623	3.109	-0.779	-0.317	-0.776
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_RRNA GO_CATALYTIC_ACTIVITY_ACTING_ON_A_RRNA	-0.824	-0.347	0.575	0.260	-0.824	2.195	1.008	0.260	-0.824	-0.822
GO_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY GO_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	4.195	-0.412	-0.412	0.213	0.213	-0.412	-0.412	-0.412	-0.412	0.214
GO_POSITIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY GO_POSITIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	4.195	0.213	0.213	-0.412	-0.412	-0.412	-0.412	0.213	-0.412	-0.411
GO_LIPOXYGENASE_PATHWAY GO_LIPOXYGENASE_PATHWAY	4.007	-0.207	-0.595	0.422	-0.207	-0.595	-0.595	-0.207	-0.595	-0.206
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	-0.595	-0.595	0.422	2.191	-0.595	-0.207	-0.595	-0.207	-0.595	1.471
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	5.009
GO_INTERMEDIATE_FILAMENT_BUNDLE_ASSEMBLY GO_INTERMEDIATE_FILAMENT_BUNDLE_ASSEMBLY	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	-0.229	5.009
GO_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY GO_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY	1.592	-0.550	-0.181	-0.550	-0.550	-0.181	-0.181	-0.550	-0.550	2.371
GO_PROTEIN_DENEDDYLATION GO_PROTEIN_DENEDDYLATION	-0.458	-0.458	-0.458	-0.458	2.788	1.154	0.186	0.186	-0.458	-0.456
GO_GLIAL_CELL_APOPTOTIC_PROCESS GO_GLIAL_CELL_APOPTOTIC_PROCESS	-0.641	-0.641	2.036	-0.641	0.800	-0.641	0.381	-0.233	0.800	-0.639
GO_VOLUME_SENSITIVE_ANION_CHANNEL_ACTIVITY GO_VOLUME_SENSITIVE_ANION_CHANNEL_ACTIVITY	0.728	0.244	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366	3.367	-0.365
GO_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY GO_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	3.367	0.244	-0.366	-0.366	-0.366	-0.366	-0.366	0.728	-0.366	-0.365
GO_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES GO_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	-0.412	-0.412	-0.412	-0.412	1.276	-0.412	-0.412	0.647	2.080	-0.411
GO_INTRACILIARY_RETROGRADE_TRANSPORT GO_INTRACILIARY_RETROGRADE_TRANSPORT	-0.504	1.048	1.733	-0.504	-0.504	0.163	1.048	-0.504	-0.504	-0.502
GO_PROTEIN_PHOSPHATASE_ACTIVATOR_ACTIVITY GO_PROTEIN_PHOSPHATASE_ACTIVATOR_ACTIVITY	-0.504	-0.504	1.048	-0.504	1.048	0.163	-0.504	1.733	-0.504	-0.502
