	1_S1	2_S2	3_S3	4_S4	5_S5	6_S6	7_S7	8_S8	9_S9	10_S10	11_S11	12_S12	13_S13	14_S14	15_S15	16_S16	17_S17	18_S18	19_S1	20_S2	21_S3	22_S4	23_S5	24_S6	25_S7	26_S8	27_S9
0610005C13Rik	0	1	2	2	3	2	5	4	1	0	0	0	1	1	0	0	4	1	7	15	7	14	1	2	3	3	0
0610007P14Rik	649	738	712	724	2910	937	804	928	1330	2530	1671	888	257	304	326	434	715	557	1640	3573	3555	3392	2819	1165	1431	769	1636
0610009B22Rik	315	310	345	301	1140	322	423	421	731	1194	831	426	157	181	152	217	330	223	774	1500	1279	1653	1692	469	686	344	538
0610009L18Rik	11	11	16	14	46	13	5	8	10	26	6	3	1	1	0	3	0	1	27	40	32	47	51	37	6	6	2
0610009O20Rik	1000	1203	1305	1180	3841	1249	591	587	643	1166	784	380	669	509	871	871	1404	1268	2649	5814	5030	2710	1379	487	2245	1228	2271
0610010B08Rik	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0610010F05Rik	460	383	396	472	2036	572	220	295	262	406	284	168	258	196	340	339	670	445	895	1844	1724	918	457	160	682	430	768
0610010K14Rik	822	927	1149	945	3241	1134	944	1359	2021	4703	2718	1337	300	238	187	295	453	408	1868	4086	4015	5907	6123	2378	1211	623	1345
0610011F06Rik	378	443	406	354	1853	601	449	339	555	1056	899	459	228	262	268	284	762	629	1063	2129	2191	1535	1369	469	1053	522	1240
0610012G03Rik	530	581	663	551	2259	700	561	759	1266	2996	1757	820	135	130	83	129	181	174	1036	2098	2023	2815	3702	1360	533	259	438
0610030E20Rik	315	269	280	351	1367	358	178	336	266	415	318	175	141	69	117	130	199	217	677	1646	1350	1496	594	201	388	254	486
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0610037L13Rik	474	600	645	623	2038	740	459	398	745	1444	952	466	386	392	389	496	842	781	1065	2236	2120	1519	1593	540	1071	563	1167
0610038B21Rik	27	27	27	32	132	39	7	11	1	6	1	4	19	12	34	20	36	50	56	136	131	57	8	9	27	22	45
0610039H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	91	105	87	88	298	97	36	25	5	7	7	5	78	87	128	106	157	180	304	719	534	169	4	1	265	106	237
0610040B10Rik	4	4	13	13	48	16	8	8	8	38	31	10	1	1	1	0	4	1	21	32	43	51	79	39	6	4	5
0610040F04Rik	22	23	23	35	145	53	7	14	0	2	1	0	15	15	24	14	48	60	66	192	209	71	4	0	52	17	64
0610040J01Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	0	1	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	379	484	475	364	1520	553	620	638	1194	2766	1870	931	116	197	89	156	249	195	934	1879	1702	2540	3296	1106	758	294	629
1110002L01Rik	373	320	354	391	1397	375	333	292	325	553	346	149	160	93	115	135	190	153	715	1513	1127	1144	591	196	448	279	375
1110004E09Rik	694	802	971	802	3384	1106	780	862	1426	2639	2049	1053	431	449	409	507	1004	868	1560	3294	3638	2701	2590	1062	1478	794	1877
1110004F10Rik	2419	2587	2668	2551	10377	3374	2637	2853	4184	6935	5163	2872	1348	1416	1462	2059	3195	2706	5982	12523	11375	9345	7239	2405	5755	3259	6206
1110006O24Rik	20	19	23	17	79	25	9	30	33	50	36	18	9	3	3	3	3	5	42	100	94	113	124	50	24	10	19
1110007C09Rik	963	1073	1370	1080	3923	1276	1187	1456	2186	5184	2800	1353	348	283	240	347	440	458	2630	5636	5386	7466	7505	3013	1571	818	1748
1110008F13Rik	3328	3470	3468	3542	13559	4500	3483	4216	7284	16065	9959	4729	830	765	710	986	1538	1378	6174	12767	11757	13300	16350	5747	4207	2049	3736
