	E	M	N	ORF10	ORF3a	ORF6	ORF7a	ORF7b	ORF8	S	TRS-L	disc-E	disc-M	disc-N	disc-ORF3a	disc-ORF7a	disc-ORF7b	disc-ORF8	disc-S	frameshift	nsp1	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9
S0008	0.01041194064444068	-0.59630277512454	-0.007443376393030457	-0.43958563624588615	-0.13801922794306865	-0.12324277481927233	-0.5497916964110595	-0.00041199443862200547	-0.481028130329511	-1.070400686987942	-3.9773694822053156	0.27415513593533103	0.2909635625219028	0.027024454578224638	0.33267116291348287	0.24589378170098625	0.2631410952134644	0.2402101541495474	0.3958320260122728	0.5869787092625208	-5.200110371520091	-0.0226334494691982	0.5640579250715059	1.3026115390424429	-0.5657681022204605	-0.16462812149534492	-0.32086296812510656	0.1208889793379217	-3.3981785801531266	-1.6163546225620198	-0.25777858460227193	1.2761611570330986	-0.09974627582542951	0.3875000729943013	0.21091742888216014	0.1821876827437501
S0009	0.94543984635824	0.04130321413476833	-1.615787043151112	0.9236827743386994	0.4985802605509617	1.846349318837668	1.9281968096751754	1.1981535261399892	0.2930461229471505	0.2046251670171831	-4.193905392439746	1.4826909419122982	1.5799382998366776	1.0515463523527877	1.6063672031606286	1.481903230174049	1.703248475196995	1.647678624042184	1.555953540514291	0.47766724812397937	-5.0364299740742915	0.6844725377575437	0.3919004263665542	-0.925321284996998	-0.2998801923662715	0.35399538575745326	0.01696428278024165	0.4660621456303639	-5.362251019122531	-2.75743693122932	-1.217325551100511	-0.8240395276282314	-2.2095262911847935	-0.07146909535063006	-0.5588023351066138	-0.5699135605316845
S0014	-2.0526840377467708	-0.33336910110528656	0.9574496278745227	-0.03769794830100811	-0.8408642878800914	-2.424411448757871	-0.6587930137788225	-2.065432801990888	-0.2396247922375001	0.880508374322801	-5.503220873502068	-1.3276560330872833	-1.1347731316569405	0.5959083570902285	0.16961369700473766	-1.5252648608384078	-1.358235892863189	-1.5117022164252087	-0.7386824596968462	-0.5849709290017534	-4.875624951283068	-1.4591854644388933	-0.687131788451494	-2.7046967912975886	-2.786692805586082	-1.77915452024697	-1.3894754710120438	-1.7840328694090601	-1.9763390710747193	-1.5202450138467412	-0.20647732976099717	1.129558785239465	-0.7529103802566987	1.0201333603713028	-0.200261054707046	-1.1415776656356649
S0017	0.2349853534886682	0.20252560521517102	-0.07947078791560505	0.15003768304459816	0.2468515214304207	0.2254648961614242	0.19214055216757753	0.21520463759185676	0.18221491236760765	0.17302799244798756	-0.7372453942678263	0.25148294615063965	0.24646653586262438	0.21374744243418634	0.26971244464682415	0.22804649449729456	0.22032160782112162	0.21775984978701893	-0.012709994197870146	-0.7092256774556012	-3.155141333772866	-0.729573477027867	-0.7098300896831278	-0.860486335203501	-0.06268974723849345	-0.06414288384682533	-0.03678191901719693	-0.0324150652772025	0.40298856909110276	-0.8658627720899199	-0.7306526224113334	-0.7063057107329969	-0.7289808844179327	-0.6841248799971733	-0.7055915123413815	-0.7242274589495052
S0025	0.18277581981298863	0.055852767806588294	-0.4896966557634118	0.12208929417501942	0.22965940571183896	0.2221048470515212	0.02188931095617643	0.27411407157122797	0.06483934850443442	-0.49447740651852684	-1.8316181653403258	0.3945340489020729	0.33947427171904554	0.22230678095768663	0.4307760470704748	0.34674729225879763	0.3596362450093898	0.3507472975921439	0.5159183155159863	0.4209885578474785	-4.077044844494423	0.10384802455390432	0.4209885578474785	-0.5977179404729165	-0.35093698551587904	0.46041765203684326	0.41693181890572506	0.1568039779523415	-3.0164907982928426	-1.0469222280030168	0.12700401930334956	-0.053068927849077185	-0.23010631817864607	0.19732721232497813	0.170126770624428	0.08821488678478877
S0026	-1.2787293220984388	-0.4123146140954961	1.0396725425793716	1.5576109374689424	-0.2100853553005883	-1.2447969475708125	0.5102217873229312	-1.131912340450059	-0.36547041181506906	-0.00909701113550379	0.7006253456013886	-0.41621517230988053	-0.27957569079992634	0.06405548757559913	0.011480963032000148	-0.19254888183060467	-0.3134772424756077	-0.4387651598901137	-0.588483625088075	-0.35216505167041817	1.1023651135072534	-0.4577804158589927	-0.41309376349983945	-1.0642095956217281	-0.9557489886067247	-0.46568972687624816	-1.5111947469197573	-1.2873586627968436	-0.6151636872447643	-0.7888438146531874	-1.1422469266391755	0.558359140741804	-0.7040881286911779	-0.2862783479023828	-0.6592582079109991	-0.254930450974469
S0030	-1.3285741441757914	-0.46004224201498556	0.8737130873313765	1.3310880293933383	-0.5210087557750621	-1.2286973868742213	0.6676604266611431	-1.463608166684849	-0.8849151639536413	-0.02251552631177143	0.9115443538325786	-1.2090136175448285	-1.2128133539001758	-1.1794890980221446	-1.1783630623526133	-0.35740019751403107	-1.226127352049181	-1.239123419016199	-0.9756318028151965	-0.9684757117855382	0.8573302465455874	-1.7204399805665265	-0.9746295773599163	-1.1244884803631676	-1.3261211930621515	-0.25702017904977414	-0.653259720667829	-1.310679654299241	-0.368315641592271	-0.6295368869027554	-1.1522326848056275	0.7653522442194627	-0.5775502139289025	-0.2752671080506096	-0.48992553638593833	-0.8225217991624583
S0042	0.047794778605827544	0.056070917340042686	0.029568766941769783	0.06405862070769817	0.05764126055986265	0.06365037412109323	0.04324313370348473	0.017702677347009983	0.0202310597715413	-0.13101251506664416	-1.9231696776783462	0.052512629710637464	0.058783900181422856	0.02309934451916441	0.04083869308997899	0.06365037412109323	0.017702677347009983	0.017702677347009983	0.01685810147390061	0.03848882834510628	-2.3286347857865106	-0.0031230392129521166	0.03848882834510628	-0.18236617782199332	-0.05450722078142232	-0.10088494623667517	-0.05908954687066506	0.013929841694812239	0.5220717157172229	-0.10649385718575669	-0.12777780343928394	-0.12632852782329368	-0.12271450148273719	-0.09273337027642416	-0.020067621114917316	0.04481642307616705
S0057	-0.09350233971947558	-0.1465133556859793	-0.24009456991283482	-0.1771807445022656	-0.09593839451735668	-0.14437268309277737	-0.1470790446905202	-0.14437268309277737	-0.14437268309277737	2.504597968378299	-0.25702363201328293	-0.09019125226178869	-0.09921664098291426	-0.14437268309277737	-1.4190055346139818	-0.14437268309277737	-0.14437268309277737	-0.14437268309277737	-1.391296101080277	-1.1308408413287099	-1.509786600508651	-1.1472346511043863	-1.1308408413287099	-1.2125350770407193	-1.3279843893508827	-1.3189345538309647	-1.4025929037691636	-1.349326751488128	-1.9152517086168155	-1.245635025467064	-1.1797452542177282	-1.1376337688676015	-1.1366503795158465	-1.1425427052206842	-1.1112323699403335	-1.1267000486626786
S0085	-1.1946479884496475	-0.7304824749551573	0.4337554251378887	0.8344040145296091	-0.6239110043364906	-1.6802795936868191	0.28336419521697526	-1.0452086964393525	-0.26112552679636536	0.5404737187090454	-0.10476641098805005	-0.824185704375204	-0.3741988168591381	-0.0016324572203741177	-0.3925831726446948	-0.36239589963276686	-0.30994924857582773	-0.5666059266239544	-0.20931411309728765	0.06280433604775662	-0.35838724223711405	0.5629120775607372	-0.07446202101572293	-0.8032722809776197	-0.28007910443613043	-0.3150508889569303	-0.7734428935302324	-0.519605106440064	-0.4263593516759313	-0.941223896923948	-0.5386588071051189	0.7998641658152044	0.020357784534343584	0.06415127593207622	-0.32566441430975956	-0.09800308115795302
