	E	M	N	ORF10	ORF3a	ORF6	ORF7a	ORF7b	ORF8	S	TRS-L	disc-E	disc-M	disc-N	disc-ORF3a	disc-ORF7a	disc-ORF7b	disc-ORF8	disc-S	frameshift	nsp1	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9
S0008	-0.09152978075213586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.814478097266084	-14.177472288020954	-0.3447110106348888	-17.722404660575833	-10.732109230704054	-12.00716991710266	-10.383439677057398	-23.869919393024237	-42.738900587015756	0.0	0.0	-40.10387982152546	-inf	0.0	0.0	0.0	-3.3238470423221496	0.0	0.0	0.0	-inf	0.0	-20.736049304844656	-7.440259443488102	-5.857515239363204
S0009	-78.04324060516065	-0.883002460150944	0.0	-123.1868245567026	-34.02750350486773	-472.3980546246391	-inf	-108.15184285067281	-12.36021821313681	-24.64257467949123	0.0	-140.30448831571164	-150.83980988546935	-90.56807628714331	-153.63422217680142	-140.224591483676	-163.64186903131815	-158.07709234392044	-150.3558955448975	-8.58579712321178	0.0	-62.81419722612937	-6.436767897440535	0.0	0.0	-25.53469886130392	-0.4728803167568507	-26.604932827930785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S0014	0.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	-inf	0.0	0.0	0.0	-225.7181641517242	-6.2801903759877105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf	0.0	-inf	0.0	0.0
S0017	-16.4154482711066	-13.550552928953843	0.0	-8.304609941434597	-17.732172570377926	-15.871255476834872	-12.418626373511193	-14.918010430866552	-11.383215368137975	-10.1574665165884	0.0	-17.732172570377926	-17.732172570377926	-14.831313520979538	-19.425896462847252	-16.05448547835513	-15.341946236678021	-15.134229366913713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.222549774840136	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S0025	-2.8952115636120976	-0.9458116222255762	0.0	-1.9001678153977906	-3.9076967824209854	-3.897031334646606	-0.5712381465044672	-5.232089740671275	-1.0359647594408692	0.0	0.0	-8.455205584327889	-7.215825763291966	-3.897031334646606	-9.337023296183606	-7.49295786547351	-7.752500969134693	-7.562166461597571	-11.960046622238158	-7.752500969134693	0.0	-1.3302724623824054	-7.752500969134693	0.0	0.0	-16.569854495727963	-14.756970028495097	-2.2786981365103065	0.0	0.0	-1.9001678153977906	-0.056796812544418714	0.0	-2.6673831262016194	-2.261361959808823	-1.1532442019435207
S0026	0.0	0.0	-inf	-inf	0.0	0.0	-114.75936110284131	0.0	0.0	0.0	-18.804956849216076	0.0	0.0	-0.3699802511616259	0.0	0.0	0.0	0.0	0.0	0.0	-716.057109981523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-301.6416322475453	0.0	0.0	0.0	0.0
S0030	0.0	0.0	-inf	-624.5945998964451	0.0	0.0	-122.24231449023641	0.0	0.0	0.0	-15.924618854424534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-146.24267495094546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-139.74529803541705	0.0	0.0	0.0	0.0
S0042	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-3.1602834843468502e-09	-3.1602834843468502e-09	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-0.4061450620951427	-3.1602834843468502e-09	-0.20432101109521714	-0.4061450620951427	-3.1602834843468502e-09	-3.1602834843468502e-09	-3.1602834843468502e-09	-3.1602834843468502e-09	-0.4048148366671801	-0.4061450620951427	-3.1602834843468502e-09	-3.1602834843468502e-09	-3.1602834843468502e-09	-3.1602834843468502e-09	-3.1602834843468502e-09	-0.08819495237423133	-0.4061450620951427
S0057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S0085	0.0	0.0	-inf	-inf	0.0	0.0	-325.25961535178186	0.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.563310159160362	0.0	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf	-1.6721148049559083	-5.6355216613508405	0.0	0.0
